Municipality,Elevation
Aremark,"[127.0881271362305, 109.1782302856445, 129.9084625244141, 144.66455078125, 144.9988098144531, 119.1947174072266, 124.8393478393555, 143.5758514404297]"
Askim,"[131.7893218994141, 143.1067352294922, 143.1111907958984, 141.7431793212891, 132.0438842773438, 139.3930358886719, 141.0718383789062, 141.4215393066406]"
Eidsberg,"[117.3282852172852, 153.6414031982422, 157.9842987060547, 164.8066253662109, 144.0671081542969, 153.3129425048828, 154.1123352050781, 157.9656524658203]"
Fredrikstad,"[3.795405864715576, 3.375267028808594, 5.169037818908691, 21.08149337768555, 4.719730854034424, 13.23016357421875, 16.81455421447754, 8.786478042602539]"
Halden,"[40.50323867797852, 30.06600761413574, 23.20122909545898, 18.62170600891113, 86.88912200927734, 53.46820831298828, 41.58570861816406, 40.11811447143555]"
Hobøl,"[97.44974517822266, 94.21278381347656, 103.0431823730469, 102.646842956543, 83.37431335449219, 86.38761138916016, 97.2643814086914, 92.63927459716797]"
Hvaler,"[35.20228958129883, 22.05091667175293, 10.84459209442139, 13.79110813140869, 25.03209114074707, 10.33609390258789, 5, 14.55582714080811]"
Marker,"[122.2530975341797, 125, 125, 125.0227203369141, 126.1435241699219, 122.0805511474609, 122.6322402954102, 125.2302551269531]"
Moss,"[0, 6.523329734802246, 45.88565063476562, 52.03515625, 5.072508335113525, 14.52707767486572, 33.71355819702148, 41.93723297119141]"
Rakkestad,"[96.83983612060547, 109.7514038085938, 129.3104858398438, 123.7548065185547, 108.8871154785156, 116.8601837158203, 125.8675842285156, 130.4785003662109]"
Rygge,"[26.88898849487305, 21.32730865478516, 20.22504615783691, 20.7629337310791, 25.7041015625, 29.94670677185059, 30.61158180236816, 32.52723693847656]"
Rømskog,"[189.6896057128906, 209.5723114013672, 237.7219696044922, 240.2001342773438, 203.3084869384766, 240.7777099609375, 251.4713897705078, 237.14013671875]"
Råde,"[36.02329254150391, 10.6659984588623, 3.719079256057739, 2.434000968933105, 33.74630355834961, 23.93767166137695, 29.17452239990234, 29.16667747497559]"
Sarpsborg,"[53.73529434204102, 52.99888229370117, 49.5692024230957, 38.0196533203125, 55.19994735717773, 42.81586837768555, 39.18735504150391, 34.06548309326172]"
Skiptvet,"[126.7826309204102, 124.6212387084961, 124.5180740356445, 124.3552017211914, 126.4634246826172, 126.4061431884766, 132.8376159667969, 138.1980285644531]"
Spydeberg,"[99.23011779785156, 115.3776702880859, 113.6646423339844, 114.8211822509766, 103.4832077026367, 104.6191253662109, 115.7718658447266, 118.1483001708984]"
Trøgstad,"[145.4961547851562, 146.9820556640625, 155.3542785644531, 176.8263397216797, 143.7636871337891, 161.1360168457031, 175.8363342285156, 182.233154296875]"
Våler,"[162.2093811035156, 158.1068115234375, 157.5248718261719, 150, 155.8363037109375, 155.1320953369141, 153.3444976806641, 166.6943206787109]"
Gjerdrum,"[179.9045867919922, 171.153076171875, 164.7245025634766, 162.0047454833984, 164.5560607910156, 162.9099426269531, 161.5806274414062, 161.9190979003906]"
Hurdal,"[218.0298919677734, 219.4400482177734, 223.0309753417969, 223.7479095458984, 219.9907073974609, 219, 220, 218.8464508056641]"
Lørenskog,"[179.6513519287109, 168.8705902099609, 166.3974761962891, 160.2192230224609, 176.2509918212891, 168.7393341064453, 177.8390350341797, 190.8448638916016]"
Nannestad,"[193.6747894287109, 199.4999694824219, 202.2298431396484, 201.9154815673828, 200.7884216308594, 202.8183135986328, 201.6355438232422, 206.0201721191406]"
Nes,"[803.8655395507812, 797.8457641601562, 794.2691040039062, 766.3660278320312, 843.7860717773438, 826.6441040039062, 810.6924438476562, 793.276611328125]"
Nesodden,"[151.6873626708984, 150.7768859863281, 147.0842437744141, 133.9349822998047, 165.7207641601562, 168.2707061767578, 175.3962860107422, 167.4100646972656]"
Oppegård,"[40, 85.09186553955078, 122.562858581543, 96.63817596435547, 92.13614654541016, 71.45450592041016, 105.8601989746094, 103.4616088867188]"
Rælingen,"[301.9135437011719, 316.0482788085938, 321.3658447265625, 276.5278930664062, 270.3230895996094, 278.0698547363281, 269.2032470703125, 257.8030395507812]"
Skedsmo,"[213.3229217529297, 202.2969970703125, 165.4430694580078, 142.2775573730469, 159.6929626464844, 137.204833984375, 115.4618148803711, 102]"
Ski,"[144.9166259765625, 131.7025756835938, 147.4973297119141, 148.3535308837891, 134.7184295654297, 120.4948806762695, 127.7883758544922, 152.8244934082031]"
Sørum,"[121.621696472168, 117.5488891601562, 131.064208984375, 136.2863616943359, 131.1620941162109, 139.8449554443359, 142.7071990966797, 143.0747985839844]"
Ullensaker,"[200.0087432861328, 213.8684387207031, 213.2696380615234, 211.7800903320312, 207.1870880126953, 204.5297546386719, 209.2181701660156, 205.5451202392578]"
Vestby,"[28.82467269897461, 28.30161285400391, 27.61213684082031, 37.29639053344727, 28.00303649902344, 37.5189323425293, 42.8292236328125, 47.50459671020508]"
Ås,"[104.1511459350586, 109.3119354248047, 104.2980194091797, 89.88904571533203, 98.25873565673828, 99.42818450927734, 94.84868621826172, 95.99800109863281]"
Alvdal,"[467.728515625, 468.6787414550781, 477.8452758789062, 500.3213500976562, 469.4260559082031, 493.3834533691406, 506.2502136230469, 517.995849609375]"
Eidskog,"[159.6409454345703, 160.355224609375, 146.9796752929688, 139.4838256835938, 173.5817718505859, 164.4508972167969, 152.7816925048828, 138.8434600830078]"
Elverum,"[199.4607543945312, 203.0963287353516, 211.4126892089844, 220.8973388671875, 192.2652282714844, 196.2861785888672, 203.0276641845703, 213.4829864501953]"
Engerdal,"[1091.3603515625, 1077.602416992188, 1064.118408203125, 1051.941772460938, 1073.2822265625, 1061.077270507812, 1048.200927734375, 1035.845092773438]"
Folldal,"[700.2936401367188, 700.2936401367188, 701.1115112304688, 699.6468505859375, 724.714599609375, 727.1296997070312, 728.4588623046875, 722.3007202148438]"
Grue,"[411.1178283691406, 443.6624755859375, 464.0107727050781, 470.8045043945312, 469.4618225097656, 490.0400390625, 489.1825256347656, 516.0411987304688]"
Hamar,"[123, 123, 123, 123, 123.2382965087891, 124.7148971557617, 124.9531936645508, 126.7951812744141]"
Kongsvinger,"[171.5935668945312, 159.7125854492188, 159.8854217529297, 164.9801635742188, 142, 142, 142, 142]"
Løten,"[222.9864196777344, 227.8118438720703, 233.4791259765625, 238.3045501708984, 221, 225.6537017822266, 232.4791259765625, 237.3045501708984]"
