Municipality,Latitude,Longitude,Beta
Aremark,59.1833,11.6833,4.840640420744576
Askim,59.5833,11.1667,4.05458110755263
Eidsberg,59.5167,11.3,5.057248836833423
Fredrikstad,59.2181,10.9298,3.3487600494006218
Halden,59.1333,11.3833,4.09520075101867
Hobøl,59.6167,10.9667,4.052086656461713
Hvaler,59.0333,11.0,3.063985029184503
Marker,59.4833,11.6667,4.722829739817395
Moss,59.434,10.6577,3.5295910910338626
Rakkestad,59.4278,11.3472,4.701578714045748
Rygge,59.3667,10.7833,3.6058916608612335
Rømskog,59.75,11.8333,4.20769195351603
Råde,59.35,10.85,3.2490671059187055
Sarpsborg,59.2833,11.1167,3.9654126738546096
Skiptvet,59.4833,11.1667,4.372936177161644
Spydeberg,59.6167,11.0833,3.9690672599233934
Trøgstad,59.6333,11.3167,5.150261527635166
Våler,60.65,11.8333,5.0569758391617174
Gjerdrum,60.0833,11.0333,4.999423295399923
Hurdal,60.4333,11.0333,5.431056516246072
Lørenskog,59.9167,10.95,4.974476825188587
Nannestad,60.25,11.0333,5.162297908011414
Nes,60.1181,9.2506,6.221652946096553
Nesodden,59.8167,10.6667,5.030622659070519
Oppegård,59.8,10.8,4.411254671839722
Rælingen,59.9247,11.05,6.802045177138751
Skedsmo,59.95,11.05,4.281838516552131
Ski,59.7197,10.8356,4.039857490345747
Sørum,60.0,11.25,4.736566425240326
Ullensaker,60.1419,11.1749,5.644603880508541
Vestby,59.5333,10.75,3.964400586869769
Ås,59.6636,10.79,4.013582388644326
Alvdal,62.1075,10.6292,5.1803878723204875
Eidskog,60.05,12.1333,4.3401727640276055
Elverum,60.8833,11.5667,5.121507031644415
Engerdal,61.5667,11.9167,6.095143194485958
Folldal,62.1333,9.9833,6.025138879867284
Grue,60.4333,12.3,7.368806917677042
Hamar,60.7945,11.067,4.23144567436415
Kongsvinger,60.19,12.0,5.212086544439602
Løten,60.8167,11.3333,4.502812301555875
Nord-Odal,60.4167,11.5667,5.240343803914603
Os,60.2,5.5,5.997082825804777
Rendalen,61.8833,11.0833,5.19222652640902
Ringsaker,60.95,10.9167,1.0
Stange,60.7167,11.2,5.120687061594768
Stor-Elvdal,61.6333,11.0,5.001547311699802
Sør-Odal,60.25,11.5667,5.2027525788447795
Tolga,62.4167,10.9833,5.750110454859635
Trysil,61.3167,12.2667,6.967165770567098
Tynset,62.275,10.7761,5.368231791594451
Åmot,61.0,11.5,6.48559958017735
Åsnes,60.5667,12.0,6.606616977407543
Dovre,62.0745,9.2524,7.187642657685274
Etnedal,60.887,9.5537,6.093480186642788
Gausdal,61.2653,10.1491,5.432489234837128
Gjøvik,60.7957,10.6916,5.119025353930893
Gran,60.3636,10.5662,4.796738031175484
