Municipality,Points
Aremark,"[(59.17994847909977, 11.68597771482694), (59.17994847909977, 11.68997771482694), (59.17994847909977, 11.69397771482694), (59.17994847909977, 11.697977714826939), (59.18394847909977, 11.68597771482694), (59.18394847909977, 11.68997771482694), (59.18394847909977, 11.69397771482694), (59.18394847909977, 11.697977714826939)]"
Askim,"[(59.57925408282518, 11.168322921364707), (59.57925408282518, 11.172322921364707), (59.57925408282518, 11.176322921364706), (59.57925408282518, 11.180322921364706), (59.58325408282518, 11.168322921364707), (59.58325408282518, 11.172322921364707), (59.58325408282518, 11.176322921364706), (59.58325408282518, 11.180322921364706)]"
Eidsberg,"[(59.51112306024531, 11.299865347727442), (59.51112306024531, 11.303865347727442), (59.51112306024531, 11.307865347727441), (59.51112306024531, 11.31186534772744), (59.51512306024531, 11.299865347727442), (59.51512306024531, 11.303865347727442), (59.51512306024531, 11.307865347727441), (59.51512306024531, 11.31186534772744)]"
Fredrikstad,"[(59.21239263073903, 10.928955403552244), (59.21239263073903, 10.932955403552244), (59.21239263073903, 10.936955403552243), (59.21239263073903, 10.940955403552243), (59.21639263073903, 10.928955403552244), (59.21639263073903, 10.932955403552244), (59.21639263073903, 10.936955403552243), (59.21639263073903, 10.940955403552243)]"
Halden,"[(59.12674553502526, 11.376363861613356), (59.12674553502526, 11.380363861613356), (59.12674553502526, 11.384363861613355), (59.12674553502526, 11.388363861613355), (59.130745535025255, 11.376363861613356), (59.130745535025255, 11.380363861613356), (59.130745535025255, 11.384363861613355), (59.130745535025255, 11.388363861613355)]"
Hobøl,"[(59.618215187506, 10.968681760603022), (59.618215187506, 10.972681760603022), (59.618215187506, 10.976681760603022), (59.618215187506, 10.980681760603021), (59.622215187506, 10.968681760603022), (59.622215187506, 10.972681760603022), (59.622215187506, 10.976681760603022), (59.622215187506, 10.980681760603021)]"
Hvaler,"[(59.034851598309054, 11.002300783186682), (59.034851598309054, 11.006300783186681), (59.034851598309054, 11.01030078318668), (59.034851598309054, 11.01430078318668), (59.03885159830905, 11.002300783186682), (59.03885159830905, 11.006300783186681), (59.03885159830905, 11.01030078318668), (59.03885159830905, 11.01430078318668)]"
Marker,"[(59.48476104557655, 11.656182717015788), (59.48476104557655, 11.660182717015788), (59.48476104557655, 11.664182717015787), (59.48476104557655, 11.668182717015787), (59.488761045576545, 11.656182717015788), (59.488761045576545, 11.660182717015788), (59.488761045576545, 11.664182717015787), (59.488761045576545, 11.668182717015787)]"
Moss,"[(59.42837223129512, 10.655954093045905), (59.42837223129512, 10.659954093045904), (59.42837223129512, 10.663954093045904), (59.42837223129512, 10.667954093045903), (59.43237223129512, 10.655954093045905), (59.43237223129512, 10.659954093045904), (59.43237223129512, 10.663954093045904), (59.43237223129512, 10.667954093045903)]"
Rakkestad,"[(59.422498193615425, 11.344818938297765), (59.422498193615425, 11.348818938297764), (59.422498193615425, 11.352818938297764), (59.422498193615425, 11.356818938297764), (59.42649819361542, 11.344818938297765), (59.42649819361542, 11.348818938297764), (59.42649819361542, 11.352818938297764), (59.42649819361542, 11.356818938297764)]"
Rygge,"[(59.360193691651894, 10.77036068320139), (59.360193691651894, 10.77436068320139), (59.360193691651894, 10.77836068320139), (59.360193691651894, 10.78236068320139), (59.36419369165189, 10.77036068320139), (59.36419369165189, 10.77436068320139), (59.36419369165189, 10.77836068320139), (59.36419369165189, 10.78236068320139)]"
