Municipality,SWE
Aremark,"[17.899999618530273, 20.30000114440918, 23.100000381469727, 47.10000228881836]"
Askim,"[12.90000057220459, 23.80000114440918, 46.20000076293945, 60.60000228881836]"
Eidsberg,"[13.800000190734863, 16.399999618530273, 19.399999618530273, 32.10000228881836]"
Fredrikstad,"[2.0, 16.0, 29.30000114440918, 21.0]"
Halden,"[7.700000286102295, 17.0, 22.700000762939453, 39.29999923706055]"
Hobøl,"[15.100000381469727, 18.200000762939453, 66.0, 85.0]"
Hvaler,"[3.5, 17.80000114440918, 20.100000381469727, 28.80000114440918]"
Marker,"[19.80000114440918, 32.60000228881836, 18.100000381469727, 44.900001525878906]"
Moss,"[5.800000190734863, 19.0, 63.900001525878906, 82.30000305175781]"
Rakkestad,"[11.40000057220459, 16.899999618530273, 17.700000762939453, 33.400001525878906]"
Rygge,"[5.900000095367432, 16.80000114440918, 57.70000076293945, 59.0]"
Rømskog,"[24.100000381469727, 69.5999984741211, 52.29999923706055, 103.70000457763672]"
Råde,"[5.0, 16.100000381469727, 55.0, 53.0]"
Sarpsborg,"[5.0, 14.0, 28.899999618530273, 23.399999618530273]"
Skiptvet,"[11.0, 17.399999618530273, 28.30000114440918, 36.900001525878906]"
Spydeberg,"[15.199999809265137, 21.700000762939453, 53.900001525878906, 71.0999984741211]"
Trøgstad,"[37.0, 64.5, 50.0, 72.4000015258789]"
Våler,"[70.30000305175781, 53.400001525878906, 87.5999984741211, 152.1999969482422]"
Gjerdrum,"[37.70000076293945, 54.10000228881836, 81.20000457763672, 172.1999969482422]"
Hurdal,"[86.30000305175781, 222.40000915527344, 147.90000915527344, 324.8000183105469]"
Lørenskog,"[23.0, 44.400001525878906, 49.70000076293945, 89.0999984741211]"
Nannestad,"[60.29999923706055, 140.1999969482422, 95.4000015258789, 239.10000610351562]"
Nes,"[447.8000183105469, 327.5, 209.40000915527344, 699.0]"
Nesodden,"[13.100000381469727, 33.29999923706055, 36.70000076293945, 62.29999923706055]"
Oppegård,"[13.5, 23.30000114440918, 52.79999923706055, 53.60000228881836]"
Rælingen,"[75.80000305175781, 87.30000305175781, 93.30000305175781, 146.0]"
Skedsmo,"[17.200000762939453, 13.0, 51.79999923706055, 88.70000457763672]"
Ski,"[11.800000190734863, 24.700000762939453, 67.20000457763672, 89.4000015258789]"
Sørum,"[20.600000381469727, 25.200000762939453, 52.5, 82.9000015258789]"
Ullensaker,"[53.20000076293945, 82.20000457763672, 80.80000305175781, 154.90000915527344]"
Vestby,"[11.100000381469727, 19.80000114440918, 68.20000457763672, 85.5999984741211]"
Ås,"[12.300000190734863, 21.80000114440918, 65.4000015258789, 90.80000305175781]"
Alvdal,"[99.9000015258789, 43.79999923706055, 83.0999984741211, 131.0]"
Eidskog,"[13.5, 40.10000228881836, 75.9000015258789, 53.900001525878906]"
