Municipality,Longitude,Latitude
Frogn,10.64589729733494,59.70372627501601
Skjervøy,20.718549367653537,70.14166286157473
Vevelstad,12.646844247153156,65.64574810524653
Tromsø,18.63030975457397,69.7445327167448
Senja,17.330709403060833,69.3921574012718
Lurøy,12.661238773455093,66.41426550471145
Træna,11.897014401065052,66.55208202666114
Hadsel,14.875648830427322,68.49834270034665
Deatnu - Tana,27.660957426509917,70.24044696312292
Aarborte - Hattfjelldal,14.136864717712216,65.50398431501371
Rosse - Røros,11.729483592023538,62.57716607328082
Namsos - Nåavmesjenjaelmie,11.396882041313427,64.48801417725139
Fauske - Fuossko,15.771632923212175,67.2241297366482
Dielddanuorri - Tjeldsund,16.675187770828657,68.56870246791536
Trondheim - Tråante,10.39636882203478,63.369738816216014
Unjárga - Nesseby,28.79838971802693,70.13258386053465
Kárášjohka - Karasjok,25.138484163027268,69.40868651760866
Raarvihke - Røyrvik,13.636709113767699,64.90107584307508
Sortland - Suortá,15.508333148615584,68.7430511693169
Hábmer - Hamarøy,16.05406189529581,67.96570198782088
Harstad - Hárstták,16.49800312221028,68.94780457681652
Loabák - Lavangen,17.801071530686862,68.73131733633905
Nordreisa - Ráisa - Raisi,21.539148593949648,69.53402108077479
Hammerfest - Hámmerfeasta,23.607049728355985,70.64772294415991
Guovdageaidnu - Kautokeino,23.55452533169285,69.1317387628606
Gáivuotna - Kåfjord - Kaivuono,20.742253546860027,69.47832886871225
Snåase - Snåsa,12.627697185846015,64.20468659851718
Storfjord - Omasvuotna - Omasvuono,20.364133379671895,69.23053874771566
Evenes - Evenášši,16.97320715767867,68.49108586018482
Porsanger - Porsáŋgu - Porsanki,25.177527734399693,70.20550287075177
