time,swe,year,water_year
1958-01-01,153.8,1958,1958
1958-01-02,153.8,1958,1958
1958-01-03,153.8,1958,1958
1958-01-04,161.7,1958,1958
1958-01-05,162.1,1958,1958
1958-01-06,176.3,1958,1958
1958-01-07,176.8,1958,1958
1958-01-08,181.0,1958,1958
1958-01-09,181.0,1958,1958
1958-01-10,181.0,1958,1958
1958-01-11,183.8,1958,1958
1958-01-12,184.0,1958,1958
1958-01-13,184.0,1958,1958
1958-01-14,184.0,1958,1958
1958-01-15,184.0,1958,1958
1958-01-16,184.0,1958,1958
1958-01-17,195.7,1958,1958
1958-01-18,200.7,1958,1958
1958-01-19,200.90001,1958,1958
1958-01-20,212.1,1958,1958
1958-01-21,212.1,1958,1958
1958-01-22,212.1,1958,1958
1958-01-23,212.1,1958,1958
1958-01-24,212.1,1958,1958
1958-01-25,212.1,1958,1958
1958-01-26,212.1,1958,1958
1958-01-27,212.3,1958,1958
1958-01-28,212.5,1958,1958
1958-01-29,212.5,1958,1958
1958-01-30,213.6,1958,1958
1958-01-31,213.6,1958,1958
1958-02-01,213.6,1958,1958
1958-02-02,213.5,1958,1958
1958-02-03,214.2,1958,1958
1958-02-04,224.5,1958,1958
1958-02-05,231.40001,1958,1958
1958-02-06,232.40001,1958,1958
1958-02-07,232.5,1958,1958
1958-02-08,232.6,1958,1958
1958-02-09,232.6,1958,1958
1958-02-10,232.6,1958,1958
1958-02-11,233.2,1958,1958
1958-02-12,233.40001,1958,1958
1958-02-13,233.40001,1958,1958
1958-02-14,233.40001,1958,1958
1958-02-15,233.40001,1958,1958
1958-02-16,233.6,1958,1958
1958-02-17,233.8,1958,1958
1958-02-18,236.6,1958,1958
1958-02-19,236.6,1958,1958
1958-02-20,239.0,1958,1958
1958-02-21,239.0,1958,1958
1958-02-22,239.0,1958,1958
1958-02-23,239.0,1958,1958
1958-02-24,239.0,1958,1958
1958-02-25,239.0,1958,1958
1958-02-26,239.0,1958,1958
1958-02-27,239.0,1958,1958
1958-02-28,239.0,1958,1958
1958-03-01,239.0,1958,1958
1958-03-02,239.0,1958,1958
1958-03-03,239.0,1958,1958
1958-03-04,238.90001,1958,1958
1958-03-05,239.1,1958,1958
1958-03-06,246.0,1958,1958
1958-03-07,245.90001,1958,1958
1958-03-08,245.90001,1958,1958
1958-03-09,245.7,1958,1958
1958-03-10,245.6,1958,1958
1958-03-11,245.6,1958,1958
1958-03-12,245.6,1958,1958
1958-03-13,245.6,1958,1958
1958-03-14,245.6,1958,1958
1958-03-15,245.6,1958,1958
1958-03-16,245.6,1958,1958
1958-03-17,245.6,1958,1958
1958-03-18,245.6,1958,1958
1958-03-19,245.6,1958,1958
1958-03-20,245.6,1958,1958
1958-03-21,245.6,1958,1958
1958-03-22,245.6,1958,1958
1958-03-23,245.6,1958,1958
1958-03-24,245.6,1958,1958
1958-03-25,245.6,1958,1958
1958-03-26,245.6,1958,1958
1958-03-27,245.6,1958,1958
1958-03-28,245.6,1958,1958
1958-03-29,245.6,1958,1958
1958-03-30,245.6,1958,1958
1958-03-31,245.6,1958,1958
1958-04-01,245.6,1958,1958
1958-04-02,245.6,1958,1958
1958-04-03,245.6,1958,1958
1958-04-04,245.6,1958,1958
1958-04-05,245.6,1958,1958
1958-04-06,245.6,1958,1958
1958-04-07,245.5,1958,1958
1958-04-08,245.5,1958,1958
1958-04-09,245.6,1958,1958
1958-04-10,245.6,1958,1958
1958-04-11,245.6,1958,1958
1958-04-12,245.6,1958,1958
1958-04-13,245.6,1958,1958
1958-04-14,245.7,1958,1958
1958-04-15,241.40001,1958,1958
1958-04-16,231.5,1958,1958
1958-04-17,227.2,1958,1958
1958-04-18,226.3,1958,1958
1958-04-19,220.2,1958,1958
1958-04-20,208.8,1958,1958
1958-04-21,196.90001,1958,1958
1958-04-22,189.7,1958,1958
1958-04-23,178.8,1958,1958
1958-04-24,166.7,1958,1958
1958-04-25,153.90001,1958,1958
1958-04-26,140.7,1958,1958
1958-04-27,128.40001,1958,1958
1958-04-28,114.8,1958,1958
1958-04-29,100.3,1958,1958
1958-04-30,83.5,1958,1958
1958-05-01,65.4,1958,1958
1958-05-02,49.8,1958,1958
1958-05-03,38.600002,1958,1958
1958-05-04,31.0,1958,1958
1958-05-05,23.7,1958,1958
1958-05-06,16.6,1958,1958
1958-05-07,10.1,1958,1958
1958-05-08,5.1,1958,1958
1958-05-09,1.4,1958,1958
1958-05-10,0.0,1958,1958
1958-05-11,0.0,1958,1958
1958-05-12,0.0,1958,1958
1958-05-13,0.0,1958,1958
1958-05-14,0.0,1958,1958
1958-05-15,0.0,1958,1958
1958-05-16,0.0,1958,1958
1958-05-17,0.0,1958,1958
1958-05-18,0.0,1958,1958
1958-05-19,0.0,1958,1958
1958-05-20,0.0,1958,1958
1958-05-21,0.0,1958,1958
1958-05-22,0.0,1958,1958
1958-05-23,0.0,1958,1958
1958-05-24,0.0,1958,1958
1958-05-25,0.0,1958,1958
1958-05-26,0.0,1958,1958
1958-05-27,0.0,1958,1958
1958-05-28,0.0,1958,1958
1958-05-29,0.0,1958,1958
1958-05-30,0.0,1958,1958
1958-05-31,0.0,1958,1958
1958-06-01,0.0,1958,1958
1958-06-02,0.0,1958,1958
1958-06-03,0.0,1958,1958
1958-06-04,0.0,1958,1958
1958-06-05,0.0,1958,1958
1958-06-06,0.0,1958,1958
1958-06-07,0.0,1958,1958
1958-06-08,0.0,1958,1958
1958-06-09,0.0,1958,1958
1958-06-10,0.0,1958,1958
1958-06-11,0.0,1958,1958
1958-06-12,0.0,1958,1958
1958-06-13,0.0,1958,1958
1958-06-14,0.0,1958,1958
1958-06-15,0.0,1958,1958
1958-06-16,0.0,1958,1958
1958-06-17,0.0,1958,1958
1958-06-18,0.0,1958,1958
1958-06-19,0.0,1958,1958
1958-06-20,0.0,1958,1958
1958-06-21,0.0,1958,1958
1958-06-22,0.0,1958,1958
1958-06-23,0.0,1958,1958
1958-06-24,0.0,1958,1958
1958-06-25,0.0,1958,1958
1958-06-26,0.0,1958,1958
1958-06-27,0.0,1958,1958
1958-06-28,0.0,1958,1958
1958-06-29,0.0,1958,1958
1958-06-30,0.0,1958,1958
1958-07-01,0.0,1959,1959
1958-07-02,0.0,1959,1959
1958-07-03,0.0,1959,1959
1958-07-04,0.0,1959,1959
1958-07-05,0.0,1959,1959
1958-07-06,0.0,1959,1959
1958-07-07,0.0,1959,1959
1958-07-08,0.0,1959,1959
1958-07-09,0.0,1959,1959
1958-07-10,0.0,1959,1959
1958-07-11,0.0,1959,1959
1958-07-12,0.0,1959,1959
1958-07-13,0.0,1959,1959
1958-07-14,0.0,1959,1959
1958-07-15,0.0,1959,1959
1958-07-16,0.0,1959,1959
1958-07-17,0.0,1959,1959
1958-07-18,0.0,1959,1959
1958-07-19,0.0,1959,1959
1958-07-20,0.0,1959,1959
1958-07-21,0.0,1959,1959
1958-07-22,0.0,1959,1959
1958-07-23,0.0,1959,1959
1958-07-24,0.0,1959,1959
1958-07-25,0.0,1959,1959
1958-07-26,0.0,1959,1959
1958-07-27,0.0,1959,1959
1958-07-28,0.0,1959,1959
1958-07-29,0.0,1959,1959
1958-07-30,0.0,1959,1959
1958-07-31,0.0,1959,1959
1958-08-01,0.0,1959,1959
1958-08-02,0.0,1959,1959
1958-08-03,0.0,1959,1959
1958-08-04,0.0,1959,1959
1958-08-05,0.0,1959,1959
1958-08-06,0.0,1959,1959
1958-08-07,0.0,1959,1959
1958-08-08,0.0,1959,1959
1958-08-09,0.0,1959,1959
1958-08-10,0.0,1959,1959
1958-08-11,0.0,1959,1959
1958-08-12,0.0,1959,1959
1958-08-13,0.0,1959,1959
1958-08-14,0.0,1959,1959
1958-08-15,0.0,1959,1959
1958-08-16,0.0,1959,1959
1958-08-17,0.0,1959,1959
1958-08-18,0.0,1959,1959
1958-08-19,0.0,1959,1959
1958-08-20,0.0,1959,1959
1958-08-21,0.0,1959,1959
1958-08-22,0.0,1959,1959
1958-08-23,0.0,1959,1959
1958-08-24,0.0,1959,1959
1958-08-25,0.0,1959,1959
1958-08-26,0.0,1959,1959
1958-08-27,0.0,1959,1959
1958-08-28,0.0,1959,1959
1958-08-29,0.0,1959,1959
1958-08-30,0.0,1959,1959
1958-08-31,0.0,1959,1959
1958-09-01,0.0,1959,1959
1958-09-02,0.0,1959,1959
1958-09-03,0.0,1959,1959
1958-09-04,0.0,1959,1959
1958-09-05,0.0,1959,1959
1958-09-06,0.0,1959,1959
1958-09-07,0.0,1959,1959
1958-09-08,0.0,1959,1959
1958-09-09,0.0,1959,1959
1958-09-10,0.0,1959,1959
1958-09-11,0.0,1959,1959
1958-09-12,0.0,1959,1959
1958-09-13,0.0,1959,1959
1958-09-14,0.0,1959,1959
1958-09-15,0.0,1959,1959
1958-09-16,0.0,1959,1959
1958-09-17,0.0,1959,1959
1958-09-18,0.0,1959,1959
1958-09-19,0.0,1959,1959
1958-09-20,0.0,1959,1959
1958-09-21,0.0,1959,1959
1958-09-22,0.0,1959,1959
1958-09-23,0.0,1959,1959
1958-09-24,0.0,1959,1959
1958-09-25,0.0,1959,1959
1958-09-26,0.0,1959,1959
1958-09-27,0.0,1959,1959
1958-09-28,0.0,1959,1959
1958-09-29,0.0,1959,1959
1958-09-30,0.0,1959,1959
1958-10-01,0.0,1959,1959
1958-10-02,0.0,1959,1959
1958-10-03,0.0,1959,1959
1958-10-04,0.0,1959,1959
1958-10-05,0.0,1959,1959
1958-10-06,0.0,1959,1959
1958-10-07,0.0,1959,1959
1958-10-08,0.0,1959,1959
1958-10-09,0.0,1959,1959
1958-10-10,0.0,1959,1959
1958-10-11,0.0,1959,1959
1958-10-12,0.0,1959,1959
1958-10-13,0.0,1959,1959
1958-10-14,0.0,1959,1959
