time,swe,year,water_year
1958-01-01,431.7,1958,1958
1958-01-02,437.7,1958,1958
1958-01-03,439.30002,1958,1958
1958-01-04,441.6,1958,1958
1958-01-05,441.7,1958,1958
1958-01-06,442.0,1958,1958
1958-01-07,442.1,1958,1958
1958-01-08,442.30002,1958,1958
1958-01-09,451.4,1958,1958
1958-01-10,451.5,1958,1958
1958-01-11,451.6,1958,1958
1958-01-12,451.4,1958,1958
1958-01-13,451.5,1958,1958
1958-01-14,451.5,1958,1958
1958-01-15,456.9,1958,1958
1958-01-16,477.2,1958,1958
1958-01-17,485.0,1958,1958
1958-01-18,522.5,1958,1958
1958-01-19,556.3,1958,1958
1958-01-20,556.3,1958,1958
1958-01-21,556.5,1958,1958
1958-01-22,556.5,1958,1958
1958-01-23,556.5,1958,1958
1958-01-24,556.5,1958,1958
1958-01-25,556.2,1958,1958
1958-01-26,558.9,1958,1958
1958-01-27,572.2,1958,1958
1958-01-28,575.3,1958,1958
1958-01-29,575.3,1958,1958
1958-01-30,590.7,1958,1958
1958-01-31,605.8,1958,1958
1958-02-01,599.7,1958,1958
1958-02-02,589.9,1958,1958
1958-02-03,588.5,1958,1958
1958-02-04,596.7,1958,1958
1958-02-05,600.60004,1958,1958
1958-02-06,602.9,1958,1958
1958-02-07,602.8,1958,1958
1958-02-08,605.2,1958,1958
1958-02-09,609.60004,1958,1958
1958-02-10,611.9,1958,1958
1958-02-11,650.2,1958,1958
1958-02-12,650.3,1958,1958
1958-02-13,650.3,1958,1958
1958-02-14,650.5,1958,1958
1958-02-15,659.4,1958,1958
1958-02-16,681.8,1958,1958
1958-02-17,683.3,1958,1958
1958-02-18,683.60004,1958,1958
1958-02-19,683.9,1958,1958
1958-02-20,684.7,1958,1958
1958-02-21,685.2,1958,1958
1958-02-22,685.10004,1958,1958
1958-02-23,685.0,1958,1958
1958-02-24,684.7,1958,1958
1958-02-25,685.5,1958,1958
1958-02-26,685.60004,1958,1958
1958-02-27,688.60004,1958,1958
1958-02-28,688.8,1958,1958
1958-03-01,688.9,1958,1958
1958-03-02,691.7,1958,1958
1958-03-03,691.4,1958,1958
1958-03-04,691.5,1958,1958
1958-03-05,706.10004,1958,1958
1958-03-06,706.3,1958,1958
1958-03-07,720.4,1958,1958
1958-03-08,726.0,1958,1958
1958-03-09,737.9,1958,1958
1958-03-10,740.60004,1958,1958
1958-03-11,740.4,1958,1958
1958-03-12,741.3,1958,1958
1958-03-13,741.10004,1958,1958
1958-03-14,740.7,1958,1958
1958-03-15,740.3,1958,1958
1958-03-16,740.7,1958,1958
1958-03-17,740.9,1958,1958
1958-03-18,740.7,1958,1958
1958-03-19,740.9,1958,1958
1958-03-20,740.9,1958,1958
1958-03-21,748.60004,1958,1958
1958-03-22,790.0,1958,1958
1958-03-23,803.9,1958,1958
1958-03-24,824.8,1958,1958
1958-03-25,848.60004,1958,1958
1958-03-26,860.10004,1958,1958
1958-03-27,866.7,1958,1958
1958-03-28,870.60004,1958,1958
1958-03-29,902.0,1958,1958
1958-03-30,906.0,1958,1958
1958-03-31,920.60004,1958,1958
1958-04-01,917.60004,1958,1958
1958-04-02,917.5,1958,1958
1958-04-03,915.4,1958,1958
1958-04-04,905.0,1958,1958
1958-04-05,900.4,1958,1958
1958-04-06,910.2,1958,1958
1958-04-07,914.2,1958,1958
1958-04-08,914.10004,1958,1958
1958-04-09,936.8,1958,1958
1958-04-10,953.60004,1958,1958
1958-04-11,986.4,1958,1958
1958-04-12,994.3,1958,1958
1958-04-13,994.60004,1958,1958
1958-04-14,995.10004,1958,1958
1958-04-15,994.7,1958,1958
1958-04-16,995.2,1958,1958
1958-04-17,995.2,1958,1958
1958-04-18,995.3,1958,1958
1958-04-19,995.7,1958,1958
1958-04-20,995.4,1958,1958
1958-04-21,995.9,1958,1958
1958-04-22,989.10004,1958,1958
1958-04-23,982.3,1958,1958
1958-04-24,973.5,1958,1958
1958-04-25,960.9,1958,1958
1958-04-26,948.4,1958,1958
1958-04-27,934.9,1958,1958
1958-04-28,920.0,1958,1958
1958-04-29,904.2,1958,1958
1958-04-30,887.9,1958,1958
1958-05-01,872.2,1958,1958
1958-05-02,858.9,1958,1958
1958-05-03,846.4,1958,1958
1958-05-04,834.2,1958,1958
1958-05-05,821.8,1958,1958
1958-05-06,809.3,1958,1958
1958-05-07,796.3,1958,1958
1958-05-08,788.7,1958,1958
1958-05-09,782.0,1958,1958
1958-05-10,767.4,1958,1958
1958-05-11,751.5,1958,1958
1958-05-12,741.0,1958,1958
1958-05-13,733.10004,1958,1958
1958-05-14,722.5,1958,1958
1958-05-15,710.2,1958,1958
1958-05-16,693.5,1958,1958
1958-05-17,674.2,1958,1958
1958-05-18,657.9,1958,1958
1958-05-19,644.8,1958,1958
1958-05-20,637.7,1958,1958
1958-05-21,626.7,1958,1958
1958-05-22,614.5,1958,1958
1958-05-23,602.4,1958,1958
1958-05-24,589.8,1958,1958
1958-05-25,575.10004,1958,1958
1958-05-26,553.9,1958,1958
1958-05-27,529.10004,1958,1958
1958-05-28,504.1,1958,1958
1958-05-29,484.1,1958,1958
1958-05-30,467.30002,1958,1958
1958-05-31,450.30002,1958,1958
1958-06-01,429.7,1958,1958
1958-06-02,408.30002,1958,1958
1958-06-03,386.30002,1958,1958
1958-06-04,367.1,1958,1958
1958-06-05,352.4,1958,1958
1958-06-06,338.5,1958,1958
1958-06-07,323.5,1958,1958
1958-06-08,310.5,1958,1958
1958-06-09,296.7,1958,1958
1958-06-10,281.7,1958,1958
1958-06-11,264.1,1958,1958
1958-06-12,243.0,1958,1958
1958-06-13,221.2,1958,1958
1958-06-14,200.0,1958,1958
1958-06-15,179.3,1958,1958
1958-06-16,155.90001,1958,1958
1958-06-17,129.6,1958,1958
1958-06-18,103.1,1958,1958
1958-06-19,81.9,1958,1958
1958-06-20,66.5,1958,1958
1958-06-21,54.100002,1958,1958
1958-06-22,41.3,1958,1958
1958-06-23,29.800001,1958,1958
1958-06-24,18.1,1958,1958
1958-06-25,9.900001,1958,1958
1958-06-26,4.5,1958,1958
1958-06-27,1.3000001,1958,1958
1958-06-28,0.1,1958,1958
1958-06-29,0.0,1958,1958
1958-06-30,0.0,1958,1958
1958-07-01,0.0,1959,1959
1958-07-02,0.0,1959,1959
1958-07-03,0.0,1959,1959
1958-07-04,0.0,1959,1959
1958-07-05,0.0,1959,1959
1958-07-06,0.0,1959,1959
1958-07-07,0.0,1959,1959
1958-07-08,0.0,1959,1959
1958-07-09,0.0,1959,1959
1958-07-10,0.0,1959,1959
1958-07-11,0.0,1959,1959
1958-07-12,0.0,1959,1959
1958-07-13,0.0,1959,1959
1958-07-14,0.0,1959,1959
1958-07-15,0.0,1959,1959
1958-07-16,0.0,1959,1959
1958-07-17,0.0,1959,1959
1958-07-18,0.0,1959,1959
1958-07-19,0.0,1959,1959
1958-07-20,0.0,1959,1959
1958-07-21,0.0,1959,1959
1958-07-22,0.0,1959,1959
1958-07-23,0.0,1959,1959
1958-07-24,0.0,1959,1959
1958-07-25,0.0,1959,1959
1958-07-26,0.0,1959,1959
1958-07-27,0.0,1959,1959
1958-07-28,0.0,1959,1959
1958-07-29,0.0,1959,1959
1958-07-30,0.0,1959,1959
1958-07-31,0.0,1959,1959
1958-08-01,0.0,1959,1959
1958-08-02,0.0,1959,1959
1958-08-03,0.0,1959,1959
1958-08-04,0.0,1959,1959
1958-08-05,0.0,1959,1959
1958-08-06,0.0,1959,1959
1958-08-07,0.0,1959,1959
1958-08-08,0.0,1959,1959
