time,swe,year,water_year
1958-01-01,91.9,1958,1958
1958-01-02,91.9,1958,1958
1958-01-03,107.200005,1958,1958
1958-01-04,107.200005,1958,1958
1958-01-05,107.200005,1958,1958
1958-01-06,107.200005,1958,1958
1958-01-07,107.200005,1958,1958
1958-01-08,107.200005,1958,1958
1958-01-09,107.200005,1958,1958
1958-01-10,107.200005,1958,1958
1958-01-11,107.200005,1958,1958
1958-01-12,107.200005,1958,1958
1958-01-13,109.0,1958,1958
1958-01-14,109.0,1958,1958
1958-01-15,119.4,1958,1958
1958-01-16,126.8,1958,1958
1958-01-17,125.4,1958,1958
1958-01-18,146.2,1958,1958
1958-01-19,147.90001,1958,1958
1958-01-20,152.5,1958,1958
1958-01-21,174.6,1958,1958
1958-01-22,174.6,1958,1958
1958-01-23,174.6,1958,1958
1958-01-24,174.7,1958,1958
1958-01-25,174.7,1958,1958
1958-01-26,174.7,1958,1958
1958-01-27,174.6,1958,1958
1958-01-28,174.6,1958,1958
1958-01-29,174.7,1958,1958
1958-01-30,176.2,1958,1958
1958-01-31,173.1,1958,1958
1958-02-01,161.6,1958,1958
1958-02-02,152.0,1958,1958
1958-02-03,179.8,1958,1958
1958-02-04,183.6,1958,1958
1958-02-05,183.7,1958,1958
1958-02-06,183.7,1958,1958
1958-02-07,183.8,1958,1958
1958-02-08,183.7,1958,1958
1958-02-09,183.8,1958,1958
1958-02-10,183.8,1958,1958
1958-02-11,183.8,1958,1958
1958-02-12,183.90001,1958,1958
1958-02-13,185.6,1958,1958
1958-02-14,185.6,1958,1958
1958-02-15,188.90001,1958,1958
1958-02-16,197.40001,1958,1958
1958-02-17,204.2,1958,1958
1958-02-18,222.3,1958,1958
1958-02-19,237.8,1958,1958
1958-02-20,238.5,1958,1958
1958-02-21,242.7,1958,1958
1958-02-22,248.0,1958,1958
1958-02-23,247.90001,1958,1958
1958-02-24,247.8,1958,1958
1958-02-25,247.90001,1958,1958
1958-02-26,247.90001,1958,1958
1958-02-27,247.90001,1958,1958
1958-02-28,327.30002,1958,1958
1958-03-01,340.80002,1958,1958
1958-03-02,369.6,1958,1958
1958-03-03,389.6,1958,1958
1958-03-04,398.1,1958,1958
1958-03-05,408.7,1958,1958
1958-03-06,411.1,1958,1958
1958-03-07,411.2,1958,1958
1958-03-08,411.1,1958,1958
1958-03-09,411.30002,1958,1958
1958-03-10,411.4,1958,1958
1958-03-11,411.6,1958,1958
1958-03-12,411.4,1958,1958
1958-03-13,411.6,1958,1958
1958-03-14,411.6,1958,1958
1958-03-15,411.6,1958,1958
1958-03-16,411.6,1958,1958
1958-03-17,414.0,1958,1958
1958-03-18,414.80002,1958,1958
1958-03-19,414.80002,1958,1958
1958-03-20,414.80002,1958,1958
1958-03-21,414.80002,1958,1958
1958-03-22,414.80002,1958,1958
1958-03-23,414.80002,1958,1958
1958-03-24,417.5,1958,1958
1958-03-25,421.4,1958,1958
1958-03-26,421.4,1958,1958
1958-03-27,421.4,1958,1958
1958-03-28,421.4,1958,1958
1958-03-29,421.4,1958,1958
1958-03-30,421.4,1958,1958
1958-03-31,421.4,1958,1958
1958-04-01,421.4,1958,1958
1958-04-02,421.4,1958,1958
1958-04-03,421.4,1958,1958
1958-04-04,421.4,1958,1958
1958-04-05,421.30002,1958,1958
1958-04-06,423.1,1958,1958
1958-04-07,435.0,1958,1958
1958-04-08,450.7,1958,1958
1958-04-09,472.5,1958,1958
1958-04-10,472.9,1958,1958
1958-04-11,472.9,1958,1958
1958-04-12,473.0,1958,1958
1958-04-13,510.1,1958,1958
1958-04-14,496.4,1958,1958
1958-04-15,483.80002,1958,1958
1958-04-16,473.9,1958,1958
1958-04-17,467.0,1958,1958
1958-04-18,462.30002,1958,1958
1958-04-19,454.9,1958,1958
1958-04-20,443.1,1958,1958
1958-04-21,428.7,1958,1958
1958-04-22,416.6,1958,1958
1958-04-23,401.1,1958,1958
1958-04-24,387.5,1958,1958
1958-04-25,370.7,1958,1958
1958-04-26,353.9,1958,1958
1958-04-27,340.30002,1958,1958
1958-04-28,323.5,1958,1958
1958-04-29,305.2,1958,1958
1958-04-30,288.4,1958,1958
1958-05-01,272.7,1958,1958
1958-05-02,259.4,1958,1958
1958-05-03,247.8,1958,1958
1958-05-04,238.7,1958,1958
1958-05-05,227.90001,1958,1958
1958-05-06,217.5,1958,1958
1958-05-07,200.1,1958,1958
