municipality,var
Oslo,3.8371569740828706
Aremark,3.999613644814454
Fredrikstad,3.7758975548582248
Halden,3.8150290283425576
Hvaler,3.844123625225392
Marker,3.967544121140237
Moss,3.967398913045679
Rakkestad,3.9113695576017875
Råde,3.9229162957571586
Sarpsborg,3.898953308498848
Skiptvet,3.9380790917367285
Våler Østfold,3.9281496822377195
Indre Østfold,3.980400491953716
Bærum,3.9557049027344897
Gjerdrum,4.035597758550356
Hurdal,4.190179020985889
Lørenskog,3.971143879218288
Nannestad,4.190930087350524
Nes Akershus,4.015599309609062
Nesodden,3.953962749122219
Rælingen,3.9899386393092273
Ullensaker,4.13465923589114
Vestby,3.986554761770746
Ås,3.998050952926636
Enebakk,4.0811742304180125
Aurskog-Høland,4.014051477606717
Lillestrøm,3.945594570486928
Nittedal,4.032038702613221
Nordre Follo,4.0193704642483485
Eidsvoll,4.0725288211383255
Asker,4.054315343726474
Frogn,3.9979332602964717
Alvdal,4.2150224638601
Eidskog,4.080745642867336
Elverum,4.1303896303662215
Engerdal,4.486181730452265
Folldal,4.301839266550508
Grue,4.1051769422488
Hamar,3.9782846468282913
Kongsvinger,4.109452944275721
Løten,3.988391353057555
Nord-Odal,4.150643417670905
Os Innlandet,4.367135309894817
Bjørnafjorden,3.927154501038309
Rendalen,4.484825943477102
Ringsaker,4.239578626997111
Stange,4.061454111359644
Stor-Elvdal,4.355281692865969
Sør-Odal,4.097254077995492
Tolga,4.365935130105075
Trysil,4.501728754248714
Tynset,4.309341369530602
Våler Innlandet,4.3366155939718345
Åmot,4.338244495757639
Åsnes,4.238271478129529
Dovre,4.252718937646482
Etnedal,4.251438185224078
Gausdal,4.302844316778674
Gjøvik,4.166045515507244
Gran,4.1443739720673936
Jevnaker,4.068296108515897
Lesja,4.2655535897435675
Lillehammer,4.28760313626444
Lom,4.145601892880468
Lunner,4.205338116842248
Nord-Aurdal,4.200098850504978
Nord-Fron,4.108394599820977
Nordre Land,4.225772439264679
Ringebu,4.148430377917451
Sel,4.136090900163238
Skjåk,4.134118477809104
Søndre Land,4.24869554684879
Sør-Aurdal,4.175737381411725
Sør-Fron,4.211293827452177
Vang,4.362888888988158
Vestre Slidre,4.266853876558461
Vestre Toten,4.260063554507923
Vågå,4.500352486947811
Østre Toten,4.221887000252387
Øyer,4.1847633147854
Øystre Slidre,4.419204326101897
Drammen,3.9751448950123383
Flesberg,4.157919512809722
Flå,4.158287644940745
Gol,4.231953553991129
Hemsedal,4.378125202457508
Hol,4.334770170135878
Hole,4.047836135708952
Kongsberg,4.151421115526393
Krødsherad,4.143083131688349
Lier,3.976865817070067
Modum,4.118309861428946
Nes Buskerud,4.222118794197648
Nore og Uvdal,4.125066480989628
Ringerike,3.985132290731003
Rollag,4.1799533738368435
Sigdal,4.223343239142828
Øvre Eiker,3.9839962517791876
Ål,4.2820941202098615
