municipality,var
Oslo,8.93011464270291
Aremark,6.418145179377484
Fredrikstad,7.319989797993539
Halden,7.72664020167576
Hvaler,6.292819373393923
Marker,6.437262796666916
Moss,7.646859616026694
Rakkestad,7.2866053350704
Råde,6.545813935476548
Sarpsborg,7.843349785910096
Skiptvet,7.255296021011919
Våler Østfold,7.232565269317814
Indre Østfold,7.270068863483179
Bærum,7.44202339165217
Gjerdrum,6.913853014005596
Hurdal,6.81104177297853
Lørenskog,10
Nannestad,6.50554130883112
Nes Akershus,7.530705476368903
Nesodden,8.601970593643829
Rælingen,10
Ullensaker,6.630612160097261
Vestby,7.719602145083616
Ås,7.379575963854404
Enebakk,10
Aurskog-Høland,7.630834357271985
Lillestrøm,10
Nittedal,10
Nordre Follo,7.642262273242442
Eidsvoll,10
Asker,10
Frogn,10
Alvdal,10
Eidskog,7.952430723182803
Elverum,10
Engerdal,5.2483267900419195
Folldal,6.275600768268839
Grue,8.674085144512647
Hamar,8.640899796882682
Kongsvinger,7.0459504688106
Løten,10
Nord-Odal,7.5625739306538335
Os Innlandet,6.379693775421434
Bjørnafjorden,9.978611929974848
Rendalen,10
Ringsaker,10
Stange,10
Stor-Elvdal,6.79657288634155
Sør-Odal,8.532422407351246
Tolga,7.251659113876532
Trysil,5.387638765856278
Tynset,10
Våler Innlandet,6.070486864723559
Åmot,6.50045403869295
Åsnes,8.68174998912505
Dovre,10
Etnedal,6.423082651437305
Gausdal,10
Gjøvik,6.913077664593948
Gran,7.045667923248625
Jevnaker,10
Lesja,6.062724510737897
Lillehammer,10
Lom,8.589603326826891
Lunner,6.891117893526359
Nord-Aurdal,10
Nord-Fron,10
Nordre Land,10
Ringebu,10
Sel,8.589946322627545
Skjåk,7.678142618994989
Søndre Land,6.919588087275764
Sør-Aurdal,6.776913757260974
Sør-Fron,10
Vang,4.727834025659931
Vestre Slidre,10
Vestre Toten,5.81450999715352
Vågå,10
Østre Toten,10
Øyer,10
Øystre Slidre,5.4954481788488065
Drammen,7.697278502849292
Flesberg,6.521314570106785
Flå,6.601467328552705
Gol,10
Hemsedal,4.154555304341677
Hol,7.481770929870584
Hole,8.663397114297622
Kongsberg,10
Krødsherad,10
Lier,7.159897368529345
Modum,10
Nes Buskerud,10
Nore og Uvdal,6.117997544250909
