municipality,var
Oslo,6.572435845626281
Aremark,5.792614224665034
Fredrikstad,6.162689917878772
Halden,6.910494878526508
Hvaler,5.635612260432615
Marker,4.945840830514138
Moss,5.135831547077932
Rakkestad,5.2523184200991455
Råde,5.224577206571832
Sarpsborg,5.866355698032597
Skiptvet,5.111375931391464
Våler Østfold,4.812818634030178
Indre Østfold,5.292271431092748
Bærum,5.24887834606128
Gjerdrum,5.0086590690784965
Hurdal,4.775985980615346
Lørenskog,5.278239956806975
Nannestad,5.000720978798124
Nes Akershus,5.726258987064634
Nesodden,5.773710147177862
Rælingen,5.011626894187786
Ullensaker,5.225063783185993
Vestby,5.238564386095352
Ås,5.052656055624515
Enebakk,5.318688819042254
Aurskog-Høland,5.621115730897105
Lillestrøm,5.112626741295622
Nittedal,4.614555842183726
Nordre Follo,4.923282363798416
Eidsvoll,5.653407380501936
Asker,4.4893768971085635
Frogn,5.078823101848166
Alvdal,5.216534951142191
Eidskog,5.253756335228998
Elverum,4.79106967248469
Engerdal,4.975139680746359
Folldal,5.919388644325487
Grue,6.126598850204577
Hamar,5.824870006867428
Kongsvinger,5.880530487106342
Løten,6.503293842279867
Nord-Odal,5.7953097755106375
Os Innlandet,4.7358722647411975
Bjørnafjorden,6.534161790698056
Rendalen,5.212919708565673
Ringsaker,5.710282954065851
Stange,6.266953326382096
Stor-Elvdal,5.121121532902212
Sør-Odal,6.201394219638182
Tolga,5.176214151747084
Trysil,4.5788795636528326
Tynset,4.912406047123354
Våler Innlandet,5.420144925397544
Åmot,4.747366653371229
Åsnes,5.8021379000931335
Dovre,5.31242283379062
Etnedal,4.766731922202507
Gausdal,4.562995447834263
Gjøvik,5.239891062850764
Gran,4.810176542607853
Jevnaker,5.230053475344453
Lesja,3.8935060875765997
Lillehammer,5.56448598906813
Lom,4.107724889861281
Lunner,4.815730914545524
Nord-Aurdal,5.1218176184318205
Nord-Fron,5.406725383481767
Nordre Land,5.602512693389224
Ringebu,5.262272300751423
Sel,5.483761906044523
Skjåk,3.863196238277818
Søndre Land,5.190858552717342
Sør-Aurdal,4.935089606920691
Sør-Fron,5.015253421996084
Vang,4.121416077268926
Vestre Slidre,5.227780727646335
Vestre Toten,4.527678564975159
Vågå,4.807705322141215
Østre Toten,4.830943671788737
Øyer,4.9526634014384845
Øystre Slidre,4.9709921406026965
Drammen,5.196708010760443
Flesberg,5.20002111935146
Flå,4.667193488426603
Gol,5.054887285175068
Hemsedal,3.983204823973447
Hol,4.5917062221962865
Hole,3.718659129912631
Kongsberg,5.329768479655811
Krødsherad,4.694388783704173
Lier,4.746754130001236
Modum,5.418056652129948
Nes Buskerud,5.3164884638511305
Nore og Uvdal,4.594058742900279
Ringerike,5.690646233780642
Rollag,4.485554656258393
Sigdal,4.462850097380997
Øvre Eiker,5.764192450724007
Ål,4.848980462007864
Nesbyen,5.3164884638511305
Færder,5.2128374529459895
Holmestrand,4.86151002239541
Horten,5.032909957544802
Larvik,5.51315140952124
Sandefjord,5.655916098351843
Tønsberg,5.546790458001243
Bamble,5.478934183065172
Drangedal,4.831785675825775
Fyresdal,5.289527013294123
Hjartdal,5.027995747375189
Kragerø,5.216845888268215
Kviteseid,6.037973848731304
Nissedal,5.086369156579618
Nome,5.1025017268134
Notodden,5.592472549761833
Porsgrunn,5.559538714840828
Seljord,5.494764471020007
Siljan,5.121141214158768
Skien,5.4430100794517475
Tinn,4.726045715353053
Tokke,5.015100885707678
Vinje,4.5953405448724025
Midt-Telemark,4.897955888792817
Arendal,5.988828238978468
Birkenes,5.1651745271002545
Bygland,5.357148883720931
Bykle,3.178066477351215
Evje og Hornnes,4.77555485372261
Froland,4.660365123735213
Gjerstad,4.494027107490636
Grimstad,5.254979387063614
Iveland,4.093092647814425
Lillesand,5.983887934815951
Risør,5.009343700883869
Tvedestrand,4.465252869947654
Valle,5.18236421341735
Vegårshei,3.8764795544585615
Åmli,4.96919638354344
Farsund,6.0293278133869395
Flekkefjord,5.448177812828871
Hægebostad,5.38611397002643
Kristiansand,6.53135728051132
Kvinesdal,5.510417375009178
Lindesnes,5.652757610650934
Lyngdal,6.350486838856013
Sirdal,5.803972624492885
Vennesla,4.954628652887397
Åseral,4.508951007998671
Bjerkreim,5.957984261088814
Bokn,5.048519652316044
Eigersund,5.157912589936559
Gjesdal,5.5193568202990875
Haugesund,4.937392549345702
Hjelmeland,5.077584965436786
Hå,4.9225530740969194
Karmøy,5.016704516655444
Klepp,5.228950767149591
Kvitsøy,5.359920552281719
Lund,5.44490429128605
Randaberg,5.427476372222729
Sandnes,5.712543128482251
Sauda,5.201604769183669
Sokndal,5.192387595435475
Sola,5.695697984180598
Stavanger,5.56653546751082
Strand,5.216957438882349
Suldal,5.320259231958467
Time,5.31468108352548
Tysvær,5.509543312278817
Vindafjord,5.118285764222008
Askøy,5.64649880573693
Austevoll,5.26878409876288
Austrheim,4.429410145323485
Bergen,5.026239589567382
Bømlo,4.759695932690125
Eidfjord,5.809446491447718
Etne,4.771567040926652
Fedje,4.5178308950021
Fitjar,4.445856840699999
Fusa,5.3636784693905435
Jondal,4.114242837668638
Kvam,4.317236803650307
Kvinnherad,4.926098441679458
Lindås,4.275358184538053
Masfjorden,4.990117730409832
Meland,5.306256736435798
Modalen,5.044043608329117
Odda,5.356713892448592
Os Vestland,5.111383186100207
Osterøy,5.351851389596163
Voss,4.27223859601195
Øygarden,5.152157104268122
Ullensvang,5.356713892448592
Alver,6.138890722275557
Vaksdal,4.107985136010497
Samnanger,4.8982441280229745
Ulvik,5.740979388360164
Sveio,5.594840903598354
Stord,5.062215305480736
Tysnes,4.6326982407485575
Askvoll,5.577111134340828
Aurland,5.646810989424113
Bremanger,3.996346475530566
Stad,5.360515525862731
Fjaler,5.3397273141777015
Kinn,5.001539234710258
Førde,5.590507246153663
Gloppen,4.407970166354535
Gulen,4.848390790230576
Hornindal,5.519352131224959
Hyllestad,5.507794475529149
Høyanger,5.050753992676951
Jølster,3.1484158473332653
Leikanger,4.566431731644154
Luster,4.566572346850782
Lærdal,5.0297078690605534
Naustdal,5.439627879137225
Sogndal,4.393465378085759
Solund,4.9487945587593325
Stryn,5.399412297574892
Vik,3.7402800644237
Årdal,4.033876043128552
Sunnfjord,5.590507246153663
Aukra,4.8587086444548335
Aure,5.364708109818747
Averøy,5.470319347433193
Hustadvika,5.296544660235814
Fræna,5.296544660235814
Giske,4.941335561817425
Gjemnes,5.567139522083001
Halsa,5.240596503195485
Haram,4.389285556897615
Hareid,4.94914877566915
Herøy Møre og Romsdal,4.787205411843001
Kristiansund,5.698769231323479
Midsund,4.92400572362228
Molde,5.215422519695132
Nesset,5.124196270456985
Norddal,5.899405292044559
Rauma,5.616936572470667
Rindal,5.1416468315547394
Sande,4.94961326198934
Skodje,5.347135351753748
Smøla,5.488577112972467
Stordal,5.07736077402512
Stranda,5.491928754683286
Sula,4.7691286921909715
Sunndal,5.34457552153163
Surnadal,5.286853385904595
Sykkylven,4.951333771367707
Tingvoll,5.664018911302928
Ulstein,4.458862112377673
Vanylven,4.7630444608046325
Vestnes,5.081568237319659
Volda,5.4673789788079725
Ørskog,5.288368262795299
Fjord,5.899405292044559
Ørsta,5.183884053726718
Ålesund,5.071200974049683
Flatanger,4.923722884222276
Frosta,4.764883713730541
Frøya,5.160605581970931
Grong,3.8155916767143676
Heim,5.602793564977227
Hitra,5.4102698802867915
Holtålen,4.009176854581364
Høylandet,5.138041377148386
Inderøy,5.9639496814773185
Indre Fosen,5.862959196126072
Klæbu,4.867055398813578
Leka,4.508704272605027
Levanger,6.097060908276353
Lierne,3.8599478374037526
Malvik,6.101465532238166
Orkland,5.742194492499325
Meråker,5.7238813827721655
Midtre Gauldal,5.732964109511163
Namsos,4.790741337993994
Namsskogan,4.875302234378477
Oppdal,3.672898850674238
Selbu,4.659958322180243
Trondheim,5.495310375099313
Tydal,4.9343750012987755
Verdal,5.966233735750748
Ørland,5.039716446597659
Stjørdal,5.960130646702091
Osen,4.241229571608718
Skaun,5.4349202407911035
Melhus,5.450385860477566
Nærøysund,3.379189725381664
Steinkjer,5.203355392951575
Åfjord,4.917525948053987
Rennebu,4.261902431267915
Overhalla,5.255198308313775
Røros,4.82075847016652
Røyrvik,3.876268634322196
Snåsa,4.306380061089914
Alstahaug,5.685398212438326
Andøy,3.798323449454834
Ballangen,4.818692814938802
Beiarn,3.9917673603536645
Bindal,4.617799441519612
Bodø,5.566587541674517
Brønnøy,5.579115158047504
Bø Vesterålen,4.740083079124743
Dønna,4.656724857391033
Evenes,2.9385730898214337
Fauske,5.262802149086034
Flakstad,3.8961475443888203
Gildeskål,5.144792647476609
Grane,5.126405726500474
Hadsel,4.722033536976028
Hábmer,4.773243867644022
Aarborte,4.776503776477565
Hemnes,4.4348906049384205
Herøy Nordland,4.775074077817007
Leirfjord,4.0234632444115555
Lurøy,5.432247695087291
Lødingen,4.267923885166708
Meløy,4.901896528458682
Moskenes,3.695288059034255
Narvik,3.6760824770781415
Nesna,4.837605908802798
Rana,4.309155666263721
Rødøy,5.752341573763194
Saltdal,5.382836800145808
Sortland - Suortá,4.414674357126388
Steigen,4.628770524709446
Sømna,5.45513462015925
Sørfold,5.045333640442388
Tjeldsund,3.816645115422546
Tysfjord,4.990729484397474
Vefsn,4.821420457846073
Vega,4.672697496965946
Vestvågøy,4.020709963837258
Vevelstad,5.185812242998065
Værøy,3.2117738375249147
Vågan,4.143082204055542
Øksnes,4.08146906242715
Balsfjord,4.5649240733073135
Bardu,3.7602975415151807
Dyrøy,3.6864806958122553
Kåfjord,3.450603982104685
Gratangen,4.023848857833106
Harstad,4.289283919515346
Ibestad,4.2235154905863235
Karlsøy,4.513484366649552
Kvæfjord,3.649641696982428
Kvænangen,4.172178177287107
Lavangen,3.6040832670777294
Lenvik,4.021782659774783
Lyngen,3.9158374419641184
Målselv,4.180080735929927
Nordreisa,3.499222349749393
Salangen,3.99927487629122
Skjervøy,3.1065170701172344
Storfjord,4.173792195895116
Sørreisa,4.324774657413693
Senja,3.7151869648984372
Tranøy,4.329901061985116
Tromsø,3.8549079486695406
Alta,4.6607162762775625
Berlevåg,3.6143512926979433
Båtsfjord,3.446695909852221
Deatnu - Tana,5.084906259657584
Gamvik,3.69743785983084
Kautokeino,5.2698367689442
Hammerfest,3.2551317877123074
Hasvik,2.642017424699441
Karasjok,5.095876443590656
Kvalsund,6.322738711287992
Lebesby,3.469411308325011
Loppa,3.586267430140557
Måsøy,3.3485908229105554
Nordkapp,3.332441897871702
Porsanger,4.537969345584155
Sør-Varanger,4.805506589273437
Nesseby,5.059241779553317
Vadsø,4.57790185374219
