municipality,var
Oslo,5.162967801075893
Aremark,4.821695099965777
Fredrikstad,4.926984697935104
Halden,6.02331205102657
Hvaler,4.623061579077082
Marker,4.704729893184091
Moss,4.731395142973865
Rakkestad,4.6971285568066135
Råde,4.4308683835227
Sarpsborg,5.323272581379338
Skiptvet,4.62419176508719
Våler Østfold,4.596569719639774
Indre Østfold,4.494531980096825
Bærum,4.484266829482231
Gjerdrum,4.2625287393026
Hurdal,4.358157092746817
Lørenskog,4.538220781204344
Nannestad,4.449104021501451
Nes Akershus,5.065177655566418
Nesodden,4.953208516221221
Rælingen,4.457562930890216
Ullensaker,4.48056277694956
Vestby,5.456869258737526
Ås,5.16937723087915
Enebakk,4.9261716217537765
Aurskog-Høland,4.711341502410717
Lillestrøm,4.386802899266273
Nittedal,4.17004102962894
Nordre Follo,4.951549362524276
Eidsvoll,5.100954524616448
Asker,4.112447532076138
Frogn,4.31640999689386
Alvdal,5.5659145940656725
Eidskog,4.686718305722722
Elverum,4.687327132349998
Engerdal,4.456321841473692
Folldal,5.760970641664847
Grue,5.361362748899057
Hamar,5.151410564197568
Kongsvinger,4.969888996368403
Løten,5.938550068371185
Nord-Odal,4.634237211334718
Os Innlandet,4.911901011705274
Bjørnafjorden,5.621033730997596
Rendalen,5.163741121072053
Ringsaker,4.964560832739013
Stange,5.642184161778299
Stor-Elvdal,4.76492474101158
Sør-Odal,5.405865063541577
Tolga,5.400567492952205
Trysil,4.489889173409628
Tynset,5.119955118224212
Våler Innlandet,4.937524155489274
Åmot,3.949347965109076
Åsnes,5.117557122782183
Dovre,4.795244386796519
Etnedal,4.749529901561096
Gausdal,4.569220339404375
Gjøvik,4.555727057725256
Gran,4.15254179733077
Jevnaker,4.517703117436317
Lesja,3.5706019316554007
Lillehammer,4.598311159964989
Lom,4.350131932276882
Lunner,4.123544736549402
Nord-Aurdal,5.155658002804196
Nord-Fron,5.365407131976572
Nordre Land,5.152111106694731
Ringebu,5.381397848434326
Sel,5.10362207486098
Skjåk,3.8904130417392073
Søndre Land,4.7863487986734325
Sør-Aurdal,4.508007892858111
Sør-Fron,4.906890049941521
Vang,3.7011728911497577
Vestre Slidre,4.706192053159136
Vestre Toten,4.062034513898117
Vågå,4.486752497337866
Østre Toten,4.133146814382561
Øyer,4.551558817961107
Øystre Slidre,4.684137386256552
Drammen,3.9843717027398036
Flesberg,5.048139210355602
Flå,4.315274567460727
Gol,4.529834223525876
Hemsedal,4.224849746059136
Hol,4.5441714124666275
Hole,3.412405276712467
Kongsberg,4.701367295933124
Krødsherad,4.32747048743252
Lier,3.979708217087022
Modum,5.108637004356224
Nes Buskerud,4.9666651782284506
Nore og Uvdal,5.423395632383499
Ringerike,5.121531338841102
Rollag,4.252504155726489
Sigdal,4.434475229411634
Øvre Eiker,5.014788648062945
Ål,4.643915634524731
Nesbyen,4.9666651782284506
Færder,4.011990221385935
Holmestrand,4.269908705640514
Horten,4.508431270661136
Larvik,4.592261524329944
Sandefjord,5.106122428675611
Tønsberg,4.38096895424801
Bamble,4.426516293596431
Drangedal,4.516640306277709
Fyresdal,4.250940317919202
Hjartdal,4.738703050337264
Kragerø,3.975032394487484
Kviteseid,4.758394288431178
Nissedal,4.313916382579432
Nome,5.110284268255767
Notodden,5.082822390401726
Porsgrunn,4.650392295712824
Seljord,4.3418550836565
Siljan,4.549097886307628
Skien,4.7615466866178595
Tinn,4.411465830158311
Tokke,4.986439877297859
Vinje,4.489816542228788
Midt-Telemark,4.475493887946457
Arendal,4.353892324858121
Birkenes,4.550037977831899
Bygland,4.4776609020316425
Bykle,3.4794429717280058
Evje og Hornnes,4.370933678784494
Froland,3.8935663617721836
Gjerstad,4.184090753405838
Grimstad,4.56448063492969
Iveland,3.648902843145652
Lillesand,4.724523725843973
Risør,4.253828561305849
Tvedestrand,4.314946846637542
Valle,4.515944470274748
Vegårshei,3.814311886023616
Åmli,4.440419612117822
Farsund,5.088756162232327
Flekkefjord,4.345231892036675
Hægebostad,4.627483974199859
Kristiansand,4.442300666259258
Kvinesdal,5.228126833269795
Lindesnes,3.738317866818578
