municipality,var
Oslo,6.598593453811726
Aremark,5.799416742180856
Fredrikstad,6.177881286482524
Halden,6.928243091011077
Hvaler,5.636972044574219
Marker,4.963590936694247
Moss,5.162918370029473
Rakkestad,5.282653314483323
Råde,5.247372161161909
Sarpsborg,5.896171353077001
Skiptvet,5.142306204164904
Våler Østfold,4.842630751934476
Indre Østfold,5.315031887191289
Bærum,5.2757024678624855
Gjerdrum,5.03597617796702
Hurdal,4.805920663546078
Lørenskog,5.311405541922344
Nannestad,5.0333030813817885
Nes Akershus,5.728007421194445
Nesodden,5.801292326025296
Rælingen,5.041351942312613
Ullensaker,5.243349847618853
Vestby,5.2697246359536125
Ås,5.081207878109196
Enebakk,5.288025043982913
Aurskog-Høland,5.644229839980825
Lillestrøm,5.145383383029782
Nittedal,4.645424184496934
Nordre Follo,4.9483407593798665
Eidsvoll,5.652884549652291
Asker,4.503393611253803
Frogn,5.11196649384171
Alvdal,5.240077506861511
Eidskog,5.263740794297631
Elverum,4.816126576508934
Engerdal,4.951749397812904
Folldal,5.949020173073914
Grue,6.081118572253627
Hamar,5.843546116127797
Kongsvinger,5.821786169174234
Løten,6.530315502370178
Nord-Odal,5.733815008953829
Os Innlandet,4.760411312806443
Bjørnafjorden,6.5669013200278155
Rendalen,5.241022610572172
Ringsaker,5.703333535102236
Stange,6.295344916842358
Stor-Elvdal,5.1452964963498795
Sør-Odal,6.156984642466045
Tolga,5.203947777443568
Trysil,4.600775668403016
Tynset,4.939593446105941
Våler Innlandet,5.446713569620637
Åmot,4.756959095920234
Åsnes,5.815231801656144
Dovre,5.337611582306581
Etnedal,4.781411627676305
Gausdal,4.563854500318888
Gjøvik,5.256825631196587
Gran,4.83645081403781
Jevnaker,5.251552434258235
Lesja,3.920195640327523
Lillehammer,5.590621351064628
Lom,4.134031435498105
Lunner,4.840557763126811
Nord-Aurdal,5.147905785647948
Nord-Fron,5.4364331058175726
Nordre Land,5.620389674673742
Ringebu,5.276695142834942
Sel,5.460657839056316
Skjåk,3.891609444701395
Søndre Land,5.215591250374413
Sør-Aurdal,4.895513617999054
Sør-Fron,5.044442230890788
Vang,4.1498644709099
Vestre Slidre,5.230002283354815
Vestre Toten,4.549386733848259
Vågå,4.836905239500524
Østre Toten,4.787899842721936
Øyer,4.975242615046046
Øystre Slidre,4.981685765356431
Drammen,5.223331105980173
Flesberg,5.20182919008995
Flå,4.691139246267122
Gol,5.0801254138751775
Hemsedal,4.00118423131311
Hol,4.535637890152954
Hole,3.7332161508175536
Kongsberg,5.3450483386310506
Krødsherad,4.693369015736817
Lier,4.776329365548456
Modum,5.414608397392902
Nes Buskerud,5.341546863347593
Nore og Uvdal,4.595325786309869
Ringerike,5.714597866891306
Rollag,4.475701859458949
Sigdal,4.485274884084652
Øvre Eiker,5.8009121256742056
Ål,4.841546793093956
Nesbyen,5.341546863347593
Færder,5.240750493707656
Holmestrand,4.892521223697468
Horten,5.063721715627645
Larvik,5.5445146480960075
Sandefjord,5.680977508685163
Tønsberg,5.578126449149538
Bamble,5.504595748717948
Drangedal,4.8343670379455395
Fyresdal,5.295895882101408
Hjartdal,5.052493546903009
Kragerø,5.211814718334584
Kviteseid,6.015500139782044
Nissedal,5.092026206760805
Nome,5.118846683336981
Notodden,5.620816276120385
Porsgrunn,5.5887975471534155
Seljord,5.504480553749936
Siljan,5.153889397940969
Skien,5.470009588977809
Tinn,4.727460126235691
Tokke,4.948663022074399
Vinje,4.465304625977923
Midt-Telemark,4.9270937555493735
Arendal,5.9958708857013505
Birkenes,5.179549882166312
Bygland,5.371220262894276
Bykle,3.1877166925009783
Evje og Hornnes,4.7944218852177025
Froland,4.666941144100438
Gjerstad,4.50529596122781
Grimstad,5.226986738624978
Iveland,4.087030788864248
Lillesand,5.978671052828742
Risør,5.008103547328382
Tvedestrand,4.478081647127516
Valle,5.175326608151407
Vegårshei,3.905722622793658
Åmli,4.971391605168422
Farsund,6.00593576648372
Flekkefjord,5.389021548983791
Hægebostad,5.422038370069589
Kristiansand,6.530847188936457
Kvinesdal,5.500820634301989
Lindesnes,5.668395704317595
Lyngdal,6.295660715219635
Sirdal,5.819033945970289
Vennesla,4.9564736136039125
Åseral,4.517892948060232
Bjerkreim,5.937256756197809
Bokn,5.007834898182467
Eigersund,5.155589442291926
Gjesdal,5.4695723938634755
Haugesund,4.910198179829798
Hjelmeland,5.071413780197396
Hå,4.893671224797412
Karmøy,4.980193682359061
Klepp,5.192506716934516
Kvitsøy,5.3366271620775745
Lund,5.390545616190986
Randaberg,5.405251886127472
Sandnes,5.667102922088274
Sauda,5.227888783592968
Sokndal,5.18815011077294
Sola,5.6607777886110195
Stavanger,5.531212139824443
Strand,5.204287344694141
Suldal,5.344836039815734
Time,5.286920196554045
Tysvær,5.490904978259021
Vindafjord,5.117883670133268
Askøy,5.53589024071724
Austevoll,5.229585110941491
Austrheim,4.387924946404452
Bergen,5.008111210246806
Bømlo,4.7438321301445905
Eidfjord,5.780772859507836
Etne,4.740589111314647
Fedje,4.505404698264855
Fitjar,4.440405742661882
Fusa,5.341529575451719
Jondal,4.116755600647155
Kvam,4.297967297559034
Kvinnherad,4.911221718600571
Lindås,4.291206483614345
Masfjorden,4.997470230089449
Meland,5.27135842642467
Modalen,4.992087556633519
Odda,5.293711685601542
Os Vestland,5.13216657431491
Osterøy,5.343948394465712
Voss,4.290934827503299
Øygarden,5.087823542804926
Ullensvang,5.293711685601542
Alver,6.105735357979813
Vaksdal,4.126803453556833
Samnanger,4.915867876657932
Ulvik,5.763071627030464
Sveio,5.585012712498378
Stord,5.044539867090851
Tysnes,4.637600113230893
Askvoll,5.587342080416143
Aurland,5.665627338180966
Bremanger,4.015754874503912
Stad,5.375889880239033
Fjaler,5.347862125658108
Kinn,5.024683215863239
Førde,5.606652514973995
Gloppen,4.435316741978514
Gulen,4.8629997044187565
Hornindal,5.533847894022898
Hyllestad,5.500500387702188
Høyanger,5.0595806339757115
Jølster,3.172052729540133
Leikanger,4.589289160744427
Luster,4.594104409434921
Lærdal,5.0543690217026125
Naustdal,5.460024121346909
Sogndal,4.412841522962064
Solund,4.935935203523667
Stryn,5.414133059677507
Vik,3.7643674215552956
Årdal,4.031408013070918
Sunnfjord,5.606652514973995
Aukra,4.884292202908631
Aure,5.392217676411571
Averøy,5.454824871726351
Hustadvika,5.294726538519769
Fræna,5.294726538519769
Giske,4.968610302256054
Gjemnes,5.564180799903359
Halsa,5.269245114245533
Haram,4.393977336525639
Hareid,4.974955450371799
Herøy Møre og Romsdal,4.80881332671282
Kristiansund,5.716188154025104
Midsund,4.935357696005281
Molde,5.207784514815637
Nesset,5.109711594857643
Norddal,5.902475407362783
Rauma,5.621765478862085
Rindal,5.169672701929781
Sande,4.973494551902404
Skodje,5.3544372408420795
Smøla,5.490622347278359
Stordal,5.108694525831562
Stranda,5.522999747115522
Sula,4.797539461538021
Sunndal,5.244011955468339
Surnadal,5.307061118108929
Sykkylven,4.981816070518193
Tingvoll,5.66113360094198
Ulstein,4.4784883035985805
Vanylven,4.776574816652166
Vestnes,5.061653747414849
Volda,5.498447626504336
Ørskog,5.314849168019434
Fjord,5.902475407362783
Ørsta,5.2140200944123505
Ålesund,5.098810979104737
Flatanger,4.951851246919157
Frosta,4.7806094536136
Frøya,5.184879079816466
Grong,3.8000424499561563
Heim,5.612528035872576
Hitra,5.431383094720096
Holtålen,4.01794746260808
Høylandet,5.116472798695256
Inderøy,5.9857523394456535
Indre Fosen,5.886269458088479
Klæbu,4.886578271264086
Leka,4.527469473727876
Levanger,6.117012346711643
Lierne,3.8773500784909576
Malvik,6.076809186167856
Orkland,5.774242395410094
Meråker,5.753242439002208
Midtre Gauldal,5.764095101166923
Namsos,4.779345857064721
Namsskogan,4.891923170590382
Oppdal,3.6987006913282787
Selbu,4.6854355438018835
Trondheim,5.50597278270645
Tydal,4.962832481165582
Verdal,5.990477533680832
Ørland,5.065631132168921
Stjørdal,5.954013367832041
Osen,4.259190416473119
Skaun,5.463087355761478
Melhus,5.476893445321388
Nærøysund,3.391684413066487
Steinkjer,5.213048267155011
Åfjord,4.923864781988686
Rennebu,4.26645644266535
Overhalla,5.243787842940349
Røros,4.846688046457387
Røyrvik,3.8291168942036067
Snåsa,4.324123855485945
Alstahaug,5.697379270586948
Andøy,3.822325182301665
Ballangen,4.7937804132942725
Beiarn,4.024655235651259
Bindal,4.645105061949895
Bodø,5.586495520743537
Brønnøy,5.484785645562534
Bø Vesterålen,4.763769150918614
Dønna,4.685509168872878
Evenes,2.9559107158865414
Fauske,5.2587407630946625
Flakstad,3.907888808869919
Gildeskål,5.1779571596316085
Grane,5.135404024973372
Hadsel,4.750158150643097
Hábmer,4.787674860223613
Aarborte,4.759938623570687
