municipality,var
Oslo,1.644180243968078
Aremark,2.2668662076092794
Fredrikstad,1.3749603434672877
Halden,1.2253353688113657
Hvaler,1.4851643945659887
Marker,3.4144898177723757
Moss,3.0705913372096814
Rakkestad,2.785451060147066
Råde,2.3730464356950596
Sarpsborg,2.0303280864026254
Skiptvet,3.0484804915972847
Våler Østfold,3.558428164702621
Indre Østfold,2.8588736313845784
Bærum,3.3634774430460737
Gjerdrum,5.170861472230724
Hurdal,7.1170060905963055
Lørenskog,3.819972255583506
Nannestad,5.672772495884808
Nes Akershus,2.772570685141526
Nesodden,2.57388563949898
Rælingen,4.450818213993579
Ullensaker,4.919449282386246
Vestby,3.4382857156282443
Ås,3.8225215744080545
Enebakk,4.131521277341215
Aurskog-Høland,2.4691997775709407
Lillestrøm,4.101311119235669
Nittedal,6.365534224656176
Nordre Follo,4.156041121444447
Eidsvoll,3.8495163954239637
Asker,6.193994826963627
Frogn,4.308536075018892
Alvdal,4.58316998168401
Eidskog,3.651311928313665
Elverum,5.4570686719516965
Engerdal,6.219394733254799
Folldal,3.3806567173628417
Grue,2.4667506911501995
Hamar,2.5593297991462403
Kongsvinger,2.803013504008412
Løten,2.397633355765841
Nord-Odal,3.0004610400734393
Os Innlandet,6.443575135712561
Bjørnafjorden,2.0159085572711084
Rendalen,5.344107614216888
Ringsaker,5.080678157097251
Stange,2.798070913255411
Stor-Elvdal,5.219520901205035
Sør-Odal,2.3683453956375438
Tolga,5.0937942452798035
Trysil,7.576033042009644
Tynset,5.6652688627823435
Våler Innlandet,6.106736162377892
Åmot,6.350907523392981
Åsnes,3.036904343311082
Dovre,4.45523474118837
Etnedal,6.716570103436328
Gausdal,7.783764681673781
Gjøvik,4.976047077198629
Gran,5.442008385522486
Jevnaker,4.178078839623566
Lesja,9.7716354780858
Lillehammer,4.506923107813954
Lom,7.047104753686806
Lunner,6.336628995458996
Nord-Aurdal,5.370828192191731
Nord-Fron,3.891020577520158
Nordre Land,4.283731462740236
Ringebu,4.324954993743491
Sel,3.41109381423308
Skjåk,8.073221194013993
Søndre Land,5.333303970083774
Sør-Aurdal,6.0488142501521365
Sør-Fron,5.065245897273013
Vang,10.15363924992855
Vestre Slidre,5.349411721686892
Vestre Toten,7.657661340626813
Vågå,10.848753476230993
Østre Toten,6.580687276808139
Øyer,5.173558018819529
Øystre Slidre,8.125825032922082
Drammen,3.4980237890304715
Flesberg,7.397038497167401
Flå,5.187427685569623
Gol,5.031016985107422
Hemsedal,11.158181564326027
Hol,8.946374806221215
Hole,7.249156708248351
Kongsberg,5.247277195518828
Krødsherad,6.617627206976714
Lier,4.445668155009749
Modum,4.461892846744911
Nes Buskerud,4.922203053863535
Nore og Uvdal,8.456329390503456
Ringerike,2.739238717419077
Rollag,7.618473153511751
Sigdal,9.502646254492722
Øvre Eiker,3.389564384343027
Ål,6.618294903319943
Nesbyen,4.922203053863535
Færder,2.9541736868266213
Holmestrand,5.476265990634184
Horten,4.390523239311513
Larvik,4.2812246285629225
Sandefjord,3.520525639074236
Tønsberg,3.3668059811205535
Bamble,3.514251662573705
Drangedal,5.528710046429485
Fyresdal,4.869339256362865
Hjartdal,5.202728397910484
Kragerø,4.6153577123236875
Kviteseid,3.0172811612607173
Nissedal,5.301986491233997
Nome,4.086170328489605
Notodden,3.290229399417187
Porsgrunn,3.2998736899493175
Seljord,3.9510104800975285
Siljan,5.395736219638979
Skien,3.44540823962167
Tinn,6.45904432566377
Tokke,5.4638661344339665
Vinje,8.832818613754956
Midt-Telemark,4.701358664390465
Arendal,3.0363032349941084
Birkenes,4.612893376316307
Bygland,4.368640541867546
Bykle,18.399778261145098
Evje og Hornnes,5.873745357057422
Froland,6.11778009254082
Gjerstad,6.622789156474885
Grimstad,4.516483673233115
Iveland,9.229431311107628
Lillesand,2.98860778259367
Risør,5.079342834285684
Tvedestrand,6.6878437822215595
Valle,5.607585769118631
Vegårshei,9.514965461392043
Åmli,5.213934427041476
Farsund,1.5406854840230204
Flekkefjord,2.2766812562620857
Hægebostad,4.219255251987769
Kristiansand,2.0464451674359787
Kvinesdal,2.4682057313513805
Lindesnes,2.2580895902086895
Lyngdal,1.66951317936529
Sirdal,2.1685470928205817
Vennesla,5.020238633934495
Åseral,7.0847693762027175
Bjerkreim,1.216292093843217
Bokn,1.4761435956516493
Eigersund,1.8713753649044382
Gjesdal,1.655133904047518
Haugesund,1.5546748298484305
Hjelmeland,1.4004069573593987
Hå,1.5436295763454029
Karmøy,1.4951014423416988
Klepp,1.2790890588697392
Kvitsøy,1.1366352308270349
Lund,2.7649952030889406
Randaberg,1.0926065986009943
Sandnes,0.9359876245871132
