municipality,var
Oslo,0.6841568337451189
Aremark,0.5722819825878218
Fredrikstad,0.6940658582827215
Halden,0.5639113311042716
Hvaler,0.6311302362396404
Marker,0.6585320305260208
Moss,0.6484863163735581
Rakkestad,0.7057335172808433
Råde,0.6658682880885061
Sarpsborg,0.6638340764441217
Skiptvet,0.6824711349644405
Våler Østfold,0.7099732855838718
Indre Østfold,0.6260311397471847
Bærum,0.6709820205220893
Gjerdrum,0.6117691118441914
Hurdal,0.49722179332056193
Lørenskog,0.6632435023811007
Nannestad,0.4906338575856631
Nes Akershus,0.5860345425556716
Nesodden,0.6417124494113031
Rælingen,0.6516722624240978
Ullensaker,0.5253010413036409
Vestby,0.6379370199709543
Ås,0.6337386851244114
Enebakk,0.559699596708231
Aurskog-Høland,0.571971323246229
Lillestrøm,0.6983105745520591
Nittedal,0.6221190905843086
Nordre Follo,0.6171379370029588
Eidsvoll,0.5628444721225732
Asker,0.6002419365075541
Frogn,0.6413118869993475
Alvdal,0.46698919687402607
Eidskog,0.5522218831412828
Elverum,0.5324660964586182
Engerdal,0.345037377044969
Folldal,0.40048428267611197
Grue,0.4933617813915922
Hamar,0.6137531076303491
Kongsvinger,0.5056334446709504
Løten,0.5930941615276237
Nord-Odal,0.48210470595458027
Os Innlandet,0.39597182445571943
Bjørnafjorden,0.6270080913062825
Rendalen,0.34128341032493437
Ringsaker,0.45614390369674845
Stange,0.5447609376274362
Stor-Elvdal,0.39541335983951853
Sør-Odal,0.49371240254196225
Tolga,0.3895551173410924
Trysil,0.34354617150765915
Tynset,0.42091652406706354
Våler Innlandet,0.40924643059598514
Åmot,0.4094742987054944
Åsnes,0.42704068722621297
Dovre,0.44298344808604995
Etnedal,0.4575411797118238
Gausdal,0.43207730189302707
Gjøvik,0.5029510362268554
Gran,0.5218763770828113
Jevnaker,0.5714948054115402
Lesja,0.45626489406657783
Lillehammer,0.42399971664490055
Lom,0.5283029004532569
Lunner,0.4844245439611734
Nord-Aurdal,0.48277778176132263
Nord-Fron,0.5337228548890459
Nordre Land,0.4571621257334737
Ringebu,0.50921807859361
Sel,0.5034431727874032
Skjåk,0.539697454415697
Søndre Land,0.45248069925952433
