municipality,var
Oslo,-2.691497641445873
Aremark,-1.527710970462132
Fredrikstad,-1.5900579094515188
Halden,-2.0810633576998043
Hvaler,-0.9318418906105053
Marker,-1.5402916537356197
Moss,-2.0624187148730795
Rakkestad,-1.9566547103219527
Råde,-1.326028536990124
Sarpsborg,-2.1055542008812633
Skiptvet,-1.945686594178567
Våler Østfold,-1.9375313376226184
Indre Østfold,-1.950898745790454
Bærum,-2.3787885201086403
Gjerdrum,-2.735736748765441
Hurdal,-2.9424092916269777
Lørenskog,-3.1409693723650434
Nannestad,-2.3711361524715135
Nes Akershus,-2.4128297604208733
Nesodden,-2.661053707363106
Rælingen,-3.1045823301539794
Ullensaker,-2.492196889775777
Vestby,-2.4776052867254594
Ås,-2.3533615065697666
Enebakk,-2.750254445464573
Aurskog-Høland,-2.0584757695972535
Lillestrøm,-3.113495082237235
Nittedal,-3.4085782159884555
Nordre Follo,-2.4523259925480634
Eidsvoll,-3.406758507411904
Asker,-2.9601557572429256
Frogn,-2.923955851292844
Alvdal,-2.773924232673381
Eidskog,-2.508356981066621
Elverum,-3.062868845739705
Engerdal,-0.4657690352635244
Folldal,-1.895976972775732
Grue,-2.669037061671248
Hamar,-2.6182278369686465
Kongsvinger,-2.1958074208046545
Løten,-3.5133930652348635
Nord-Odal,-2.424486344745498
Os Innlandet,-1.9978419783108392
Bjørnafjorden,-3.2345068448108014
Rendalen,-3.0567701862274057
Ringsaker,-4.134593947113951
Stange,-3.5962057881605296
Stor-Elvdal,-2.348003468832681
Sør-Odal,-2.5631703060040314
Tolga,-2.640510670772013
Trysil,-0.7150485074167556
Tynset,-2.8862730831573193
Våler Innlandet,-2.2674413241125877
Åmot,-2.108440859201565
Åsnes,-2.607299087379696
Dovre,-3.1175878436834124
Etnedal,-2.2863099733837404
Gausdal,-3.412340485212897
Gjøvik,-2.735124736714827
Gran,-2.518452963194546
Jevnaker,-3.0234357927674607
Lesja,-1.6668672604334493
Lillehammer,-3.594319950466877
Lom,-2.6264556074129257
Lunner,-2.7176691833892517
Nord-Aurdal,-3.649744393920359
Nord-Fron,-3.12080158122715
Nordre Land,-3.2977279694687764
Ringebu,-3.116971455951306
Sel,-2.6596413749300347
Skjåk,-2.464261650248809
Søndre Land,-2.740300335771281
Sør-Aurdal,-2.6230599701127506
Sør-Fron,-3.1440013559061466
Vang,0.5999962324196257
Vestre Slidre,-3.671849813232143
Vestre Toten,-1.518012422220897
Vågå,-4.58906373205793
Østre Toten,-3.0482014108383524
Øyer,-3.1550296542511322
Øystre Slidre,-1.1842867104476538
Drammen,-2.4704805350019092
Flesberg,-3.409116007847132
Flå,-1.9214897418549945
Gol,-3.125348500224687
Hemsedal,2.796323195647112
Hol,-3.1193137731721787
Hole,-2.202999023308548
Kongsberg,-3.7484322581117464
Krødsherad,-3.448742971428337
Lier,-2.253916467873081
Modum,-3.6937657988844963
Nes Buskerud,-3.3382970220278563
Nore og Uvdal,-2.341991918055248
Ringerike,-2.6817349190636084
Rollag,-1.718145087649635
