Municipality,Latitude,Longitude,Beta,Char
Oslo,59.9171,10.72753,3.8000013912932245,1.6400942270164756
Aremark,59.1833,11.6833,3.800000246133005,1.587856377330435
Askim,59.5833,11.1667,3.800000119389054,2.0480243850555966
Eidsberg,59.5167,11.3,3.8000001776842773,1.9873848613964913
Fredrikstad,59.2181,10.9298,3.8000005563240395,1.340069617827448
Halden,59.1333,11.3833,3.8000011173531916,1.0874242907941152
Hobøl,59.6167,10.9667,3.8000000185427356,1.9906061087979534
Hvaler,59.0333,11.0,3.800001686834538,1.230676130446393
Marker,59.4833,11.6667,3.7999988304570285,2.1072968607374567
Moss,59.434,10.6577,3.800001311944971,1.8304705493667783
Rakkestad,59.4278,11.3472,3.800000067799964,1.9284896311026565
Rygge,59.3667,10.7833,3.7999992534250526,1.7327325772194466
Rømskog,59.75,11.8333,3.8000012195625414,2.6535870633875644
Råde,59.35,10.85,3.7999979660423415,1.7057403560884241
Sarpsborg,59.2833,11.1167,3.799998112326406,1.3967093340871157
Skiptvet,59.4833,11.1667,3.8000006306382867,2.2168269663316424
Spydeberg,59.6167,11.0833,3.800001279750514,2.0888840969221945
Trøgstad,59.6333,11.3167,3.800000008764141,2.401996013513591
Våler,60.65,11.8333,3.8000009310939538,2.7805971538165943
Indre Østfold,59.56247,11.34845,3.8000004397175773,2.4349961274807765
Bærum,59.90701,10.49593,3.8000011455495035,2.4015033412278948
Gjerdrum,60.0833,11.0333,3.7999992815666523,3.4967697955992185
Hurdal,60.4333,11.0333,3.8000003174308525,4.31025484682009
Lørenskog,59.9167,10.95,3.7999997413315683,2.8387566257072128
Nannestad,60.25,11.0333,3.800000270499512,3.3061669045756688
Nes,60.1181,9.2506,3.799999722861354,5.450927756352618
Nesodden,59.8167,10.6667,3.7999988557446907,2.166882490017669
Oppegård,59.8,10.8,3.800000743134351,1.9214019143137546
Rælingen,59.9247,11.05,3.7999995905436585,3.077877934472691
Skedsmo,59.95,11.05,3.7999990706915057,2.9333017252313947
Ski,59.7197,10.8356,3.800001237180561,2.1836752416748064
Sørum,60.0,11.25,3.7999997224863695,3.149156651888124
Ullensaker,60.1419,11.1749,3.80000035600298,3.2788848529496013
Vestby,59.5333,10.75,3.8000011460515037,1.6092711674171112
Ås,59.6636,10.79,3.7999977296510123,1.9521182769100396
Enebakk,59.7666,11.1029,3.8000005391804477,2.487378247249134
Aurskog-Høland,59.79585,11.47022,3.7999999569976426,1.9154162447149032
Lillestrøm,59.95577,11.04931,3.7999990618723936,2.9370895731822273
Nittedal,60.04269,10.88169,3.799999348125902,3.9503012283502406
Nordre Follo,59.72049,10.83884,3.8000008847432643,2.150118971697874
