Municipality,Latitude,Longitude,Beta,Char
Oslo,59.9171,10.72753,8.458610429815435,3.5
Aremark,59.1833,11.6833,5.49389168462759,3.0
Askim,59.5833,11.1667,6.273964994868795,3.0
Eidsberg,59.5167,11.3,6.160448778712975,3.0
Fredrikstad,59.2181,10.9298,6.2652697896519065,2.5
Halden,59.1333,11.3833,6.65210557970149,3.0
Hobøl,59.6167,10.9667,6.666352878626785,3.5
Hvaler,59.0333,11.0,5.6592962841643795,2.0
Marker,59.4833,11.6667,5.344107442682975,3.0
Moss,59.434,10.6577,6.505538049056898,3.0
Rakkestad,59.4278,11.3472,6.119167931587258,3.0
Rygge,59.3667,10.7833,5.6186276880077415,3.0
Rømskog,59.75,11.8333,5.0803649489868405,3.0
Råde,59.35,10.85,5.59451774278477,2.5
Sarpsborg,59.2833,11.1167,6.817406135769434,3.0
Skiptvet,59.4833,11.1667,6.06473054471827,3.0
Spydeberg,59.6167,11.0833,6.534298998573853,3.0
Trøgstad,59.6333,11.3167,6.458034186436701,3.0
Våler,60.65,11.8333,7.294724842857236,3.5
Indre Østfold,59.56247,11.34845,5.7525556694073785,3.0
Bærum,59.90701,10.49593,5.661684993724606,3.5
Gjerdrum,60.0833,11.0333,6.065307383791301,4.5
Hurdal,60.4333,11.0333,5.466705833911938,5.0
Lørenskog,59.9167,10.95,6.591098450341258,4.0
Nannestad,60.25,11.0333,5.73726277580887,4.5
Nes,60.1181,9.2506,4.230162613803416,6.5
Nesodden,59.8167,10.6667,1.0,4.5
Oppegård,59.8,10.8,7.579477183936716,3.5
Rælingen,59.9247,11.05,6.937940939535162,5.0
Skedsmo,59.95,11.05,1.0,4.0
Ski,59.7197,10.8356,6.745450570614084,3.5
Sørum,60.0,11.25,6.8256838877068144,4.0
Ullensaker,60.1419,11.1749,5.589255550389169,4.5
Vestby,59.5333,10.75,6.8775190260820995,3.5
Ås,59.6636,10.79,6.543444179171348,3.5
Enebakk,59.7666,11.1029,6.3516879288992305,4.0
Aurskog-Høland,59.79585,11.47022,6.436727893906884,3.0
Lillestrøm,59.95577,11.04931,9.666656625293125,4.0
Nittedal,60.04269,10.88169,7.092252120580945,4.5
Nordre Follo,59.72049,10.83884,6.7224260716277495,3.5
Eidsvoll,60.33234,11.26831,6.888737993849215,4.5
Asker,59.83697,10.43741,6.575151770364954,4.0
Frogn,59.6658,10.63644,6.770961407104242,4.0
Alvdal,62.1075,10.6292,6.510414924893207,4.0
Eidskog,60.05,12.1333,6.484825192806697,3.5
Elverum,60.8833,11.5667,7.492658614515909,4.0
Engerdal,61.5667,11.9167,4.284159311381089,6.5
Folldal,62.1333,9.9833,5.79414133802112,4.0
Grue,60.4333,12.3,5.796718785972917,6.5
Hamar,60.7945,11.067,7.782527209014113,3.5
Kongsvinger,60.19,12.0,6.587712375135742,4.5
Løten,60.8167,11.3333,1.0,4.5
Nord-Odal,60.4167,11.5667,5.619824361270097,3.5
Bjørnafjorden,62.5,11.2167,6.3051131554508775,5.0
Rendalen,61.8833,11.0833,1.0,4.0
Ringsaker,60.95,10.9167,6.39863971520148,7.5
Stange,60.7167,11.2,1.0,4.5
Stor-Elvdal,61.6333,11.0,5.926650839711437,4.0
Sør-Odal,60.25,11.5667,7.08790331177814,4.5
Tolga,62.4167,10.9833,6.236051086092674,4.0
Trysil,61.3167,12.2667,5.378388158889986,4.0
Tynset,62.275,10.7761,6.829801639700322,4.0
Åmot,61.0,11.5,5.999153882177567,5.0
Åsnes,60.5667,12.0,7.707696372929095,3.5
Dovre,62.0745,9.2524,5.380234924060182,6.5
Etnedal,60.887,9.5537,5.097697202900644,6.5
Gausdal,61.2653,10.1491,7.109550765994404,4.5
Gjøvik,60.7957,10.6916,6.402443895456867,4.5
Gran,60.3636,10.5662,6.362323781265327,4.0
Jevnaker,60.2416,10.3852,1.0,4.0
Lesja,62.2203,8.8582,6.508778748787614,6.0
Lillehammer,61.1153,10.4663,1.0,4.5
Lom,61.8371,8.5684,6.312296166281915,3.5
Lunner,60.2975,10.6123,5.621166824810848,4.5
Nord-Aurdal,61.034,9.2754,5.370542656590415,6.5
Nord-Fron,61.5939,9.7417,7.898104879953389,4.0
Nordre Land,60.8254,10.0408,1.0,6.5
Ringebu,61.5278,10.1419,9.43157867330815,4.0
Sel,61.7722,9.3931,6.302013524489962,6.5
Skjåk,61.8781,8.263,6.466036824409736,3.5
Søndre Land,60.6819,10.3402,10.563690551538919,4.5
Sør-Aurdal,60.8139,9.5378,6.274748053604643,6.5
Sør-Fron,61.5974,9.7508,1.0,5.0
Vang,61.1255,8.5711,4.1816473902996565,4.5
Vestre Slidre,61.0754,8.9898,6.257353775900688,4.5
Vestre Toten,60.7166,10.6175,5.288420417474741,4.5
Vågå,61.8736,8.9701,5.813269286420737,6.5
Østre Toten,60.6757,10.9295,6.58628360763053,4.5
Øyer,61.2674,10.4183,6.264252785090315,4.0
