Municipality,Latitude,Longitude,Beta,Char
Oslo,59.9171,10.72753,5.242929804616315,3.5
Aremark,59.1833,11.6833,4.997618222022179,3.0
Askim,59.5833,11.1667,4.492846029007651,3.0
Eidsberg,59.5167,11.3,4.55051029293647,3.0
Fredrikstad,59.2181,10.9298,4.983205556379443,2.5
Halden,59.1333,11.3833,5.83708365320278,3.0
Hobøl,59.6167,10.9667,4.845781295463601,3.5
Hvaler,59.0333,11.0,4.713607520236508,2.0
Marker,59.4833,11.6667,4.438555327468138,3.0
Moss,59.434,10.6577,4.710868581105633,3.0
Rakkestad,59.4278,11.3472,4.60872039091135,3.0
Rygge,59.3667,10.7833,4.820037563938596,3.0
Rømskog,59.75,11.8333,4.015066355921017,3.0
Råde,59.35,10.85,4.4978600812956415,2.5
Sarpsborg,59.2833,11.1167,5.268020051797066,3.0
Skiptvet,59.4833,11.1667,4.343188296842152,3.0
Spydeberg,59.6167,11.0833,4.455211574377139,3.0
Trøgstad,59.6333,11.3167,4.194862407923071,3.0
Våler,60.65,11.8333,4.208201522179108,3.5
Indre Østfold,59.56247,11.34845,4.169951300452056,3.0
Bærum,59.90701,10.49593,4.480960308165062,3.5
Gjerdrum,60.0833,11.0333,4.24765377363456,4.5
Hurdal,60.4333,11.0333,4.060015432856212,5.0
Lørenskog,59.9167,10.95,4.416104148086019,4.0
Nannestad,60.25,11.0333,4.350861666668158,4.5
Nes,60.1181,9.2506,4.109043140286802,6.5
Nesodden,59.8167,10.6667,5.175058760030419,4.5
Oppegård,59.8,10.8,4.916681724694446,3.5
Rælingen,59.9247,11.05,4.684614245905031,5.0
Skedsmo,59.95,11.05,4.354975009519974,4.0
Ski,59.7197,10.8356,4.663530568554166,3.5
Sørum,60.0,11.25,4.224166658716223,4.0
Ullensaker,60.1419,11.1749,4.366236321548609,4.5
Vestby,59.5333,10.75,5.283094193737384,3.5
Ås,59.6636,10.79,4.884812476014846,3.5
Enebakk,59.7666,11.1029,4.667727853570076,4.0
Aurskog-Høland,59.79585,11.47022,4.621952393356121,3.0
Lillestrøm,59.95577,11.04931,4.352577247084351,4.0
Nittedal,60.04269,10.88169,4.027815775000803,4.5
Nordre Follo,59.72049,10.83884,4.693702164186811,3.5
Eidsvoll,60.33234,11.26831,4.71780672867274,4.5
Asker,59.83697,10.43741,3.9756497348097173,4.0
Frogn,59.6658,10.63644,4.3110937517322325,4.0
Alvdal,62.1075,10.6292,5.173922325395641,4.0
Eidskog,60.05,12.1333,4.598217209502826,3.5
Elverum,60.8833,11.5667,4.362240880371985,4.0
Engerdal,61.5667,11.9167,4.420129499353018,6.5
Folldal,62.1333,9.9833,5.747446049342315,4.0
Grue,60.4333,12.3,5.662054010336195,6.5
Hamar,60.7945,11.067,5.0731195327702245,3.5
Kongsvinger,60.19,12.0,5.5044274097398,4.5
Løten,60.8167,11.3333,5.560094989876193,4.5
Nord-Odal,60.4167,11.5667,4.4632150846104555,3.5
Bjørnafjorden,62.5,11.2167,5.080841940653659,5.0
Rendalen,61.8833,11.0833,5.18416495347301,4.0
Ringsaker,60.95,10.9167,5.006158810801871,7.5
Stange,60.7167,11.2,5.481696041737133,4.5
Stor-Elvdal,61.6333,11.0,4.671197995944745,4.0
Sør-Odal,60.25,11.5667,5.420737629662001,4.5
Tolga,62.4167,10.9833,4.6484456511090775,4.0
Trysil,61.3167,12.2667,4.352608320826988,4.0
Tynset,62.275,10.7761,4.961376186479163,4.0
Åmot,61.0,11.5,4.176104091065677,5.0
Åsnes,60.5667,12.0,4.884027015856385,3.5
Dovre,62.0745,9.2524,5.146534136887362,6.5
Etnedal,60.887,9.5537,4.798326422998406,6.5
Gausdal,61.2653,10.1491,4.386320676857738,4.5
Gjøvik,60.7957,10.6916,4.419495198552105,4.5
Gran,60.3636,10.5662,4.022735160227237,4.0
Jevnaker,60.2416,10.3852,4.422254601887658,4.0
Lesja,62.2203,8.8582,3.680221905851729,6.0
Lillehammer,61.1153,10.4663,4.575890979632307,4.5
Lom,61.8371,8.5684,3.8394322036608224,3.5
Lunner,60.2975,10.6123,4.060585722540939,4.5
Nord-Aurdal,61.034,9.2754,5.133843549559638,6.5
Nord-Fron,61.5939,9.7417,5.198255256954776,4.0
Nordre Land,60.8254,10.0408,5.72759192090825,6.5
Ringebu,61.5278,10.1419,5.007927360694139,4.0
Sel,61.7722,9.3931,5.504619850582183,6.5
Skjåk,61.8781,8.263,3.8814281107790394,3.5
Søndre Land,60.6819,10.3402,4.865517514534286,4.5
Sør-Aurdal,60.8139,9.5378,5.070400621156272,6.5
Sør-Fron,61.5974,9.7508,5.66056737786324,5.0
Vang,61.1255,8.5711,3.736331869507036,4.5
Vestre Slidre,61.0754,8.9898,4.613085216166962,4.5
Vestre Toten,60.7166,10.6175,3.9881490907716963,4.5
Vågå,61.8736,8.9701,4.656210998631874,6.5
Østre Toten,60.6757,10.9295,4.154935506725,4.5
Øyer,61.2674,10.4183,4.060335208643489,4.0
Øystre Slidre,61.2009,9.0746,5.3825094879613244,7.5
Drammen,59.7439,10.2045,4.108159025821089,3.5
Flesberg,59.8508,9.5641,4.378733461422607,4.5
Flå,60.4317,9.4652,4.373479699065823,3.5
Gol,60.7016,8.9433,4.693051504676474,4.0
Hemsedal,60.8623,8.5481,3.849344060336252,4.5
Hol,60.6042,8.5646,4.958874562391017,6.5
Hole,60.0654,10.2778,4.530826644632556,3.0
Hurum,59.631,10.5035,4.224422438946503,5.0
Kongsberg,59.6775,9.6502,4.706169350442817,5.0
Krødsherad,60.1767,9.6869,4.501382069643886,5.5
Lier,59.7885,10.3044,4.1271866583132,5.5
Modum,59.9446,9.9872,4.862195930557916,4.5
Nedre Eiker,59.7701,10.0706,3.8642090142688312,3.5
Nore og Uvdal,60.2657,8.7302,5.072535177812781,6.5
Ringerike,60.168,10.256,4.616180689585021,3.5
Rollag,60.0261,9.3006,4.467789275325499,6.5
