Municipality,Latitude,Longitude,Beta
Oslo,59.9171,10.72753,1.41438375562125
Aremark,59.1833,11.6833,1.1082986020348935
Askim,59.5833,11.1667,0.835071841327613
Eidsberg,59.5167,11.3,0.6536935871618184
Fredrikstad,59.2181,10.9298,1.189622531935898
Halden,59.1333,11.3833,0.9010772100690758
Hobøl,59.6167,10.9667,0.36948610161745776
Hvaler,59.0333,11.0,1.0663650761020724
Marker,59.4833,11.6667,0.25843043799319343
Moss,59.434,10.6577,0.46843655392012007
Rakkestad,59.4278,11.3472,0.643408009713391
Rygge,59.3667,10.7833,0.9275894175261481
Rømskog,59.75,11.8333,0.6320549286443495
Råde,59.35,10.85,0.8005853722890661
Sarpsborg,59.2833,11.1167,0.5550994600092487
Skiptvet,59.4833,11.1667,0.545782584390822
Spydeberg,59.6167,11.0833,0.8029372380915945
Trøgstad,59.6333,11.3167,0.7054171841468211
Våler,60.65,11.8333,0.3817159385726212
Indre Østfold,59.56247,11.34845,0.559996873294593
Bærum,59.90701,10.49593,0.6757951359393237
Gjerdrum,60.0833,11.0333,0.6649391701682479
Hurdal,60.4333,11.0333,0.2065677527673513
Lørenskog,59.9167,10.95,0.8117053188295875
Nannestad,60.25,11.0333,0.4568580938475062
Nes,60.1181,9.2506,-0.12374684530000835
Nesodden,59.8167,10.6667,0.6280020963679744
Oppegård,59.8,10.8,0.21954399050271522
Rælingen,59.9247,11.05,0.5148891874330426
Skedsmo,59.95,11.05,0.7268897540487069
Ski,59.7197,10.8356,0.06186727027243588
Sørum,60.0,11.25,0.8777011716408003
Ullensaker,60.1419,11.1749,0.6481112619677383
Vestby,59.5333,10.75,-0.006883279069286097
Ås,59.6636,10.79,-0.003217176851393333
Enebakk,59.7666,11.1029,0.3052701089752601
Aurskog-Høland,59.79585,11.47022,0.7043808657541257
Lillestrøm,59.95577,11.04931,0.7677139585314023
Nittedal,60.04269,10.88169,0.4045686356802314
Nordre Follo,59.72049,10.83884,0.06106921343120231
Eidsvoll,60.33234,11.26831,0.5757032246090219
Asker,59.83697,10.43741,0.28793095343533537
Frogn,59.6658,10.63644,0.8301510003259951
Alvdal,62.1075,10.6292,-0.3158228722849783
Eidskog,60.05,12.1333,0.714204776334987
Elverum,60.8833,11.5667,0.09554331774792058
Engerdal,61.5667,11.9167,-0.12477371141506932
Folldal,62.1333,9.9833,0.20267267521850396
Grue,60.4333,12.3,0.3637497489762893
Hamar,60.7945,11.067,0.7037264790758533
Kongsvinger,60.19,12.0,0.9315408392653692
Løten,60.8167,11.3333,0.4589288725032521
Nord-Odal,60.4167,11.5667,0.9229394910163258
Bjørnafjorden,62.5,11.2167,-0.22572537977186347
Rendalen,61.8833,11.0833,-0.15959420078833464
Ringsaker,60.95,10.9167,0.2663059215390984
Stange,60.7167,11.2,0.5249923278426492
Stor-Elvdal,61.6333,11.0,0.22441817598577796
Sør-Odal,60.25,11.5667,0.6605248537391235
Tolga,62.4167,10.9833,-0.45833780408024083
Trysil,61.3167,12.2667,0.1637360549511877
Tynset,62.275,10.7761,-0.4933583728763251
Åmot,61.0,11.5,0.28590987514099897
Åsnes,60.5667,12.0,0.7521389343877551
Dovre,62.0745,9.2524,0.37185306666483786
Etnedal,60.887,9.5537,-0.2771748894614987
Gausdal,61.2653,10.1491,-0.03896981867026561
Gjøvik,60.7957,10.6916,0.5575116632519066
Gran,60.3636,10.5662,0.4202437368766043
Jevnaker,60.2416,10.3852,0.5005705466241448
Lesja,62.2203,8.8582,0.08107122090897345
Lillehammer,61.1153,10.4663,0.9456666483215033
Lom,61.8371,8.5684,-0.27521979819245734
Lunner,60.2975,10.6123,0.5065516562329107
Nord-Aurdal,61.034,9.2754,-0.08492341097260159
Nord-Fron,61.5939,9.7417,0.14730861907257076
Nordre Land,60.8254,10.0408,0.3519370560024182
Ringebu,61.5278,10.1419,-0.07435805656791405
Sel,61.7722,9.3931,0.193728475894285
Skjåk,61.8781,8.263,-0.07069769863556719
Søndre Land,60.6819,10.3402,0.2968814725684519
Sør-Aurdal,60.8139,9.5378,0.1272797009493507
Sør-Fron,61.5974,9.7508,0.15375533846899003
Vang,61.1255,8.5711,0.4960748129622936
Vestre Slidre,61.0754,8.9898,0.41314552896652845
Vestre Toten,60.7166,10.6175,0.3800516472570221
Vågå,61.8736,8.9701,-0.02498179356077035
Østre Toten,60.6757,10.9295,0.27083531545815287
Øyer,61.2674,10.4183,0.27979681484410523
Øystre Slidre,61.2009,9.0746,0.19355665217709284
Drammen,59.7439,10.2045,1.2408405516962793
Flesberg,59.8508,9.5641,0.18334667973026875
Flå,60.4317,9.4652,0.3199277309951123
Gol,60.7016,8.9433,0.28264235193718257
Hemsedal,60.8623,8.5481,-0.2684108216686658
Hol,60.6042,8.5646,-0.12191671743445553
Hole,60.0654,10.2778,0.6220845805138131
Hurum,59.631,10.5035,0.5664178410546015
Kongsberg,59.6775,9.6502,0.5335211346427924
Krødsherad,60.1767,9.6869,0.26942841992950584
Lier,59.7885,10.3044,0.27049671358355987
Modum,59.9446,9.9872,0.18532366772247855
Nedre Eiker,59.7701,10.0706,0.4885589618602846
Nore og Uvdal,60.2657,8.7302,-0.8287789995638315
Ringerike,60.168,10.256,0.30659940644942996
Rollag,60.0261,9.3006,-0.0492742917361646
Røyken,59.7461,10.4053,0.7969112029159051
Sigdal,60.1711,9.6253,0.24051577866961882
Øvre Eiker,59.7765,9.9047,0.8056231634269606
Ål,60.6297,8.5623,0.030895182784421493
Nesbyen,60.56484,9.08917,0.28310576587351033
Færder,59.22764,10.4205,1.243134690858239
Hof,59.525,10.1433,0.4710135959922592
Holmestrand,59.4881,10.3153,0.6494720723701954
Horten,59.4175,10.4839,0.5724858557167458
Larvik,59.0533,10.035,0.8451186211804806
Re,59.4153,10.2581,0.49190470662779395
Sande,62.2,5.5,0.7324927092695108
Sandefjord,59.1313,10.2166,0.6110237815954198
Svelvik,59.6108,10.4091,1.1838757728072862
Tønsberg,59.2675,10.4076,1.258107607647168
Bamble,59.00141,9.74372,1.0879219478948157
Bø,68.6667,14.55,-0.7638679533371242
Drangedal,59.0961,9.0647,0.06526553748916974
Fyresdal,59.1897,8.0894,1.0321585199074077
