Municipality,Latitude,Longitude,Char
Oslo,59.9171,10.72753,1.8599057729835244
Aremark,59.1833,11.6833,1.412143622669565
Askim,59.5833,11.1667,0.9519756149444034
Eidsberg,59.5167,11.3,1.0126151386035087
Fredrikstad,59.2181,10.9298,1.159930382172552
Halden,59.1333,11.3833,1.9125757092058848
Hobøl,59.6167,10.9667,1.5093938912020466
Hvaler,59.0333,11.0,0.7693238695536071
Marker,59.4833,11.6667,0.8927031392625433
Moss,59.434,10.6577,1.1695294506332217
Rakkestad,59.4278,11.3472,1.0715103688973435
Rygge,59.3667,10.7833,1.2672674227805534
Rømskog,59.75,11.8333,0.34641293661243555
Råde,59.35,10.85,0.7942596439115759
Sarpsborg,59.2833,11.1167,1.6032906659128843
Skiptvet,59.4833,11.1667,0.7831730336683576
Spydeberg,59.6167,11.0833,0.9111159030778055
Trøgstad,59.6333,11.3167,0.5980039864864088
Våler,60.65,11.8333,0.7194028461834057
Indre Østfold,59.56247,11.34845,0.5650038725192235
Bærum,59.90701,10.49593,1.0984966587721052
Gjerdrum,60.0833,11.0333,1.0032302044007815
Hurdal,60.4333,11.0333,0.6897451531799099
Lørenskog,59.9167,10.95,1.1612433742927872
Nannestad,60.25,11.0333,1.1938330954243312
Nes,60.1181,9.2506,1.049072243647382
Nesodden,59.8167,10.6667,2.333117509982331
Oppegård,59.8,10.8,1.5785980856862454
Rælingen,59.9247,11.05,1.9221220655273088
Skedsmo,59.95,11.05,1.0666982747686053
Ski,59.7197,10.8356,1.3163247583251936
Sørum,60.0,11.25,0.850843348111876
Ullensaker,60.1419,11.1749,1.2211151470503987
Vestby,59.5333,10.75,1.8907288325828888
Ås,59.6636,10.79,1.5478817230899604
Enebakk,59.7666,11.1029,1.5126217527508659
Aurskog-Høland,59.79585,11.47022,1.0845837552850968
Lillestrøm,59.95577,11.04931,1.0629104268177727
Nittedal,60.04269,10.88169,0.5496987716497594
Nordre Follo,59.72049,10.83884,1.3498810283021259
Eidsvoll,60.33234,11.26831,1.7753953056615837
Asker,59.83697,10.43741,0.38338027914236594
Frogn,59.6658,10.63644,0.9963988910702266
Alvdal,62.1075,10.6292,2.0688354211000988
Eidskog,60.05,12.1333,1.2413854412385201
Elverum,60.8833,11.5667,1.0781392912458965
Engerdal,61.5667,11.9167,1.9025584456367604
Folldal,62.1333,9.9833,2.52073692189402
Grue,60.4333,12.3,4.033981279134354
Hamar,60.7945,11.067,1.7207009330550886
Kongsvinger,60.19,12.0,2.6480727543741316
Løten,60.8167,11.3333,2.6954119141117383
Nord-Odal,60.4167,11.5667,1.0758928779667176
Bjørnafjorden,62.5,11.2167,2.481849125017733
Rendalen,61.8833,11.0833,2.078370711245416
Ringsaker,60.95,10.9167,3.5903292087157794
Stange,60.7167,11.2,2.6282859670124514
Stor-Elvdal,61.6333,11.0,1.5170757661136287
Sør-Odal,60.25,11.5667,2.573870563492125
Tolga,62.4167,10.9833,1.4876909656110402
Trysil,61.3167,12.2667,1.0629597301407947
Tynset,62.275,10.7761,1.856681930771424
Åmot,61.0,11.5,0.959453614777301
Åsnes,60.5667,12.0,1.5471155034306259
Dovre,62.0745,9.2524,3.338582068665953
Etnedal,60.887,9.5537,2.7312364561774576
