Municipality,Elevation
Oslo,"[20.31, 22.59, 11.63, 20.61, 21.5, 18.93, 18.48, 16.25, 15.98, 17.67, 22.59, 23.56, 24.3, 22.58, 22.0, 22.06, 21.7, 19.51, 13.57, 25.2, 30.38, 26.18, 25.37, 25.86, 29.18, 30.52, 22.58, 18.21, 26.31, 31.53, 30.58, 27.43, 25.6, 31.61, 34.74, 28.42, 20.4, 29.05, 31.69, 33.42, 32.27, 29.13, 27.99, 34.72, 35.49, 24.6, 38.25, 36.2, 36.26, 35.05, 31.27, 30.86, 30.94, 32.13, 29.51, 46.16, 41.72, 43.42, 39.14, 34.99, 32.45, 33.76, 32.11, 30.45, 41.88, 45.46, 51.98, 39.67, 35.39, 36.19, 36.02, 33.49, 30.52, 46.82, 51.88, 39.08, 35.92, 39.42, 40.57, 33.46, 38.1, 40.59, 33.59]"
Aremark,"[123.16, 116.28, 125.88, 113.85, 106.78, 108.46, 106.02, 107.75, 109.38, 128.57, 117.76, 108.46, 108.86, 106.1, 108.66, 115.08, 129.54, 146.14, 129.31, 126.7, 107.29, 106.29, 106.17, 128.1, 128.39, 136.72, 152.29, 129.34, 111.27, 108.67, 106.09, 115.6, 131.15, 138.52, 145.17, 147.62, 109.12, 108.66, 106.94, 106.28, 110.89, 125.12, 134.99, 147.95, 151.57, 140.99, 125.42, 107.46, 107.31, 112.06, 124.05, 136.21, 149.65, 146.4, 142.26, 140.63, 116.62, 105.96, 114.18, 120.51, 132.06, 137.78, 136.38, 133.17, 149.95, 140.4, 120.74, 117.01, 119.58, 121.83, 125.92, 129.21, 138.59, 123.35, 113.49, 120.32, 122.37, 122.86, 128.4, 130.75, 145.91]"
Askim,"[116.15, 131.75, 116.76, 133.86, 137.32, 139.46, 140.08, 140.96, 142.03, 118.61, 133.07, 138.85, 140.18, 140.06, 143.65, 142.13, 141.92, 141.02, 120.99, 133.71, 139.39, 141.98, 139.48, 142.19, 142.43, 142.01, 139.75, 126.31, 125.34, 134.81, 138.13, 138.43, 141.52, 141.46, 137.23, 138.46, 131.61, 131.75, 128.47, 131.27, 131.98, 141.31, 139.17, 137.22, 141.85, 128.9, 130.76, 133.56, 137.74, 140.17, 141.29, 138.3, 134.39, 137.65, 131.86, 131.41, 132.06, 138.04, 139.01, 140.21, 140.69, 140.93, 141.82, 132.75, 134.37, 136.19, 134.07, 139.12, 139.77, 141.54, 142.42, 143.43, 137.45, 139.84, 139.14, 140.3, 142.91, 142.8, 145.56, 143.63, 156.21]"
Eidsberg,"[120.3, 117.2, 114.65, 116.53, 120.62, 136.38, 147.68, 159.26, 166.87, 116.01, 119.65, 122.63, 143.99, 148.15, 158.39, 161.6, 167.7, 163.72, 117.05, 117.18, 125.52, 143.74, 155.99, 157.1, 157.73, 160.26, 160.88, 116.1, 123.76, 140.41, 150.8, 159.09, 157.41, 160.48, 159.98, 161.78, 133.09, 127.47, 148.38, 153.18, 157.83, 158.26, 162.0, 162.48, 162.58, 136.42, 141.38, 150.51, 153.18, 152.84, 154.03, 156.74, 160.49, 161.5, 137.64, 142.19, 148.85, 152.64, 152.68, 151.8, 155.43, 157.77, 159.4, 139.81, 137.06, 147.34, 150.26, 152.19, 151.52, 152.0, 156.24, 161.36, 153.6, 153.67, 151.88, 152.91, 154.49, 158.1, 171.4, 159.54, 174.38]"
Fredrikstad,"[19.56, 9.82, 4.77, 15.85, 8.28, -0.23, 4.33, 10.83, 1.23, 2.33, 2.34, 5.08, 3.3, 2.79, 1.12, 2.16, 4.17, 9.1, 13.47, 1.96, 1.79, 11.19, 2.07, 0.95, 3.08, 4.83, 18.63, 22.55, 1.8, 7.82, 2.5, 1.63, 2.65, 2.81, 4.44, 10.63, 18.15, 1.45, 1.54, 1.22, 1.67, 8.12, 3.65, 4.62, 7.2, 14.53, 4.37, 2.29, 1.23, 1.92, 24.89, 10.47, 6.04, 6.64, 10.21, 4.42, 2.52, 1.68, 12.04, 25.96, 15.52, 10.09, 7.07, 8.48, 2.63, 2.88, 2.04, 4.34, 29.32, 28.09, 15.69, 10.15, 9.21, 3.19, 4.53, 21.74, 34.94, 15.85, 15.47, 12.16, 18.06, 26.57, 16.14]"
Halden,"[22.06, 13.05, 27.49, 16.62, 22.07, 37.66, 12.28, 9.52, 10.09, 28.37, 21.68, 18.94, 26.64, 17.68, 14.64, 12.51, 9.44, 5.08, 55.14, 34.94, 27.66, 22.98, 23.61, 17.47, 12.33, 13.18, 12.64, 76.12, 41.79, 41.32, 30.01, 24.26, 19.19, 9.52, 16.04, 17.72, 72.22, 66.53, 49.72, 37.8, 28.25, 21.27, 17.07, 20.36, 20.87, 78.77, 76.57, 58.51, 44.13, 35.37, 28.87, 27.18, 25.44, 27.21, 79.54, 89.85, 70.66, 45.24, 37.42, 34.92, 36.47, 34.07, 38.71, 76.04, 84.29, 67.27, 55.72, 46.63, 37.26, 41.28, 51.28, 57.21, 80.27, 59.11, 58.15, 49.64, 35.23, 52.26, 70.22, 53.19, 67.14]"
Hobøl,"[110.49, 106.07, 105.45, 110.41, 102.99, 102.4, 102.66, 103.19, 106.41, 112.16, 101.3, 100.31, 101.53, 88.3, 101.45, 104.19, 105.93, 100.94, 107.34, 89.17, 93.54, 100.18, 86.37, 97.82, 101.96, 103.71, 101.99, 103.26, 84.14, 95.16, 93.97, 87.03, 95.57, 99.99, 97.73, 97.3, 105.63, 90.11, 91.49, 92.53, 86.45, 95.76, 97.91, 94.99, 100.49, 102.95, 76.92, 86.4, 90.96, 93.54, 93.22, 94.82, 96.22, 92.55, 102.09, 70.45, 92.45, 91.23, 81.71, 87.38, 97.22, 95.69, 92.59, 89.33, 84.48, 93.43, 95.82, 96.82, 97.89, 96.33, 98.31, 95.81, 99.45, 95.15, 95.62, 99.49, 103.88, 102.08, 93.39, 104.74, 105.24, 105.13, 103.71]"
Hvaler,"[12.36, 14.14, 5.04, 13.03, 18.25, 7.9, 3.07, 1.64, 1.48, 1.56, 13.89, 33.41, 18.72, 9.64, 4.49, 2.53, 2.28, 11.45, 12.95, 21.97, 36.43, 22.22, 13.85, 4.51, 1.83, 3.37, 9.16, 6.41, 22.31, 33.86, 25.25, 19.78, 3.93, 3.03, 4.17, 9.51, 3.87, 21.12, 23.84, 19.87, 19.99, 2.75, 2.2, 2.91, 12.0, 6.2, 18.9, 16.07, 11.39, 9.16, 3.14, 0.92, 4.54, 8.65, 6.9, 16.78, 13.08, 11.12, 6.21, 5.53, 1.95, 1.14, 12.73, 1.58, 15.86, 14.58, 8.93, 6.59, 3.78, 3.37, 1.32, 1.14, 1.22, 10.15, 8.22, 4.0, 1.77, 1.16, 1.28, 1.26, 1.42, 1.26, 3.84]"
Marker,"[125.25, 131.54, 119.61, 125.08, 123.18, 122.52, 118.0, 121.4, 121.59, 118.0, 119.58, 118.0, 120.72, 118.0, 118.0, 118.0, 123.77, 124.85, 118.0, 121.31, 118.0, 118.0, 118.0, 118.0, 120.03, 123.24, 126.12, 118.0, 120.04, 118.0, 118.0, 118.0, 118.0, 124.1, 125.06, 127.1, 118.85, 118.0, 118.0, 118.0, 118.0, 120.31, 125.03, 127.02, 122.87, 118.0, 119.45, 118.0, 118.0, 118.78, 119.43, 124.48, 128.07, 120.94, 118.0, 124.63, 122.77, 120.1, 123.65, 118.7, 119.5, 121.89, 123.67, 120.71, 133.63, 128.74, 122.73, 124.27, 120.11, 121.48, 124.92, 121.4, 129.7, 122.5, 124.36, 120.42, 118.79, 121.48, 122.92, 121.42, 120.11]"
Moss,"[-12.3, -11.2, 2.36, -11.1, -10.5, 1.95, 6.38, 16.3, 33.73, 45.32, -10.0, -10.2, 1.72, 5.27, 12.52, 40.71, 47.34, 49.32, 51.83, -8.4, -9.1, 1.63, 4.95, 23.26, 44.64, 51.22, 50.02, 49.9, -4.6, -8.1, 1.83, 6.72, 30.05, 42.65, 42.06, 44.69, 46.32, 2.59, 2.07, 2.49, 10.49, 31.57, 34.71, 35.71, 38.78, 45.25, 2.72, 2.57, 3.65, 8.6, 29.49, 32.52, 34.58, 39.04, 41.99, 3.94, 4.12, 7.86, 13.06, 19.77, 31.57, 36.91, 42.08, 38.3, 4.05, 10.28, 16.17, 17.69, 19.53, 32.41, 30.26, 32.8, 31.98, 15.33, 18.01, 17.1, 22.89, 29.53, 28.46, 27.5, 18.61, 25.37, 26.56]"
Rakkestad,"[92.27, 94.54, 90.77, 92.72, 96.39, 98.64, 108.23, 117.45, 118.58, 95.19, 95.18, 103.23, 105.89, 110.73, 127.15, 124.2, 122.47, 123.33, 95.91, 96.57, 106.38, 109.39, 109.83, 127.63, 127.25, 120.96, 126.81, 100.18, 98.17, 101.79, 109.25, 113.92, 125.28, 127.42, 122.94, 128.18, 100.92, 100.79, 103.74, 106.71, 117.12, 125.95, 127.54, 127.09, 128.44, 103.51, 104.65, 101.8, 109.33, 119.45, 124.39, 127.07, 129.02, 129.59, 104.33, 107.27, 109.96, 116.77, 116.94, 123.56, 126.82, 129.33, 129.53, 104.49, 109.48, 107.56, 118.88, 121.41, 123.96, 127.35, 128.63, 129.32, 112.5, 119.75, 123.42, 125.83, 128.03, 129.7, 129.66, 129.61, 129.06]"
Rygge,"[8.58, 8.9, 9.14, 18.97, 20.04, 18.43, 15.39, 18.78, 13.09, 12.49, 20.46, 22.35, 23.5, 18.11, 21.03, 15.47, 15.45, 20.0, 19.24, 21.76, 22.53, 22.22, 20.41, 20.07, 19.48, 19.61, 20.31, 21.3, 21.39, 25.94, 22.7, 22.01, 23.2, 22.75, 22.99, 24.21, 23.71, 19.56, 23.79, 22.79, 24.35, 24.85, 23.62, 24.36, 26.09, 27.64, 22.43, 24.25, 24.69, 25.41, 27.33, 28.01, 27.45, 29.83, 31.59, 24.57, 24.89, 25.31, 28.47, 30.07, 30.09, 31.49, 31.92, 35.15, 26.28, 25.63, 27.23, 28.14, 31.18, 32.36, 33.62, 36.76, 37.85, 29.24, 31.01, 34.0, 34.82, 35.37, 38.48, 38.96, 39.61, 40.71, 40.93]"
Rømskog,"[179.01, 187.37, 179.67, 189.26, 184.24, 179.59, 199.8, 240.7, 232.8, 184.01, 186.4, 184.04, 185.63, 214.04, 228.53, 241.72, 238.49, 238.01, 178.27, 184.87, 184.89, 205.86, 221.66, 229.82, 227.29, 235.85, 230.07, 179.11, 184.6, 195.09, 209.21, 223.76, 225.24, 226.15, 226.13, 229.03, 180.42, 189.54, 203.2, 222.53, 222.23, 225.24, 225.32, 227.42, 215.83, 191.0, 200.32, 211.32, 227.62, 239.37, 233.55, 234.81, 227.55, 211.99, 192.78, 200.89, 212.94, 232.04, 247.78, 242.63, 240.24, 233.39, 210.21, 185.1, 191.09, 213.54, 238.13, 249.64, 238.16, 249.91, 235.88, 214.61, 216.52, 236.56, 236.88, 235.38, 253.25, 217.46, 227.27, 219.76, 228.06]"
Råde,"[15.1, 9.65, 15.81, 32.23, 19.17, 9.87, 15.54, 1.43, 13.02, 17.96, 40.8, 26.37, 9.97, 9.13, 1.55, 1.54, 6.11, 15.6, 27.62, 50.17, 32.11, 14.76, 9.77, 5.8, 2.66, 0.63, 1.39, 3.86, 49.49, 32.85, 17.05, 12.09, 9.58, 8.47, 13.04, 3.49, 3.92, 37.79, 31.81, 19.35, 14.79, 12.38, 11.45, 12.81, 9.58, 8.5, 27.43, 26.98, 25.03, 20.08, 20.27, 21.0, 16.52, 16.67, 13.15, 29.86, 32.25, 29.75, 23.7, 26.48, 28.81, 29.19, 27.88, 32.09, 38.82, 34.59, 35.47, 27.28, 32.0, 33.44, 33.0, 34.18, 41.8, 36.56, 29.22, 36.38, 36.8, 36.76, 38.23, 44.07, 38.41, 41.11, 44.83]"
Sarpsborg,"[48.45, 39.87, 57.54, 45.7, 43.73, 45.04, 45.87, 48.6, 49.4, 57.15, 48.92, 47.38, 48.78, 50.48, 50.63, 46.11, 42.17, 36.35, 56.16, 51.83, 50.21, 51.44, 51.41, 47.23, 42.02, 37.36, 24.35, 56.32, 53.64, 52.79, 50.88, 47.55, 42.25, 37.17, 31.63, 24.36, 54.27, 52.19, 50.27, 46.43, 43.87, 38.53, 34.91, 35.43, 25.59, 53.9, 50.86, 48.35, 42.02, 40.38, 37.78, 36.87, 38.63, 31.05, 55.51, 53.44, 48.56, 40.61, 37.82, 37.31, 38.38, 38.74, 32.35, 53.67, 55.83, 44.82, 38.17, 37.06, 37.18, 36.7, 36.19, 36.71, 38.52, 32.98, 30.63, 35.17, 40.48, 37.53, 36.93, 39.09, 45.5]"
Skiptvet,"[130.34, 131.92, 129.85, 129.44, 124.27, 122.36, 119.43, 118.29, 113.87, 127.86, 129.16, 123.16, 122.48, 121.86, 123.09, 116.78, 121.48, 119.18, 127.79, 126.16, 128.21, 123.47, 123.85, 123.6, 121.37, 118.17, 118.61, 122.9, 125.82, 131.14, 123.68, 124.56, 125.35, 123.0, 115.14, 116.86, 122.0, 126.49, 129.8, 123.78, 125.31, 125.19, 122.54, 120.83, 116.29, 121.24, 125.62, 126.3, 124.76, 125.14, 124.65, 122.89, 125.5, 117.41, 120.17, 125.43, 125.91, 125.13, 125.18, 124.53, 130.58, 133.38, 119.08, 125.95, 128.59, 125.14, 125.51, 129.65, 125.09, 132.22, 132.17, 118.58, 125.45, 126.33, 139.7, 126.73, 133.08, 128.32, 118.19, 128.04, 120.43]"
Spydeberg,"[97.49, 109.45, 103.97, 109.84, 100.4, 108.2, 118.01, 119.33, 118.13, 107.33, 106.45, 97.98, 108.45, 119.28, 119.07, 116.76, 108.29, 113.54, 113.48, 112.63, 98.82, 103.35, 114.13, 117.36, 114.77, 107.76, 114.3, 110.36, 110.13, 98.4, 100.89, 105.42, 111.53, 107.54, 109.88, 115.81, 111.59, 105.48, 101.08, 102.18, 101.43, 103.84, 112.06, 111.65, 115.85, 118.4, 100.93, 102.58, 102.46, 101.59, 103.45, 114.83, 114.9, 113.26, 119.94, 101.49, 103.1, 103.43, 104.01, 107.69, 114.28, 116.07, 117.64, 121.28, 101.63, 102.9, 101.46, 105.4, 109.07, 117.36, 116.77, 119.09, 124.19, 105.39, 109.07, 105.71, 116.81, 116.28, 121.74, 127.45, 112.89, 123.21, 127.74]"
Trøgstad,"[156.27, 166.76, 162.46, 147.19, 151.07, 148.08, 157.14, 160.48, 162.58, 140.84, 144.5, 142.87, 147.95, 152.84, 152.92, 159.53, 170.47, 176.91, 123.04, 145.61, 148.06, 147.15, 147.27, 154.17, 171.52, 177.32, 179.29, 140.66, 131.88, 139.6, 143.61, 153.37, 171.81, 177.43, 180.17, 183.82, 131.85, 138.28, 141.54, 147.83, 157.3, 170.68, 178.98, 181.27, 183.13, 141.6, 142.66, 153.96, 150.03, 161.95, 168.71, 186.72, 181.18, 180.83, 139.81, 144.1, 163.92, 162.19, 159.48, 177.71, 187.68, 181.21, 180.63, 142.83, 132.42, 141.3, 153.68, 161.96, 178.49, 180.96, 181.45, 180.85, 146.63, 140.44, 161.45, 171.21, 179.75, 183.44, 183.35, 188.11, 183.72]"
Våler,"[172.39, 172.41, 172.59, 170.65, 171.21, 170.61, 164.8, 152.95, 152.99, 173.05, 169.67, 170.84, 169.96, 165.3, 153.06, 152.89, 152.96, 152.92, 170.94, 169.03, 170.01, 169.82, 163.41, 164.07, 157.94, 152.8, 152.9, 170.89, 169.58, 170.81, 167.37, 164.74, 164.78, 152.82, 152.9, 152.95, 170.99, 170.5, 165.99, 163.38, 165.3, 162.44, 153.9, 154.39, 168.33, 156.58, 169.83, 167.22, 164.21, 161.19, 155.93, 155.76, 165.49, 169.67, 157.4, 156.15, 156.13, 165.31, 155.93, 155.9, 163.4, 168.0, 175.79, 156.15, 156.21, 156.15, 156.09, 156.07, 162.55, 165.45, 170.17, 177.8, 156.09, 156.11, 162.27, 161.8, 166.7, 171.91, 175.42, 172.74, 175.96]"
Indre Østfold,"[132.19, 140.08, 151.95, 142.26, 161.13, 154.46, 137.15, 129.92, 117.92, 160.39, 147.69, 162.56, 173.09, 142.3, 135.22, 122.54, 115.28, 118.46, 161.81, 154.01, 156.5, 166.35, 156.06, 137.97, 114.78, 104.74, 117.12, 162.05, 159.74, 150.11, 149.48, 147.28, 128.3, 115.33, 115.36, 116.94, 175.85, 160.46, 150.2, 146.77, 135.97, 134.12, 113.26, 113.31, 116.65, 186.47, 161.38, 151.7, 149.22, 136.99, 131.61, 113.03, 113.85, 116.64, 197.24, 156.25, 137.43, 131.54, 141.51, 138.6, 118.88, 118.21, 118.83, 200.21, 148.16, 133.51, 143.36, 147.43, 139.12, 118.6, 117.38, 116.33, 144.82, 153.58, 152.42, 144.38, 116.71, 116.59, 115.85, 116.13, 118.82]"
Bærum,"[20.6, 21.94, 24.03, 22.68, 25.02, 27.24, 32.61, 32.96, 30.68, 34.64, 26.52, 26.34, 32.73, 32.74, 34.63, 33.59, 39.97, 45.92, 48.33, 21.3, 22.39, 36.15, 36.91, 36.27, 36.11, 46.78, 45.45, 47.91, 25.78, 28.72, 38.46, 38.35, 39.87, 38.68, 50.8, 47.33, 46.23, 37.4, 42.46, 42.1, 39.2, 43.39, 41.67, 49.64, 50.34, 46.36, 44.51, 47.88, 36.57, 41.88, 48.82, 48.83, 47.46, 47.84, 46.66, 47.99, 48.3, 46.54, 47.0, 51.54, 50.27, 47.87, 48.76, 47.69, 50.18, 48.24, 51.46, 37.93, 52.39, 52.55, 52.25, 50.59, 51.92, 50.44, 43.82, 39.47, 54.86, 55.96, 54.76, 58.71, 61.57, 58.39, 64.48]"
Gjerdrum,"[167.16, 177.05, 172.19, 169.98, 179.02, 179.02, 176.46, 178.18, 165.57, 172.59, 177.6, 171.42, 179.29, 174.27, 164.92, 163.11, 165.03, 169.32, 170.31, 173.3, 179.49, 179.44, 170.92, 162.11, 164.74, 157.08, 161.82, 171.8, 178.26, 179.12, 178.1, 177.91, 164.98, 161.54, 154.45, 163.38, 170.61, 170.56, 170.36, 170.18, 165.34, 172.44, 159.33, 154.78, 167.13, 165.98, 170.47, 166.02, 168.42, 163.63, 169.78, 166.92, 148.47, 156.44, 156.82, 169.97, 164.92, 165.34, 162.53, 168.63, 160.6, 145.15, 161.0, 166.02, 176.31, 164.67, 159.69, 159.98, 167.83, 163.16, 148.94, 159.79, 160.43, 166.45, 161.46, 163.81, 160.55, 156.73, 155.03, 165.0, 142.95, 153.6, 149.1]"
Hurdal,"[210.48, 209.23, 211.09, 209.91, 209.05, 210.93, 213.89, 223.32, 226.18, 231.96, 209.2, 209.75, 208.47, 211.09, 218.43, 221.32, 224.45, 223.78, 214.94, 209.36, 207.1, 208.0, 208.0, 213.64, 224.58, 227.51, 231.49, 215.99, 214.16, 207.71, 208.0, 208.0, 210.4, 223.27, 222.12, 224.46, 221.92, 214.51, 211.11, 208.0, 208.0, 208.51, 221.75, 220.38, 220.99, 219.4, 221.07, 212.3, 208.0, 208.0, 207.29, 217.14, 218.37, 220.91, 219.62, 227.35, 209.78, 208.0, 207.04, 211.49, 218.33, 211.4, 233.78, 227.0, 232.73, 210.26, 207.77, 208.49, 211.19, 212.65, 208.59, 220.08, 218.26, 210.66, 208.24, 214.12, 212.38, 206.49, 204.84, 195.13, 195.48, 194.44, 192.44]"
