Municipality,Latitude,Longitude,Beta
Aremark,59.1833,11.6833,3.5036270543279056
Askim,59.5833,11.1667,2.3550278664629984
Eidsberg,59.5167,11.3,4.153395489176153
Fredrikstad,59.2181,10.9298,2.754210198171976
Halden,59.1333,11.3833,3.089520712178208
Hobøl,59.6167,10.9667,2.0100315766622225
Hvaler,59.0333,11.0,2.5420949109016417
Marker,59.4833,11.6667,3.260344228049121
Moss,59.434,10.6577,1.7564467938294406
Rakkestad,59.4278,11.3472,3.834469820104716
Rygge,59.3667,10.7833,2.0359930242666997
Rømskog,59.75,11.8333,1.8061167899827675
Råde,59.35,10.85,1.9043563724438095
Sarpsborg,59.2833,11.1167,3.2304965447582106
Skiptvet,59.4833,11.1667,3.229351542102337
Spydeberg,59.6167,11.0833,2.147744669771385
Trøgstad,59.6333,11.3167,2.6642605714240224
Våler,60.65,11.8333,1.9346487563699095
Gjerdrum,60.0833,11.0333,1.8864525543605606
Hurdal,60.4333,11.0333,1.2652087413450803
Lørenskog,59.9167,10.95,2.508141634830599
Nannestad,60.25,11.0333,1.5059251034666215
Nes,60.1181,9.2506,0.9645531642222162
Nesodden,59.8167,10.6667,2.985627730363536
Oppegård,59.8,10.8,2.5879032448059167
Rælingen,59.9247,11.05,2.925974913155306
Skedsmo,59.95,11.05,2.249452587304601
Ski,59.7197,10.8356,1.9405382534670812
Sørum,60.0,11.25,2.5127173208359332
Ullensaker,60.1419,11.1749,2.211565719751529
Vestby,59.5333,10.75,1.9406399576320006
Ås,59.6636,10.79,1.9441767442723947
Alvdal,62.1075,10.6292,1.948383310671474
Eidskog,60.05,12.1333,2.1942975221126084
Elverum,60.8833,11.5667,1.6055996438949387
Engerdal,61.5667,11.9167,1.1891132214291613
Folldal,62.1333,9.9833,2.397930945248591
Grue,60.4333,12.3,2.6629241544427527
Hamar,60.7945,11.067,2.648530901420746
Kongsvinger,60.19,12.0,3.038916046061112
Løten,60.8167,11.3333,1.9851302681702414
Nord-Odal,60.4167,11.5667,1.980662073534892
Os,60.2,5.5,4.831660637882709
Rendalen,61.8833,11.0833,1.5985729364142616
Ringsaker,60.95,10.9167,2.189118695728274
Stange,60.7167,11.2,3.008672331007026
Stor-Elvdal,61.6333,11.0,1.378606538335141
Sør-Odal,60.25,11.5667,2.280559873227343
Tolga,62.4167,10.9833,1.4502198463039309
Trysil,61.3167,12.2667,2.042150975124459
Tynset,62.275,10.7761,1.7724509598557936
Åmot,61.0,11.5,1.8512393092725832
Åsnes,60.5667,12.0,4.309429168017673
