Municipality,Latitude,Longitude,Beta
Oslo,59.9171,10.72753,4.9722486132191035
Aremark,59.1833,11.6833,4.658921059129532
Askim,59.5833,11.1667,4.275031244075016
Eidsberg,59.5167,11.3,4.3739283980209045
Fredrikstad,59.2181,10.9298,4.659051769059202
Halden,59.1333,11.3833,5.497414070868457
Hobøl,59.6167,10.9667,4.725898762897214
Hvaler,59.0333,11.0,4.339993296883158
Marker,59.4833,11.6667,4.477388954786976
Moss,59.434,10.6577,4.492646351051607
Rakkestad,59.4278,11.3472,4.434971207333821
Rygge,59.3667,10.7833,4.437977880912317
Rømskog,59.75,11.8333,3.8836424883604646
Råde,59.35,10.85,4.166950443351676
Sarpsborg,59.2833,11.1167,5.050201629472438
Skiptvet,59.4833,11.1667,4.20424738087549
Spydeberg,59.6167,11.0833,4.225401410102241
Trøgstad,59.6333,11.3167,4.02026633524536
Våler,60.65,11.8333,4.237441438098252
Indre Østfold,59.56247,11.34845,3.996971809792406
Bærum,59.90701,10.49593,4.383048460440864
Gjerdrum,60.0833,11.0333,4.2722381025985365
Hurdal,60.4333,11.0333,4.245594387889857
Lørenskog,59.9167,10.95,4.25512697582767
Nannestad,60.25,11.0333,4.42456530049594
Nes,60.1181,9.2506,4.174570382572834
Nesodden,59.8167,10.6667,5.07281520697556
Oppegård,59.8,10.8,4.916226091369602
Rælingen,59.9247,11.05,4.58918468742022
Skedsmo,59.95,11.05,4.215339996646658
Ski,59.7197,10.8356,4.681655763819292
Sørum,60.0,11.25,4.11245981513681
Ullensaker,60.1419,11.1749,4.42674444062827
Vestby,59.5333,10.75,5.298165864761961
Ås,59.6636,10.79,4.898919763828421
Enebakk,59.7666,11.1029,4.597050253459869
Aurskog-Høland,59.79585,11.47022,4.485110402373781
Lillestrøm,59.95577,11.04931,4.202083376927875
Nittedal,60.04269,10.88169,4.082268984870386
Nordre Follo,59.72049,10.83884,4.704271680784461
Eidsvoll,60.33234,11.26831,4.668590945543757
Asker,59.83697,10.43741,4.051385227668954
Frogn,59.6658,10.63644,4.106803707638261
Alvdal,62.1075,10.6292,5.378700435387621
Eidskog,60.05,12.1333,4.404988600798932
Elverum,60.8833,11.5667,4.550815374244278
Engerdal,61.5667,11.9167,4.502300502013274
Folldal,62.1333,9.9833,5.630294896171769
Grue,60.4333,12.3,5.629335976997969
Hamar,60.7945,11.067,5.052687829138836
Kongsvinger,60.19,12.0,5.2370262957362215
Løten,60.8167,11.3333,5.611258595278201
Nord-Odal,60.4167,11.5667,4.297540391819095
Bjørnafjorden,62.5,11.2167,5.251765451806182
Rendalen,61.8833,11.0833,5.316582326471765
Ringsaker,60.95,10.9167,4.871544832479744
Stange,60.7167,11.2,5.586167741670559
Stor-Elvdal,61.6333,11.0,4.623849167596952
Sør-Odal,60.25,11.5667,5.209517936201856
Tolga,62.4167,10.9833,4.9368208512667895
Trysil,61.3167,12.2667,4.260972275435169
Tynset,62.275,10.7761,5.260991610138676
Åmot,61.0,11.5,4.148630231399851
Åsnes,60.5667,12.0,4.698837902158548
Dovre,62.0745,9.2524,5.005645811791293
Etnedal,60.887,9.5537,4.940809488469112
Gausdal,61.2653,10.1491,4.413631213694437
Gjøvik,60.7957,10.6916,4.5306061500889045
Gran,60.3636,10.5662,4.255030264568939
Jevnaker,60.2416,10.3852,4.659113952465088
Lesja,62.2203,8.8582,3.692062087175359
Lillehammer,61.1153,10.4663,4.47107168269898
Lom,61.8371,8.5684,4.023075599046834
Lunner,60.2975,10.6123,4.17208886118397
Nord-Aurdal,61.034,9.2754,5.168798327182589
Nord-Fron,61.5939,9.7417,5.282361796481592
Nordre Land,60.8254,10.0408,5.659850259539747
Ringebu,61.5278,10.1419,5.328593789968314
Sel,61.7722,9.3931,5.42677090602629
Skjåk,61.8781,8.263,3.9360414060261295
Søndre Land,60.6819,10.3402,4.995276693850779
Sør-Aurdal,60.8139,9.5378,5.141799339402899
Sør-Fron,61.5974,9.7508,5.7483942174849085
Vang,61.1255,8.5711,3.504147827644118
Vestre Slidre,61.0754,8.9898,4.501049690931735
Vestre Toten,60.7166,10.6175,4.036465592503086
Vågå,61.8736,8.9701,4.734437211909798
Østre Toten,60.6757,10.9295,4.297426764884055
Øyer,61.2674,10.4183,4.00957761518158
Øystre Slidre,61.2009,9.0746,5.29317043654838
Drammen,59.7439,10.2045,3.7943497565340927
Flesberg,59.8508,9.5641,4.457155320033869
Flå,60.4317,9.4652,4.283212259030387
Gol,60.7016,8.9433,4.881851161639452
Hemsedal,60.8623,8.5481,4.077374536110774
Hol,60.6042,8.5646,5.0782896437597564
Hole,60.0654,10.2778,4.488913559963273
Hurum,59.631,10.5035,4.156704615003513
Kongsberg,59.6775,9.6502,4.656779601067133
Krødsherad,60.1767,9.6869,4.446935637153273
Lier,59.7885,10.3044,4.314379160297518
Modum,59.9446,9.9872,4.911245067757689
Nedre Eiker,59.7701,10.0706,3.9104588893458536
Nore og Uvdal,60.2657,8.7302,5.576488699987479
Ringerike,60.168,10.256,4.8344674964745185
Rollag,60.0261,9.3006,4.604132403713534
Røyken,59.7461,10.4053,3.890017299772105
Sigdal,60.1711,9.6253,4.1853982561229595
Øvre Eiker,59.7765,9.9047,4.833396100917683
Ål,60.6297,8.5623,4.648717736945668
Nesbyen,60.56484,9.08917,4.888398692320276
Færder,59.22764,10.4205,3.794191934894719
Hof,59.525,10.1433,3.964911135903102
Holmestrand,59.4881,10.3153,4.080261640567183
Horten,59.4175,10.4839,4.36689868694471
Larvik,59.0533,10.035,4.307874777792909
Re,59.4153,10.2581,3.9053961118914313
Sande,62.2,5.5,3.6862233378456
Sandefjord,59.1313,10.2166,4.89470605453388
Svelvik,59.6108,10.4091,4.244841746916874
Tønsberg,59.2675,10.4076,4.198003735613211
Bamble,59.00141,9.74372,4.235063983276621
Bø,68.6667,14.55,4.207937280839322
Drangedal,59.0961,9.0647,4.286319656682765
Fyresdal,59.1897,8.0894,4.0944122201639805
Hjartdal,59.6058,8.5008,4.335242197278864
Kragerø,58.8683,9.4092,3.802659767285383
Kviteseid,59.4083,8.4931,5.215317775387887
Nissedal,59.0922,8.5081,4.280363595136933
Nome,59.2908,9.0514,4.384196055868092
Notodden,59.5603,9.2617,4.850865682543809
Porsgrunn,59.1405,9.6561,4.380802680896874
Sauherad,59.3978,9.2547,4.992247611253114
Seljord,59.4781,8.6333,4.270155322838237
Siljan,59.2967,9.7006,4.033839200945952
Skien,59.2096,9.5514,4.561077940845156
Tinn,59.8663,8.6172,4.391955934155355
Tokke,59.4481,8.0267,5.168922796208958
Vinje,59.5825,7.9769,4.548387279157388
Midt-Telemark,59.41307,9.06626,4.413734542650961
Arendal,58.4615,8.7725,4.222412953192955
Birkenes,58.3725,8.2375,3.7833717715668276
Bygland,58.83,7.8,4.305922403534709
Bykle,59.35,7.35,3.245265418145584
Evje og Hornnes,58.56,7.8,4.47955036206627
Froland,58.5186,8.6386,3.5595459221685304
Gjerstad,58.88,9.0,3.9974156366515454
Grimstad,58.34,8.5934,4.532282444097279
Iveland,58.45,7.7833,3.6661281730474387
Lillesand,58.2486,8.3786,4.568089539534091
Risør,58.72,9.2,4.189512091639596
Tvedestrand,58.6197,8.9314,4.161170529486953
Valle,59.2125,7.5356,4.308474110319984
Vegårshei,58.75,8.9333,3.463489214619252
Åmli,58.7667,8.5,4.254280894041244
Audnedal,58.2833,7.3333,4.753993486331415
Farsund,58.09178,6.79499,4.861571981575691
Flekkefjord,58.2975,6.6644,4.14823750292693
Hægebostad,58.35,7.1833,3.8809493933581467
Kristiansand,58.1467,7.9956,4.239942313115374
Kvinesdal,58.3167,6.9667,4.940430838738296
Lindesnes,58.0833,7.2833,3.403786420536887
Lyngdal,58.1333,7.0667,4.251108265509041
Mandal,58.0275,7.4536,3.797082015289851
Marnardal,58.2667,7.5333,4.298053800156299
Sirdal,58.85,6.9,2.8936322850775467
Songdalen,58.2833,7.7167,3.888765872403803
Søgne,58.0833,7.8167,3.57200120396153
Vennesla,58.2667,7.9747,4.183368749435209
Åseral,58.61865,7.42083,3.5761825660055737
Bjerkreim,58.6458,6.0731,2.6907932084597483
Bokn,59.217,5.45,4.382839490167805
Eigersund,58.451,6.0048,4.452446065916366
Finnøy,59.1667,5.8333,4.571720929628149
Forsand,58.9078,6.238,5.320897712199364
Gjesdal,58.77,6.08,2.9745003931490266
Haugesund,59.417,5.27952,4.302324021477744
Hjelmeland,59.23,6.18,3.8193054051265274
Hå,58.6167,5.65,4.040554982329605
Karmøy,59.2833,5.3,4.178002116699289
Klepp,58.77,5.63,4.813019848929816
Kvitsøy,59.0667,5.4167,4.780761297437444
Lund,58.4667,6.55,5.06873168406176
Randaberg,58.9833,5.6167,4.958666700660518
Sandnes,58.8524,5.7352,4.936647505465941
Sauda,59.65,6.35,3.4240438846519567
Sokndal,58.3467,6.2896,4.324441523433093
Sola,58.8887,5.65,4.994628101188416
Stavanger,58.969,5.7331,4.614556338064649
Strand,59.0222,6.04,4.47033790912913
Suldal,59.48625,6.25623,3.8023994498466944
Time,58.725,5.73,4.18920146621827
Tysvær,59.4,5.5,4.967884077334995
Vindafjord,59.6,5.95,2.866813748898105
Askøy,60.4,5.0,4.217704261532987
Austrheim,60.7773,4.93244,3.901104336600328
Bergen,60.39035,5.3177,4.650011488885224
Bømlo,59.8,5.2,4.00592371469658
Eidfjord,60.35153,7.35181,4.226156824492923
Etne,59.7,5.9,3.3420388056833397
Fedje,60.76451,4.72341,3.9329622510675604
Fitjar,59.92343,5.32846,4.24695789625812
Fusa,60.2,5.7,3.5130829478214265
Granvin,60.5,6.7,4.609261798004706
Jondal,60.3,6.3,2.4124708850742165
Kvam,60.4,6.1,2.8681304090176685
Kvinnherad,59.9,6.0,2.7313139059490017
Lindås,60.7,5.3,4.468980359777642
Masfjorden,61.0,5.3,4.14557418927429
Meland,60.6,5.0,4.0187900222105215
Modalen,60.8,5.7,2.6922363222220347
Odda,60.1,6.5,3.94667753999355
Os,60.2,5.5,3.3853933424842495
Osterøy,60.5,5.6,2.7308369222336495
Voss,60.6,6.4,4.443397660986819
Øygarden,60.36319,5.11867,4.095333713905489
Ullensvang,60.06699,6.54544,4.201418372213691
Alver,60.55122,5.28939,4.720237934128965
Vaksdal,60.5917,5.82262,3.2133595428874617
Samnanger,60.39245,5.77437,4.454953298763016
Ulvik,60.5731,6.92183,3.527389294749885
Sveio,59.54494,5.35543,4.9813824011401975
Stord,59.78143,5.49527,4.39461697003609
Tysnes,59.99905,5.49951,4.2102247561809225
Askvoll,61.3483,5.0736,4.111570654151055
Aurland,60.9064,7.1949,4.015718500902991
Bremanger,61.76794,5.29806,2.477387541013934
Stad,61.9104,5.9987,4.144801300215026
Fjaler,61.3669,5.4127,4.25042488716785
Kinn,61.59204,5.01032,4.469437355507207
Førde,61.4526,5.8621,3.969284095318417
Gaular,61.3954,5.9553,3.026341855587695
Gloppen,61.76946,6.23015,3.609818262086084
Gulen,60.9847,5.2058,2.7088318726252236
Hornindal,62.0094,6.5231,2.909722802011247
Hyllestad,61.2804,5.3018,3.353203467833446
Høyanger,61.2165,6.0812,3.2112305793270077
Jølster,61.5708,6.2531,3.134346074637759
Leikanger,61.1844,6.8476,3.1274724932070725
Luster,61.4979,7.3292,3.569743534823776
Lærdal,61.0992,7.4786,4.188677726490998
Naustdal,61.5092,5.7271,4.344943783810856
Sogndal,61.229,7.1034,2.8981950172942335
Solund,61.0918,4.8324,3.409968605977388
Stryn,61.9018,6.7208,3.810419103184951
Vik,61.0674,6.5857,2.5895894056935855
Vågsøy,61.9357,5.1111,3.504173068010213
Årdal,61.23825,7.72024,3.765436117658375
Sunnfjord,61.4929,5.54849,4.983491394781224
Aukra,62.7922,6.9069,4.0046861246341745
Aure,63.2714,8.5233,3.7592564366249013
Averøy,63.0338,7.4897,4.09704514837243
Hustadvika,62.9163,7.3958,3.14286027579367
Fræna,62.8851,7.1286,3.4631213835905257
Giske,62.50491,6.0465,3.8265441373858016
Gjemnes,62.9667,7.7852,4.493441070595518
Halsa,63.0694,8.2603,3.67166703002193
