Municipality,SWE
Oslo,"[48.60000228881836, 95.5999984741211, 60.5, 19.80000114440918, 68.9000015258789, 192.90000915527344, 118.9000015258789, 179.90000915527344, 105.80000305175781, 90.70000457763672, 30.700000762939453, 71.20000457763672, 84.80000305175781, 101.4000015258789, 19.399999618530273, 49.70000076293945, 87.70000457763672, 114.0999984741211, 61.79999923706055, 74.0999984741211, 64.20000457763672, 110.0999984741211, 40.400001525878906, 20.100000381469727, 108.0999984741211, 99.0999984741211, 119.0, 42.10000228881836]"
Aremark,"[30.0, 75.20000457763672, 76.4000015258789, 27.600000381469727, 79.5999984741211, 200.1999969482422, 135.60000610351562, 109.9000015258789, 142.40000915527344, 114.9000015258789, 25.0, 92.20000457763672, 73.30000305175781, 61.60000228881836, 41.10000228881836, 21.399999618530273, 141.90000915527344, 85.80000305175781, 87.30000305175781, 86.5, 52.10000228881836, 80.5, 40.0, 47.29999923706055, 112.80000305175781, 116.5, 136.90000915527344, 69.9000015258789]"
Askim,"[55.79999923706055, 162.90000915527344, 100.0, 23.399999618530273, 81.5, 246.1999969482422, 187.60000610351562, 173.60000610351562, 219.0, 127.0999984741211, 35.400001525878906, 72.5999984741211, 71.20000457763672, 77.0, 57.0, 61.5, 126.0, 154.90000915527344, 106.9000015258789, 82.5, 70.4000015258789, 90.5, 46.0, 45.20000076293945, 134.60000610351562, 138.3000030517578, 143.6999969482422, 130.0]"
Eidsberg,"[26.399999618530273, 88.0, 68.5999984741211, 15.300000190734863, 83.0, 220.1999969482422, 154.6999969482422, 141.90000915527344, 202.5, 120.30000305175781, 43.900001525878906, 69.9000015258789, 61.29999923706055, 57.60000228881836, 46.10000228881836, 45.29999923706055, 123.0, 135.10000610351562, 124.0, 91.70000457763672, 81.9000015258789, 102.80000305175781, 43.400001525878906, 57.5, 135.40000915527344, 131.3000030517578, 146.6999969482422, 112.20000457763672]"
Fredrikstad,"[21.100000381469727, 69.80000305175781, 99.0, 23.0, 58.20000076293945, 165.5, 68.70000457763672, 83.5, 87.30000305175781, 70.70000457763672, 20.700000762939453, 61.70000076293945, 40.70000076293945, 23.399999618530273, 26.5, 22.200000762939453, 105.9000015258789, 37.60000228881836, 50.5, 96.5, 64.0999984741211, 59.400001525878906, 20.30000114440918, 15.600000381469727, 100.20000457763672, 91.0999984741211, 116.20000457763672, 29.80000114440918]"
Halden,"[22.600000381469727, 58.0, 39.400001525878906, 17.100000381469727, 54.20000076293945, 165.0, 59.10000228881836, 96.30000305175781, 66.9000015258789, 74.70000457763672, 22.30000114440918, 48.0, 41.0, 15.800000190734863, 21.5, 15.699999809265137, 75.80000305175781, 27.80000114440918, 42.0, 56.400001525878906, 44.70000076293945, 50.79999923706055, 25.200000762939453, 24.399999618530273, 87.20000457763672, 39.29999923706055, 100.20000457763672, 24.399999618530273]"
Hobøl,"[53.20000076293945, 147.6999969482422, 82.0, 17.0, 77.0, 209.0, 140.1999969482422, 162.8000030517578, 178.8000030517578, 114.5999984741211, 34.0, 77.30000305175781, 65.5999984741211, 84.0, 65.5999984741211, 43.10000228881836, 104.80000305175781, 129.10000610351562, 67.80000305175781, 95.0, 64.30000305175781, 90.80000305175781, 43.70000076293945, 40.400001525878906, 120.30000305175781, 131.5, 158.10000610351562, 141.8000030517578]"
Hvaler,"[21.30000114440918, 38.60000228881836, 57.60000228881836, 16.200000762939453, 58.70000076293945, 175.8000030517578, 67.20000457763672, 96.0999984741211, 65.9000015258789, 69.0999984741211, 23.0, 86.5999984741211, 40.10000228881836, 27.0, 20.200000762939453, 15.699999809265137, 112.0, 34.900001525878906, 46.29999923706055, 87.30000305175781, 64.0999984741211, 64.5, 18.700000762939453, 22.899999618530273, 103.70000457763672, 65.30000305175781, 90.0999984741211, 23.0]"
Marker,"[45.900001525878906, 146.60000610351562, 85.9000015258789, 27.600000381469727, 83.5999984741211, 216.6999969482422, 181.1999969482422, 163.90000915527344, 182.60000610351562, 125.0, 52.79999923706055, 78.5999984741211, 87.0999984741211, 104.5999984741211, 73.30000305175781, 50.70000076293945, 118.5, 113.20000457763672, 81.9000015258789, 95.70000457763672, 78.20000457763672, 82.5, 37.70000076293945, 72.5999984741211, 152.90000915527344, 121.30000305175781, 167.0, 111.0999984741211]"
Moss,"[48.900001525878906, 66.4000015258789, 47.79999923706055, 10.90000057220459, 57.70000076293945, 162.60000610351562, 83.70000457763672, 138.8000030517578, 102.0999984741211, 98.0, 22.5, 72.30000305175781, 41.0, 26.399999618530273, 31.30000114440918, 32.60000228881836, 115.0999984741211, 105.4000015258789, 54.400001525878906, 101.9000015258789, 63.10000228881836, 116.20000457763672, 35.400001525878906, 31.700000762939453, 128.1999969482422, 176.90000915527344, 226.1999969482422, 100.30000305175781]"
