municipality,var
Oslo,3.7999987907603
Aremark,3.8000020952568505
Fredrikstad,3.8000004895987654
Halden,3.8000003267497835
Hvaler,3.7999998984374734
Marker,3.799999032338875
Moss,3.8000004793114583
Rakkestad,3.800001551203193
Råde,3.8000002688206536
Sarpsborg,3.8000025134037174
Skiptvet,3.7999979162715243
Våler Østfold,3.800001592996037
Indre Østfold,3.7999999038899883
Bærum,3.799999497399199
Gjerdrum,3.799999947724293
Hurdal,3.7999992102586035
Lørenskog,3.8000025138510036
Nannestad,3.799999186176657
Nes Akershus,3.8000009406665303
Nesodden,3.8000017867900393
Rælingen,3.8000015065592243
Ullensaker,3.7999990144555045
Vestby,3.799998903484385
Ås,3.800000836543838
Enebakk,3.8000018026270026
Aurskog-Høland,3.7999993151864624
Lillestrøm,3.8000024151365692
Nittedal,3.799999569199946
Nordre Follo,3.799998854159834
Eidsvoll,3.800001050624641
Asker,3.79999771993838
Frogn,3.8000012849552918
Alvdal,3.79999924597957
Eidskog,3.8000039159233334
Elverum,3.800002729230154
Engerdal,3.800000025706013
Folldal,3.7999993802167835
Grue,3.80000273273865
Hamar,3.8000018159452065
Kongsvinger,3.80000154370083
Løten,3.800000967400038
Nord-Odal,3.7999988355105114
Os Innlandet,3.799999023151245
Bjørnafjorden,3.7999991162867843
Rendalen,3.799997446309474
Ringsaker,3.8000018340748762
Stange,3.7999977957929474
Stor-Elvdal,3.8000011866828047
Sør-Odal,3.800002700423392
Tolga,3.7999996219714727
Trysil,3.8000006006702307
Tynset,3.7999987706736147
Våler Innlandet,3.8000004088591663
Åmot,3.799997837406176
Åsnes,3.799998785919922
Dovre,3.799998043470072
Etnedal,3.799999041076376
Gausdal,3.8000003938964046
Gjøvik,3.799999928308018
Gran,3.8000013132698673
Jevnaker,3.7999983337696355
Lesja,3.800000261608078
Lillehammer,3.7999970136747248
Lom,3.799998061733999
Lunner,3.800000435288038
Nord-Aurdal,3.8000011762397214
Nord-Fron,3.799998186387456
Nordre Land,3.7999982343664707
Ringebu,3.7999962970228807
Sel,3.8000032059061466
Skjåk,3.80000212371019
Søndre Land,3.79999838996448
Sør-Aurdal,3.7999982543919635
Sør-Fron,3.800003613046737
Vang,3.744436894865637
Vestre Slidre,3.8000013004474384
Vestre Toten,3.7999990184057135
Vågå,3.799999551452615
Østre Toten,3.799998620585347
Øyer,3.8000023571875063
Øystre Slidre,3.7999994957657792
Drammen,3.800000410565409
Flesberg,3.800001135536201
Flå,3.799999847620679
Gol,3.799999091995795
Hemsedal,3.8000003193151803
Hol,3.8000012785167816
Hole,3.7999985511768264
Kongsberg,3.8000017384752223
Krødsherad,3.8000026690740265
Lier,3.7999992238407194
Modum,3.8000020740961458
Nes Buskerud,3.8000001112726847
Nore og Uvdal,3.8000004676962273
Ringerike,3.7999996971596675
Rollag,3.79999930586526
Sigdal,3.7999998028656465
Øvre Eiker,3.800001566135753
Ål,3.7999992984130104
Nesbyen,3.8000001112726847
Færder,3.7999993584043477
Holmestrand,3.800000439857183
Horten,3.8000013246827993
Larvik,3.7999995428773317
Sandefjord,3.7999989628395987
Tønsberg,3.8000021074038672
Bamble,3.799999019183587
Drangedal,3.8000023934323317
Fyresdal,3.8000009625220295
Hjartdal,3.800002321181928
Kragerø,3.7999992120242663
Kviteseid,3.799998101024764
Nissedal,3.799999233401028
Nome,3.800002797835385
Notodden,3.80000019659392
Porsgrunn,3.7999986125078764
Seljord,3.7999994804128714
Siljan,3.8000012042749547
Skien,3.7999996931689677
Tinn,3.79999983840146
Tokke,3.800001005593126
Vinje,3.7999989992731353
Midt-Telemark,3.799998217088808
Arendal,3.8000003845640675
Birkenes,3.800000755009209
Bygland,3.800000799247927
Bykle,3.8000000251282455
Evje og Hornnes,3.800001853567251
Froland,3.799999728414173
Gjerstad,3.799997173618094
Grimstad,3.800000740760936
Iveland,3.80000005469654
Lillesand,3.7999987791685124
Risør,3.799999652842102
Tvedestrand,3.800001504326985
Valle,3.7999995017208685
Vegårshei,3.800000087594211
Åmli,3.8000013673704167
Farsund,3.799999796837225
Flekkefjord,3.8000028942386592
Hægebostad,3.799999945201619
Kristiansand,3.7999998263404327
Kvinesdal,3.7999969162925415
Lindesnes,3.8000017670641
Lyngdal,3.800000904824491
Sirdal,3.8000005270011896
Vennesla,3.799999807303963
Åseral,3.8000004032332018
Bjerkreim,3.7999987060326754
Bokn,3.8000012147243
Eigersund,3.8000017800212325
Gjesdal,3.7999960874483625
Haugesund,3.8000003777138502
Hjelmeland,3.799999520710373
Hå,3.800002339858215
Karmøy,3.799999061114648
Klepp,3.7999984767337347
Kvitsøy,3.7999997075660503
Lund,3.800001254162
Randaberg,3.7999983609733774
Sandnes,3.8000012000021623
Sauda,3.8000029610708883
Sokndal,3.7999963500975684
Sola,3.7999996406657037
Stavanger,3.799999856573374
Strand,3.7999998739571166
Suldal,3.800000012493297
Time,3.7999989149145357
Tysvær,3.8000015920061383
Vindafjord,3.7999988535343436
Askøy,3.8000026600736
Austevoll,3.7999979921470657
Austrheim,3.7999991060324017
Bergen,3.80000135997174
Bømlo,3.7999992998072716
Eidfjord,3.800002382289093
Etne,3.8000008607713154
Fedje,3.799999854026542
Fitjar,3.8000011519086745
Fusa,3.7999984167324135
Jondal,3.7999982899244498
Kvam,3.7999995057550198
Kvinnherad,3.800002220261175
Lindås,3.799998836344217
Masfjorden,3.799998528690365
Meland,3.800002242647879
Modalen,3.800000214294478
Odda,3.8000013143702884
Os Vestland,3.7999991162867843
Osterøy,3.8000034081254666
Voss,3.800002142868337
Øygarden,3.8000016699654133
Ullensvang,3.8000013143702884
Alver,3.8000001717757512
Vaksdal,3.8000010204166044
Samnanger,3.8000001997547765
Ulvik,3.7999989133131225
Sveio,3.8000000435188817
Stord,3.8000000250798927
Tysnes,3.7999986934330314
Askvoll,3.800003077513015
Aurland,3.7999982315551555
Bremanger,3.799998174292916
Stad,3.7999997006951536
Fjaler,3.799998270390226
Kinn,3.800000454138829
Førde,3.7999990679137983
Gloppen,3.7999984208936985
Gulen,3.8000021882538997
Hornindal,3.7999994328946993
Hyllestad,3.800001582860585
Høyanger,3.800000350589787
Jølster,3.80000118464399
Leikanger,3.7999985108795675
Luster,3.799996784341181
Lærdal,3.799998900550124
Naustdal,3.7999977322162444
Sogndal,3.800000393860293
Solund,3.800001314320233
Stryn,3.7999989446067373
Vik,3.800001450590159
Årdal,3.8000016522487816
Sunnfjord,3.7999990679137983
Aukra,3.8000014820613375
Aure,3.800001473634878
Averøy,3.800002113791179
Hustadvika,3.7999979180120707
Fræna,3.7999979180120707
Giske,3.8000003905906277
Gjemnes,3.7999998904375487
Halsa,3.80000096076082
Haram,3.799998926180415
Hareid,3.7999968214216078
Herøy Møre og Romsdal,3.7999997865662722
Kristiansund,3.7999974636959806
Midsund,3.7999994603929035
Molde,3.8000021123635896
Nesset,3.7999993072973335
Norddal,3.799995261778884
Rauma,3.799999610879085
Rindal,3.7999999561309696
Sande,3.799999970056161
Skodje,3.800000681671864
Smøla,3.8000003554577844
Stordal,3.799996076636725
Stranda,3.799999162842618
Sula,3.8000004381260144
Sunndal,3.8000009372883286
Surnadal,3.800000581789772
Sykkylven,3.7999982603199167
Tingvoll,3.799999650468364
Ulstein,3.7999989927334634
Vanylven,3.7999990282800478
Vestnes,3.8000011363420265
Volda,3.8000025724620583
Ørskog,3.7999997859397063
Fjord,3.799995261778884
Ørsta,3.799999239675654
Ålesund,3.7999978206259817
Flatanger,3.799997801301594
Frosta,3.8000018637024744
Frøya,3.799998335863513
Grong,3.799999705283355
Heim,3.8000008542984154
Hitra,3.8000004128909386
Holtålen,3.80000102410025
Høylandet,3.800000684245906
Inderøy,3.8000000512051075
Indre Fosen,3.8000012735975073
Klæbu,3.8000009582185497
Leka,3.799998619554434
Levanger,3.7999999548658545
Lierne,3.800000662857007
Malvik,3.7999986714238956
Orkland,3.7999992297488676
Meråker,3.800001103576667
Midtre Gauldal,3.800001719922669
Namsos,3.8000000029208065
Namsskogan,3.800001377561479
Oppdal,3.7999994987320886
Selbu,3.8000004990192053
Trondheim,3.800000416586355
Tydal,3.800000832996089
Verdal,3.800000122169119
Ørland,3.800001063265909
Stjørdal,3.8000007243513143
Osen,3.7999976221466234
Skaun,3.799999277827095
Melhus,3.799999866062269
Nærøysund,3.799999729641394
Steinkjer,3.799999357499384
Åfjord,3.800003054251776
Rennebu,3.8000004216596857
Overhalla,3.7999997586677936
Røros,3.800000047408882
Røyrvik,3.7999993964241847
Snåsa,3.7999995431567246
Alstahaug,3.80000008165888
Andøy,3.7999994114997993
Ballangen,3.8000001913326593
