municipality,var
Oslo,3.8000013318623744
Aremark,3.80000005044753
Fredrikstad,3.800001854988069
Halden,3.800001376081239
Hvaler,3.799998651541928
Marker,3.800000348909578
Moss,3.799999683908771
Rakkestad,3.7999999980192265
Råde,3.799998766366311
Sarpsborg,3.800000774574718
Skiptvet,3.8000001103668004
Våler Østfold,3.800000620952859
Indre Østfold,3.800000033935602
Bærum,3.799999393976278
Gjerdrum,3.7999994551525385
Hurdal,3.8000003214686724
Lørenskog,3.799999850077565
Nannestad,3.8000006053411397
Nes Akershus,3.8000001233003498
Nesodden,3.7999995423249135
Rælingen,3.800000096527003
Ullensaker,3.7999993648342034
Vestby,3.800000525124963
Ås,3.799999550354804
Enebakk,3.8000004532993206
Aurskog-Høland,3.800000470744469
Lillestrøm,3.800000253897471
Nittedal,3.799999677880978
Nordre Follo,3.7999995502964987
Eidsvoll,3.7999992200628023
Asker,3.742897508015836
Frogn,3.8000006216952293
Alvdal,3.8000002334330354
Eidskog,3.800000564108654
Elverum,3.8000004027117664
Engerdal,3.800000273727277
Folldal,3.7999996060262555
Grue,3.8000001691120615
Hamar,3.800001210905172
Kongsvinger,3.800000787624192
Løten,3.80000067456879
Nord-Odal,3.800000296467253
Os Innlandet,3.799999653967688
Bjørnafjorden,3.8000013546202767
Rendalen,3.8000005306576634
Ringsaker,3.799999476864202
Stange,3.800000568135688
Stor-Elvdal,3.800000412692794
Sør-Odal,3.8000013096436365
Tolga,3.799999999497103
Trysil,3.7999996150080246
Tynset,3.7999999225719567
Våler Innlandet,3.80000053585753
Åmot,3.8000000487593937
Åsnes,3.7999999154630526
Dovre,3.800000172878846
Etnedal,3.79746615875559
Gausdal,3.8000003214848896
Gjøvik,3.7999998061330094
Gran,3.8000003109818925
Jevnaker,3.8000002937069604
Lesja,3.799999866212105
Lillehammer,3.800000705174628
Lom,3.7999994829067294
Lunner,3.799999657378337
Nord-Aurdal,3.799999521627402
Nord-Fron,3.8000003924224037
Nordre Land,3.8000002961597485
Ringebu,3.8000000378998515
Sel,3.7999991415496903
Skjåk,3.80000042272089
Søndre Land,3.8000000764163473
Sør-Aurdal,3.7999998139292166
Sør-Fron,3.7999994834996422
Vang,3.799999974105672
Vestre Slidre,3.7999997106954946
Vestre Toten,3.7999998488873223
Vågå,3.800000556399003
Østre Toten,3.8000000926546793
Øyer,3.800000217364481
Øystre Slidre,3.8000004024515226
Drammen,3.799999840549303
Flesberg,3.799999861069511
Flå,3.8000001830481938
Gol,3.7999995861348745
Hemsedal,3.7999997187276495
Hol,3.799999631911726
Hole,3.7999999881680004
Kongsberg,3.8000006130538138
Krødsherad,3.719759695131465
Lier,3.8000001808754
Modum,3.8000000749374596
Nes Buskerud,3.8000004639781166
Nore og Uvdal,3.799999775181319
Ringerike,3.7999998844122156
Rollag,3.8000000202746236
Sigdal,3.8000003275378447
Øvre Eiker,3.8000004022564666
Ål,3.8000005372281613
Nesbyen,3.8000004639781166
Færder,3.7999999023986915
Holmestrand,3.79999961084971
Horten,3.7999999542136798
Larvik,3.799999056131716
Sandefjord,3.8000006833088413
Tønsberg,3.7999998634513785
Bamble,3.799999781585333
Drangedal,3.7999997810562958
Fyresdal,3.8000002857588884
Hjartdal,3.7999999273430225
Kragerø,3.8000000876953366
Kviteseid,3.8000009382988957
Nissedal,3.7999997665012963
Nome,3.8000005173015157
Notodden,3.8000002992606268
Porsgrunn,3.8000000009004586
Seljord,3.7999992899628805
Siljan,3.7999999517940495
Skien,3.8000000545572177
Tinn,3.7498352790457763
Tokke,3.7999993773221834
Vinje,3.8000003004504515
Midt-Telemark,3.800000033612052
Arendal,3.799999456131522
Birkenes,3.800000727390724
Bygland,3.7999999798110187
Bykle,3.799999888042756
Evje og Hornnes,3.7999994235248202
Froland,3.8000004868331847
Gjerstad,3.799999552808045
Grimstad,3.799999532452386
Iveland,3.7999997006453516
Lillesand,3.7999994580145264
Risør,3.7999999163371943
Tvedestrand,3.79999961305014
Valle,3.8000004279629844
Vegårshei,3.79999950042378
Åmli,3.800000179590115
Farsund,3.8000008844608018
Flekkefjord,3.8000007708783
Hægebostad,3.799999505336838
Kristiansand,3.8000006351001914
Kvinesdal,3.800000369182707
Lindesnes,3.7999981648840357
Lyngdal,3.799998624237432
Sirdal,3.7999990200279856
Vennesla,3.799999461112243
Åseral,3.799999630399877
Bjerkreim,3.7999987631444956
Bokn,3.800000181360868
Eigersund,3.8000006447200896
Gjesdal,3.7999996324120775
Haugesund,3.8000005705875166
Hjelmeland,3.7999984568986687
Hå,3.80000145456285
Karmøy,3.8000012173867947
Klepp,3.800000567658186
Kvitsøy,3.800000803393757
Lund,3.799999875831509
Randaberg,3.800000658398854
Sandnes,3.8000011346047056
Sauda,3.799999243673002
Sokndal,3.799999426746618
Sola,3.799997624748026
Stavanger,3.8000018087241187
Strand,3.800000269669004
Suldal,3.800001344592879
Time,3.7999977036880757
Tysvær,3.8000028635070904
Vindafjord,3.8000002694713317
Askøy,3.7999996540667547
Austevoll,3.8000007364770494
Austrheim,3.800000255361649
Bergen,3.800000860735581
Bømlo,3.799998991243203
Eidfjord,3.8000002053870507
Etne,3.799999632468873
Fedje,3.7999985114751818
Fitjar,3.7999987472869097
Fusa,3.7999993870177935
Jondal,3.8000000054442467
Kvam,3.800000604348362
Kvinnherad,3.80000106491161
Lindås,3.799999590426993
Masfjorden,3.799999982390194
Meland,3.799998849176275
Modalen,3.8000005606649854
Odda,3.800000593930779
Os Vestland,3.8000013546202767
Osterøy,3.8000007959920863
Voss,3.800000041289992
Øygarden,3.800000261830114
Ullensvang,3.800000593930779
Alver,3.800001769418845
Vaksdal,3.8000003356932557
Samnanger,3.7999996493260526
Ulvik,3.8000011433907366
Sveio,3.7999997278394666
Stord,3.8000022661704556
Tysnes,3.800000085672081
Askvoll,3.800000693485704
Aurland,3.8000000556543636
Bremanger,3.8000002206800265
Stad,3.7999994108962643
Fjaler,3.8000007480729248
Kinn,3.8000010986348176
Førde,3.7999991053928945
Gloppen,3.8000003739744743
Gulen,3.7999999840986374
Hornindal,3.800000117656436
Hyllestad,3.8000000233491886
Høyanger,3.8000008784499584
Jølster,3.7538759188489204
Leikanger,3.799999790790025
Luster,3.800000759299572
Lærdal,3.800000493219057
Naustdal,3.799999759920404
Sogndal,3.7999999713036687
Solund,3.7999995067105754
Stryn,3.800000466083169
Vik,3.800000471547329
Årdal,3.8000001958225624
Sunnfjord,3.7999991053928945
Aukra,3.8000000244083156
Aure,3.799999841848746
Averøy,3.8000011819806727
Hustadvika,3.7999994542341367
Fræna,3.7999994542341367
Giske,3.8000002546899028
Gjemnes,3.799999225908307
Halsa,3.799999789037024
Haram,3.7999996097807274
Hareid,3.7999998050218085
Herøy Møre og Romsdal,3.799999583806936
Kristiansund,3.7999993422465788
Midsund,3.799999156146466
Molde,3.8000002456685085
Nesset,3.800000038823942
Norddal,3.80000066833658
Rauma,3.799999649274476
Rindal,3.7999990417690808
Sande,3.8000002811547446
Skodje,3.8000001588650254
Smøla,3.8000012992921897
Stordal,3.7999994996098154
Stranda,3.7999994199591485
Sula,3.8000002701653
Sunndal,3.7999994676797577
Surnadal,3.8000001468033706
Sykkylven,3.8000003555261186
Tingvoll,3.8000003956116197
Ulstein,3.7999992870704333
Vanylven,3.8000005255793172
Vestnes,3.8000003914182754
Volda,3.799999699058574
Ørskog,3.7999992352869496
Fjord,3.80000066833658
Ørsta,3.800000435125271
Ålesund,3.8000011691531914
Flatanger,3.799999925576353
Frosta,3.799999181741939
Frøya,3.8000003787955965
Grong,3.800000176481103
Heim,3.8000004618705496
Hitra,3.8000007526573296
Holtålen,3.7999997055568406
Høylandet,3.799999450729399
Inderøy,3.800000083902116
Indre Fosen,3.7999999221755645
Klæbu,3.7999998846885616
Leka,3.8000011390709485
Levanger,3.800000736870797
Lierne,3.739889991512849
Malvik,3.79999925710785
Orkland,3.7999996326477152
Meråker,3.8000007632412367
Midtre Gauldal,3.800000606222213
Namsos,3.8000003551962633
Namsskogan,3.800000107659622
Oppdal,3.8000001371273138
Selbu,3.7999996088523225
Trondheim,3.799999434705723
Tydal,3.799999926319476
Verdal,3.8000009244846567
Ørland,3.7999998117029965
Stjørdal,3.7999991101390003
Osen,3.800000496033143
Skaun,3.7999993834073966
Melhus,3.79999947213369
Nærøysund,3.7999998514199245
Steinkjer,3.7999992055546645
Åfjord,3.800000294989879
Rennebu,3.799999601445694
Overhalla,3.799999402003384
Røros,3.7999996497739215
Røyrvik,3.7999997938448313
Snåsa,3.800000344794292
Alstahaug,3.7999997138037873
Andøy,3.8000000287598743
Ballangen,3.800000270264162
Beiarn,3.799999896532079
Bindal,3.8000005213369663
Bodø,3.800000153863553
Brønnøy,3.799999459072416
Bø Vesterålen,3.7818860061670714
Dønna,3.799999561623797
Evenes,3.800000059266932
Fauske,3.799999325257565
Flakstad,3.7999997116548396
Gildeskål,3.800000071899282
Grane,3.799999829478247
Hadsel,3.7999995103919977
Hábmer,3.7999997646354102
Aarborte,3.799999732564859
Hemnes,3.800000327753284
Herøy Nordland,3.800001180834033
Leirfjord,3.80000007970203
Lurøy,3.79999961265339
Lødingen,3.799999715984858
Meløy,3.7999994315794767
Moskenes,3.799999941427207
Narvik,3.799999897258503
Nesna,3.7999997065289803
Rana,3.80000038701555
Rødøy,3.800001598167657
Saltdal,3.80000005448786
Sortland - Suortá,3.7999997824341216
Steigen,3.7999999637682977
Sømna,3.7999992171144483
Sørfold,3.800000534958635
Tjeldsund,3.799999713788595
Tysfjord,3.799999977658661
Vefsn,3.8000001779442756
Vega,3.799999382310745
Vestvågøy,3.8000000793166753
Vevelstad,3.7999995803933513
Værøy,3.7999999082809297
Vågan,3.8000000320461815
Øksnes,3.799999628648322
Balsfjord,3.8000000441401363
Bardu,3.7999997125717693
Dyrøy,3.8000000816480193
Kåfjord,3.799999914412014
Gratangen,3.8000002686487133
Harstad,3.7999997639188456
Ibestad,3.7999994699301327
Karlsøy,3.800000118444858
Kvæfjord,3.800000253940714
Kvænangen,3.800000043017691
Lavangen,3.8000001600503848
Lenvik,3.7568065074488692
Lyngen,3.7999999132856592
Målselv,3.8000003561380042
Nordreisa,3.7999999906913318
Salangen,3.8000000291730314
Skjervøy,3.799999935952381
Storfjord,3.7999999288944104
Sørreisa,3.800000249236509
Senja,3.7568065074488692
Tranøy,3.7999998922182407
Tromsø,3.8000000578747355
Alta,3.7156956559139247
Berlevåg,3.7999999838251783
Båtsfjord,3.7999997046533
Deatnu - Tana,3.800000118731274
Gamvik,3.8000000352334915
Kautokeino,3.799999798254616
Hammerfest,3.800000011028035
Hasvik,3.7999998690618253
Karasjok,3.7999993637666267
Kvalsund,3.800000798366397
Lebesby,3.8000001723648578
Loppa,3.7999998876715515
Måsøy,3.8000001511728074
Nordkapp,3.799999986618257
Porsanger,3.800000079265336
Sør-Varanger,3.8000009696081736
Nesseby,3.7999994546280806
Vadsø,3.8000004142359245
