municipality,var
Oslo,1.573507115758497
Aremark,1.9659123428209615
Fredrikstad,1.3654002526698321
Halden,1.1820502297197502
Hvaler,1.4117543316290113
Marker,3.0449493352952888
Moss,2.7336745342189688
Rakkestad,2.564798268275632
Råde,2.163021381738112
Sarpsborg,1.8738736596451182
Skiptvet,2.7640622259394676
Våler Østfold,3.2541700512756337
Indre Østfold,2.521284875900223
Bærum,3.0209372914043664
Gjerdrum,4.4505617426664275
Hurdal,5.614458984802463
Lørenskog,3.404867654493856
Nannestad,4.456940817032642
Nes Akershus,2.390362788929597
Nesodden,2.3036236495452895
Rælingen,3.9302745209086667
Ullensaker,3.986517991288636
Vestby,3.0305036296424865
Ås,3.3510928365556722
Enebakk,3.4469927559721323
Aurskog-Høland,2.1257856776066624
Lillestrøm,3.717465648910763
Nittedal,5.5049850056954135
Nordre Follo,3.6008900254219505
Eidsvoll,3.2245026270443735
Asker,5.099996232419626
Frogn,3.784336503561752
Alvdal,3.535282427326073
Eidskog,3.0401129973408705
Elverum,4.44121709654396
Engerdal,4.124934649636124
Folldal,2.457845156346947
Grue,2.0058632800740686
Hamar,2.2553469930524
Kongsvinger,2.2800541269705352
Løten,2.0966264957364804
Nord-Odal,2.3833471895999563
Os Innlandet,4.5792302889029735
Bjørnafjorden,1.8267135100322518
Rendalen,3.5335176474988343
Ringsaker,3.8706409628864553
Stange,2.3447192875039606
Stor-Elvdal,3.7176381060276094
Sør-Odal,1.9335207287541851
Tolga,3.6035445832689654
Trysil,5.003095968455205
Tynset,4.152192862876703
Våler Innlandet,4.412203248573325
Åmot,4.587945463287827
Åsnes,2.287559490703844
Dovre,3.3583618401390978
Etnedal,5.099996232419626
Gausdal,5.760282611486563
Gjøvik,3.958347959077347
Gran,4.3920753680498565
Jevnaker,3.5139164557416667
Lesja,7.411942123019895
Lillehammer,3.328710565923897
Lom,5.705530395689118
Lunner,4.945765396179091
Nord-Aurdal,4.192793364715867
Nord-Fron,3.1895007340554775
Nordre Land,3.2784099490964755
Ringebu,3.4676217330955312
Sel,2.7417999844799246
Skjåk,6.591770720941011
Søndre Land,4.045280688283444
Sør-Aurdal,4.8003425491086436
Sør-Fron,3.923751542041212
Vang,7.290473277443062
Vestre Slidre,4.0146500126957125
Vestre Toten,5.806987210986303
Vågå,7.218180394147083
Østre Toten,5.089911379238124
Øyer,4.072837081808683
Øystre Slidre,5.63080006070133
Drammen,3.105945936053563
Flesberg,5.94965500765589
Flå,4.148710279979543
Gol,3.8493494079762756
Hemsedal,7.95353582893434
Hol,6.514867551828313
Hole,6.219540676609722
Kongsberg,4.214601660697196
Krødsherad,5.099996232419626
Lier,3.9571683368252923
Modum,3.645014208399846
Nes Buskerud,3.7864065534469935
Nore og Uvdal,6.944875491534936
Ringerike,2.406657010121074
Rollag,6.051824034268615
Sigdal,7.382219476478289
Øvre Eiker,2.991595935704172
Ål,4.943106300811981
Nesbyen,3.7864065534469935
Færder,2.622448745088479
Holmestrand,4.808131930737151
Horten,3.8833486947300235
Larvik,3.801880336128992
Sandefjord,3.178729237584237
Tønsberg,2.9643180026237337
Bamble,3.0787738267726614
Drangedal,4.962464709855528
Fyresdal,3.8779609719658965
