Municipality,SWE
Oslo,"[48.60000228881836, 95.5999984741211, 60.5, 19.80000114440918, 68.9000015258789, 192.90000915527344, 118.9000015258789, 179.90000915527344, 105.80000305175781, 90.70000457763672, 30.700000762939453, 71.20000457763672, 84.80000305175781, 101.4000015258789, 19.399999618530273, 49.70000076293945, 87.70000457763672, 114.0999984741211, 61.79999923706055, 74.0999984741211, 64.20000457763672, 110.0999984741211, 40.400001525878906, 20.100000381469727, 108.0999984741211, 99.0999984741211, 119.0, 42.10000228881836, 16.100000381469727, 12.300000190734863, 8.90000057220459, 11.600000381469727, 60.900001525878906, 137.3000030517578, 17.399999618530273, 19.100000381469727, 26.399999618530273, 15.199999809265137, 32.29999923706055, 32.20000076293945, 17.600000381469727, 23.0, 24.100000381469727, 48.400001525878906, 9.0, 102.0999984741211, 19.0, 15.199999809265137, 58.70000076293945, 74.20000457763672, 84.0, 25.0, 27.600000381469727, 8.600000381469727, 23.200000762939453, 9.90000057220459, 16.0, 49.60000228881836, 24.700000762939453, 6.900000095367432, 14.800000190734863, 12.90000057220459, 27.899999618530273]"
Aremark,"[30.0, 75.20000457763672, 76.4000015258789, 27.600000381469727, 79.5999984741211, 200.1999969482422, 135.60000610351562, 109.9000015258789, 142.40000915527344, 114.9000015258789, 25.0, 92.20000457763672, 73.30000305175781, 61.60000228881836, 41.10000228881836, 21.399999618530273, 141.90000915527344, 85.80000305175781, 87.30000305175781, 86.5, 52.10000228881836, 80.5, 40.0, 47.29999923706055, 112.80000305175781, 116.5, 136.90000915527344, 69.9000015258789, 36.60000228881836, 16.80000114440918, 27.0, 13.300000190734863, 49.10000228881836, 136.10000610351562, 46.70000076293945, 34.60000228881836, 26.200000762939453, 35.0, 39.70000076293945, 16.30000114440918, 25.100000381469727, 70.20000457763672, 72.5, 41.70000076293945, 28.600000381469727, 107.80000305175781, 18.899999618530273, 22.700000762939453, 44.0, 91.70000457763672, 85.4000015258789, 48.5, 37.79999923706055, 39.79999923706055, 30.0, 31.600000381469727, 26.200000762939453, 90.9000015258789, 70.30000305175781, 17.899999618530273, 20.30000114440918, 23.100000381469727, 47.10000228881836]"
Askim,"[55.79999923706055, 162.90000915527344, 100.0, 23.399999618530273, 81.5, 246.1999969482422, 187.60000610351562, 173.60000610351562, 219.0, 127.0999984741211, 35.400001525878906, 72.5999984741211, 71.20000457763672, 77.0, 57.0, 61.5, 126.0, 154.90000915527344, 106.9000015258789, 82.5, 70.4000015258789, 90.5, 46.0, 45.20000076293945, 134.60000610351562, 138.3000030517578, 143.6999969482422, 130.0, 32.10000228881836, 26.30000114440918, 33.0, 12.199999809265137, 71.5, 203.60000610351562, 74.30000305175781, 54.79999923706055, 46.0, 30.80000114440918, 90.5999984741211, 44.20000076293945, 34.10000228881836, 81.5999984741211, 81.80000305175781, 89.30000305175781, 13.699999809265137, 158.40000915527344, 31.700000762939453, 14.90000057220459, 79.30000305175781, 40.60000228881836, 81.30000305175781, 33.79999923706055, 13.90000057220459, 72.80000305175781, 37.60000228881836, 45.60000228881836, 25.5, 113.0, 58.70000076293945, 12.90000057220459, 23.80000114440918, 46.20000076293945, 60.60000228881836]"
Eidsberg,"[26.399999618530273, 88.0, 68.5999984741211, 15.300000190734863, 83.0, 220.1999969482422, 154.6999969482422, 141.90000915527344, 202.5, 120.30000305175781, 43.900001525878906, 69.9000015258789, 61.29999923706055, 57.60000228881836, 46.10000228881836, 45.29999923706055, 123.0, 135.10000610351562, 124.0, 91.70000457763672, 81.9000015258789, 102.80000305175781, 43.400001525878906, 57.5, 135.40000915527344, 131.3000030517578, 146.6999969482422, 112.20000457763672, 32.0, 26.5, 29.700000762939453, 11.40000057220459, 77.0, 213.60000610351562, 77.5999984741211, 49.0, 52.60000228881836, 30.80000114440918, 87.80000305175781, 52.60000228881836, 46.20000076293945, 107.5, 121.5999984741211, 93.0, 16.700000762939453, 174.10000610351562, 32.5, 14.199999809265137, 67.30000305175781, 31.700000762939453, 60.60000228881836, 30.600000381469727, 16.399999618530273, 56.79999923706055, 37.5, 49.10000228881836, 22.600000381469727, 118.20000457763672, 50.79999923706055, 13.800000190734863, 16.399999618530273, 19.399999618530273, 32.10000228881836]"
Fredrikstad,"[21.100000381469727, 69.80000305175781, 99.0, 23.0, 58.20000076293945, 165.5, 68.70000457763672, 83.5, 87.30000305175781, 70.70000457763672, 20.700000762939453, 61.70000076293945, 40.70000076293945, 23.399999618530273, 26.5, 22.200000762939453, 105.9000015258789, 37.60000228881836, 50.5, 96.5, 64.0999984741211, 59.400001525878906, 20.30000114440918, 15.600000381469727, 100.20000457763672, 91.0999984741211, 116.20000457763672, 29.80000114440918, 34.5, 22.200000762939453, 19.700000762939453, 6.0, 32.900001525878906, 147.6999969482422, 12.300000190734863, 20.200000762939453, 20.200000762939453, 10.90000057220459, 19.600000381469727, 12.300000190734863, 23.30000114440918, 55.60000228881836, 61.0, 25.200000762939453, 6.400000095367432, 110.80000305175781, 8.699999809265137, 8.100000381469727, 34.400001525878906, 24.600000381469727, 43.400001525878906, 24.100000381469727, 10.800000190734863, 14.300000190734863, 9.5, 11.800000190734863, 9.800000190734863, 21.80000114440918, 39.70000076293945, 2.0, 16.0, 29.30000114440918, 21.0]"
Halden,"[22.600000381469727, 58.0, 39.400001525878906, 17.100000381469727, 54.20000076293945, 165.0, 59.10000228881836, 96.30000305175781, 66.9000015258789, 74.70000457763672, 22.30000114440918, 48.0, 41.0, 15.800000190734863, 21.5, 15.699999809265137, 75.80000305175781, 27.80000114440918, 42.0, 56.400001525878906, 44.70000076293945, 50.79999923706055, 25.200000762939453, 24.399999618530273, 87.20000457763672, 39.29999923706055, 100.20000457763672, 24.399999618530273, 36.0, 12.699999809265137, 16.700000762939453, 3.6000001430511475, 33.5, 77.9000015258789, 17.0, 15.199999809265137, 26.30000114440918, 26.600000381469727, 21.399999618530273, 19.0, 25.5, 43.5, 44.60000228881836, 51.60000228881836, 17.700000762939453, 73.70000457763672, 15.5, 12.800000190734863, 41.400001525878906, 62.0, 64.0999984741211, 35.10000228881836, 11.699999809265137, 21.5, 17.30000114440918, 14.600000381469727, 20.80000114440918, 47.29999923706055, 28.80000114440918, 7.700000286102295, 17.0, 22.700000762939453, 39.29999923706055]"
Hobøl,"[53.20000076293945, 147.6999969482422, 82.0, 17.0, 77.0, 209.0, 140.1999969482422, 162.8000030517578, 178.8000030517578, 114.5999984741211, 34.0, 77.30000305175781, 65.5999984741211, 84.0, 65.5999984741211, 43.10000228881836, 104.80000305175781, 129.10000610351562, 67.80000305175781, 95.0, 64.30000305175781, 90.80000305175781, 43.70000076293945, 40.400001525878906, 120.30000305175781, 131.5, 158.10000610351562, 141.8000030517578, 38.400001525878906, 33.60000228881836, 37.70000076293945, 23.0, 84.5999984741211, 218.8000030517578, 84.5, 54.400001525878906, 57.0, 31.5, 90.30000305175781, 49.5, 73.30000305175781, 113.30000305175781, 114.5, 106.30000305175781, 19.899999618530273, 141.60000610351562, 37.29999923706055, 23.700000762939453, 128.90000915527344, 98.70000457763672, 113.80000305175781, 37.20000076293945, 41.5, 43.900001525878906, 29.899999618530273, 42.29999923706055, 25.899999618530273, 130.8000030517578, 89.5, 15.100000381469727, 18.200000762939453, 66.0, 85.0]"
Hvaler,"[21.30000114440918, 38.60000228881836, 57.60000228881836, 16.200000762939453, 58.70000076293945, 175.8000030517578, 67.20000457763672, 96.0999984741211, 65.9000015258789, 69.0999984741211, 23.0, 86.5999984741211, 40.10000228881836, 27.0, 20.200000762939453, 15.699999809265137, 112.0, 34.900001525878906, 46.29999923706055, 87.30000305175781, 64.0999984741211, 64.5, 18.700000762939453, 22.899999618530273, 103.70000457763672, 65.30000305175781, 90.0999984741211, 23.0, 32.400001525878906, 9.5, 3.4000000953674316, 9.600000381469727, 28.200000762939453, 67.5, 27.899999618530273, 18.600000381469727, 37.79999923706055, 14.90000057220459, 20.100000381469727, 13.5, 19.80000114440918, 39.20000076293945, 42.70000076293945, 30.600000381469727, 13.0, 85.4000015258789, 9.600000381469727, 13.600000381469727, 61.20000076293945, 55.79999923706055, 75.70000457763672, 32.79999923706055, 24.100000381469727, 29.5, 11.199999809265137, 27.100000381469727, 8.199999809265137, 19.700000762939453, 36.0, 3.5, 17.80000114440918, 20.100000381469727, 28.80000114440918]"
Marker,"[45.900001525878906, 146.60000610351562, 85.9000015258789, 27.600000381469727, 83.5999984741211, 216.6999969482422, 181.1999969482422, 163.90000915527344, 182.60000610351562, 125.0, 52.79999923706055, 78.5999984741211, 87.0999984741211, 104.5999984741211, 73.30000305175781, 50.70000076293945, 118.5, 113.20000457763672, 81.9000015258789, 95.70000457763672, 78.20000457763672, 82.5, 37.70000076293945, 72.5999984741211, 152.90000915527344, 121.30000305175781, 167.0, 111.0999984741211, 42.0, 23.399999618530273, 26.0, 14.100000381469727, 68.0, 192.40000915527344, 97.4000015258789, 55.10000228881836, 41.0, 33.29999923706055, 96.9000015258789, 29.0, 46.29999923706055, 117.70000457763672, 119.5999984741211, 138.6999969482422, 21.30000114440918, 224.0, 58.20000076293945, 36.900001525878906, 114.0999984741211, 84.4000015258789, 141.5, 37.400001525878906, 38.60000228881836, 36.5, 39.20000076293945, 29.700000762939453, 28.399999618530273, 121.70000457763672, 85.0999984741211, 19.80000114440918, 32.60000228881836, 18.100000381469727, 44.900001525878906]"
Moss,"[48.900001525878906, 66.4000015258789, 47.79999923706055, 10.90000057220459, 57.70000076293945, 162.60000610351562, 83.70000457763672, 138.8000030517578, 102.0999984741211, 98.0, 22.5, 72.30000305175781, 41.0, 26.399999618530273, 31.30000114440918, 32.60000228881836, 115.0999984741211, 105.4000015258789, 54.400001525878906, 101.9000015258789, 63.10000228881836, 116.20000457763672, 35.400001525878906, 31.700000762939453, 128.1999969482422, 176.90000915527344, 226.1999969482422, 100.30000305175781, 30.600000381469727, 31.399999618530273, 31.600000381469727, 8.800000190734863, 52.0, 188.90000915527344, 19.100000381469727, 39.29999923706055, 45.79999923706055, 42.60000228881836, 48.60000228881836, 59.60000228881836, 61.0, 156.90000915527344, 161.90000915527344, 61.79999923706055, 19.399999618530273, 137.6999969482422, 33.79999923706055, 22.600000381469727, 88.5, 95.5999984741211, 107.5999984741211, 42.70000076293945, 51.60000228881836, 42.70000076293945, 26.899999618530273, 35.5, 22.80000114440918, 72.9000015258789, 66.5999984741211, 5.800000190734863, 19.0, 63.900001525878906, 82.30000305175781]"
