Municipality,Longitude,Latitude
Årdal,7.805808434796545,61.290128277990476
Gloppen,6.1600464450189145,61.72530115639438
Fjord,7.3667601303033585,62.28925227729266
Røst,11.981877609937696,67.38511057324934
Eidfjord,7.352194359907946,60.37032465843168
Fedje,4.474007828992521,60.78981425145718
Indre Østfold,11.216361454661888,59.59657026187736
Enebakk,11.102882231515313,59.76658152477724
Aurskog-Høland,11.61329283533195,59.819920929789
Nesbyen,9.072396882634742,60.55138698707396
Bærum,10.506831005248095,59.93325533145957
Lillestrøm,11.206155478395111,59.94769275442919
Nittedal,10.853362115993185,60.08354724913718
Oslo,10.738759023383851,59.97539233403437
Nordre Follo,10.87385825864725,59.74385005744321
Ørsta,6.331445542513752,62.23666758811972
Ullensvang,6.791701907938943,60.10819567967905
Stjørdal,11.185248900328556,63.46699882032368
Sunnfjord,6.099745264534032,61.4697995900679
Ålesund,6.4259521034228575,62.75159121159809
Alver,5.23437909569395,60.67309209892245
Eidsvoll,11.227463449811143,60.392109413604636
Vaksdal,5.904208852028949,60.67302983786986
Giske,5.78472582340418,62.61499993452474
Sula,6.189968770134182,62.41515444828349
Osen,10.097871639654517,64.4418161593744
Færder,10.495881258509845,59.01888055650298
Brønnøy,12.22181382992642,65.4364330510205
Bindal,12.298129661825348,65.16095122071971
Åseral,7.399919463567173,58.699569152525484
Vadsø,29.87396943714602,70.17090368828212
Skaun,10.03572143566991,63.27401485026258
Midt-Telemark,9.135408643875245,59.42984055237526
Melhus,10.270806182773365,63.15948865513293
Austrheim,4.8757051272630925,60.79811599714762
Øygarden,4.736368078520584,60.41355240255968
Nærøysund,10.949796220813182,64.90762322921562
Bjørnafjorden,5.648980559481899,60.20025088325024
Samnanger,5.788711815670039,60.396835065359966
Steinkjer,11.510178838319378,64.04542207282938
Åfjord,10.190002905188232,64.09085211816281
Ulvik,7.173117612452793,60.60689197496164
Rennebu,9.880151163638773,62.80832675220156
Vestnes,7.0674381367792565,62.58250389079184
Utsira,4.7060772798665464,59.27057605430114
Farsund,6.6317248256126415,58.02916095259516
Orkland,9.644404215999803,63.29604372753698
Hustadvika,7.036393743653495,63.00918352752849
Bergen,5.370998017340288,60.35980239504924
Kinn,4.871110369267359,61.71312504548519
Bremanger,4.98508647266377,61.828393619637
Vardø,31.065522505365283,70.31373921826393
Vanylven,5.629764721727545,62.09480600978087
Stad,5.384746854437819,62.08093754439747
Suldal,6.562267375679567,59.509228197283825
Overhalla,11.903970308539519,64.45575717088305
Haram,6.1890470093710075,62.6940273532103
Sveio,5.403953501205784,59.597868413793066
Haugesund,5.014066262629943,59.47384402188254
Karlsøy,19.413898928560737,70.25746958525198
Stord,5.482456601302039,59.81530462862955
Fitjar,5.303183479042497,59.91082946702303
Tysnes,5.548940725782503,60.00562179376261
Bamble,9.558994087501706,59.00744660068687
Austevoll,4.949535314554683,60.04031850500797
Heim,8.87008276800809,63.23809842624456
Hasvik,22.134119868245204,70.65073893350032
Flatanger,10.591029226652891,64.5219894772349
Rødøy,12.735283627301301,66.76264096435717
Meløy,13.322194046670182,66.92679212756107
Asker,10.476686117929756,59.683190179529014
Frogn,10.64589729733494,59.70372627501601
Skjervøy,20.718549367653537,70.14166286157473
Vevelstad,12.646844247153156,65.64574810524653
Tromsø,18.63030975457397,69.7445327167448
Senja,17.330709403060833,69.3921574012718
Lurøy,12.661238773455093,66.41426550471145
Træna,11.897014401065052,66.55208202666114
Hadsel,14.875648830427322,68.49834270034665
Deatnu - Tana,27.660957426509917,70.24044696312292
Aarborte - Hattfjelldal,14.136864717712216,65.50398431501371
Rosse - Røros,11.729483592023538,62.57716607328082
Namsos - Nåavmesjenjaelmie,11.396882041313427,64.48801417725139
Fauske - Fuossko,15.771632923212175,67.2241297366482
Dielddanuorri - Tjeldsund,16.675187770828657,68.56870246791536
Trondheim - Tråante,10.39636882203478,63.369738816216014
Unjárga - Nesseby,28.79838971802693,70.13258386053465
Kárášjohka - Karasjok,25.138484163027268,69.40868651760866
Raarvihke - Røyrvik,13.636709113767699,64.90107584307508
Sortland - Suortá,15.508333148615584,68.7430511693169
Hábmer - Hamarøy,16.05406189529581,67.96570198782088
Harstad - Hárstták,16.49800312221028,68.94780457681652
Loabák - Lavangen,17.801071530686862,68.73131733633905
Nordreisa - Ráisa - Raisi,21.539148593949648,69.53402108077479
Hammerfest - Hámmerfeasta,23.607049728355985,70.64772294415991
Guovdageaidnu - Kautokeino,23.55452533169285,69.1317387628606
Gáivuotna - Kåfjord - Kaivuono,20.742253546860027,69.47832886871225
Snåase - Snåsa,12.627697185846015,64.20468659851718
Storfjord - Omasvuotna - Omasvuono,20.364133379671895,69.23053874771566
Evenes - Evenášši,16.97320715767867,68.49108586018482
Porsanger - Porsáŋgu - Porsanki,25.177527734399693,70.20550287075177
